trabeate,"not arcuate; having straight horizontal beams or lintels (rather than arches)"
trace,"a just detectable amount; "he speaks French with a trace of an accent"","an indication that something has been present; "there wasn't a trace of evidence for the claim"; "a tincture of condescension"","a suggestion of some quality; "there was a touch of sarcasm in his tone"; "he detected a ghost of a smile on her face"","a drawing created by superimposing a semitransparent sheet of paper on the original image and copying on it the lines of the original image","either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree","a visible mark (as a footprint) left by the passage of person or animal or vehicle","follow, discover, or ascertain the course of development of something; "We must follow closely the economic development is Cuba" ; "trace the student's progress"","make a mark or lines on a surface; "draw a line"; "trace the outline of a figure in the sand"","to go back over again; "we retraced the route we took last summer"; "trace your path"","pursue or chase relentlessly; "The hunters traced the deer into the woods"; "the detectives hounded the suspect until they found him"","discover traces of; "She traced the circumstances of her birth"","make one's course or travel along a path; travel or pass over, around, or along; "The children traced along the edge of the dark forest"; "The women traced the pasture"","copy by following the lines of the original drawing on a transparent sheet placed upon it; make a tracing of; "trace a design"; "trace a pattern"","read with difficulty; "Can you decipher this letter?"; "The archeologist traced the hieroglyphs""
traceable,"(usually followed by `to') able to be traced to; "a failure traceable to lack of energy"","capable of being traced or tracked; "a traceable riverbed"; "the traceable course of an ancient wall""
traced
tracer,"an investigator who is employed to find missing persons or missing goods","an instrument used to make tracings","(radiology) any radioactive isotope introduced into the body to study metabolism or other biological processes","ammunition whose flight can be observed by a trail of smoke"
traceries
tracers,"an investigator who is employed to find missing persons or missing goods","an instrument used to make tracings","(radiology) any radioactive isotope introduced into the body to study metabolism or other biological processes","ammunition whose flight can be observed by a trail of smoke"
tracery,"decoration consisting of an open pattern of interlacing ribs"
traces,"a just detectable amount; "he speaks French with a trace of an accent"","an indication that something has been present; "there wasn't a trace of evidence for the claim"; "a tincture of condescension"","a suggestion of some quality; "there was a touch of sarcasm in his tone"; "he detected a ghost of a smile on her face"","a drawing created by superimposing a semitransparent sheet of paper on the original image and copying on it the lines of the original image","either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree","a visible mark (as a footprint) left by the passage of person or animal or vehicle","follow, discover, or ascertain the course of development of something; "We must follow closely the economic development is Cuba" ; "trace the student's progress"","make a mark or lines on a surface; "draw a line"; "trace the outline of a figure in the sand"","to go back over again; "we retraced the route we took last summer"; "trace your path"","pursue or chase relentlessly; "The hunters traced the deer into the woods"; "the detectives hounded the suspect until they found him"","discover traces of; "She traced the circumstances of her birth"","make one's course or travel along a path; travel or pass over, around, or along; "The children traced along the edge of the dark forest"; "The women traced the pasture"","copy by following the lines of the original drawing on a transparent sheet placed upon it; make a tracing of; "trace a design"; "trace a pattern"","read with difficulty; "Can you decipher this letter?"; "The archeologist traced the hieroglyphs""
trachea,"membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi","one of the tubules forming the respiratory system of most insects and many arachnids"
tracheae,"membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi","one of the tubules forming the respiratory system of most insects and many arachnids"
tracheal,"relating to or resembling or functioning like a trachea"
tracheas,"membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi","one of the tubules forming the respiratory system of most insects and many arachnids"
tracheid,"long tubular cell peculiar to xylem"
tracheids,"long tubular cell peculiar to xylem"
tracherous
tracherously
trachle
trachled
trachles
trachling
trachoma,"a chronic contagious viral disease marked by inflammation of the conjunctiva and cornea of the eye and the formation of scar tissue"
trachomas,"a chronic contagious viral disease marked by inflammation of the conjunctiva and cornea of the eye and the formation of scar tissue"
trachyte
trachytes
tracing,"the act of drawing a plan or diagram or outline","a drawing created by superimposing a semitransparent sheet of paper on the original image and copying on it the lines of the original image","the discovery and description of the course of development of something; "the tracing of genealogies""
