equabilities
equability
equable,"not varying; "an equable climate"","not easily irritated; "an equable temper"; "not everyone shared his placid temperament"; "remained placid despite the repeated delays""
equably,"in an equable manner; "he is an equably cheerful fellow""
equal,"a person who is of equal standing with another in a group","be identical or equivalent to; "One dollar equals 1,000 rubles these days!"","be equal to in quality or ability; "Nothing can rival cotton for durability"; "Your performance doesn't even touch that of your colleagues"; "Her persistence and ambition only matches that of her parents"","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors"","having the same quantity, value, or measure as another; "on equal terms"; "all men are equal before the law"","having the requisite qualities or resources to meet a task; "she had adequate training"; "her training was adequate"; "she was adequate to the job"; "he was equal to the task""
equaled
equaling
equalise,"compensate; make the score equal","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
equalised
equalises,"compensate; make the score equal","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
equalising
equalities
equality,"the quality of being the same in quantity or measure or value or status","a state of being essentially equal or equivalent; equally balanced; "on a par with the best""
equalize,"compensate; make the score equal","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
equalized
equalizes,"compensate; make the score equal","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
equalizing
equalled,"be identical or equivalent to; "One dollar equals 1,000 rubles these days!"","be equal to in quality or ability; "Nothing can rival cotton for durability"; "Your performance doesn't even touch that of your colleagues"; "Her persistence and ambition only matches that of her parents"","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
equalling,"be identical or equivalent to; "One dollar equals 1,000 rubles these days!"","be equal to in quality or ability; "Nothing can rival cotton for durability"; "Your performance doesn't even touch that of your colleagues"; "Her persistence and ambition only matches that of her parents"","make equal, uniform, corresponding, or matching; "let's equalize the duties among all employees in this office"; "The company matched the discount policy of its competitors""
