oidia
oidium
oil,"a slippery or viscous liquid or liquefiable substance not miscible with water","oil paint containing pigment that is used by an artist","a dark oil consisting mainly of hydrocarbons","any of a group of liquid edible fats that are obtained from plants","cover with oil, as if by rubbing; "oil the wooden surface"","administer an oil or ointment to ; often in a religious ceremony of blessing"
oilbird,"nocturnal fruit-eating bird of South America that has fatty young yielding an oil that is used instead of butter"
oilbirds,"nocturnal fruit-eating bird of South America that has fatty young yielding an oil that is used instead of butter"
oilcamp
oilcamps
oilcan,"a can with a long nozzle to apply oil to machinery"
oilcans,"a can with a long nozzle to apply oil to machinery"
oilcloth,"cloth treated on one side with a drying oil or synthetic resin"
oilcloths,"cloth treated on one side with a drying oil or synthetic resin"
oilcup
oilcups
oiled,"treated with oil; "oiled country roads"; "an oiled walnut table""
oiler,"a worker who oils engines or machinery","a well that yields or has yielded oil","a cargo ship designed to carry crude oil in bulk"
oilers,"a worker who oils engines or machinery","a well that yields or has yielded oil","a cargo ship designed to carry crude oil in bulk"
oilhole
oilholes
oilier,"containing an unusual amount of grease or oil; "greasy hamburgers"; "oily fried potatoes"; "oleaginous seeds"","unpleasantly and excessively suave or ingratiating in manner or speech; "buttery praise"; "gave him a fulsome introduction"; "an oily sycophantic press agent"; "oleaginous hypocrisy"; "smarmy self-importance"; "the unctuous Uriah Heep"; "soapy compliments"","coated or covered with oil; "oily puddles in the streets"","smeared or soiled with grease or oil; "greasy coveralls"; "get rid of rubbish and oily rags""
oiliest,"containing an unusual amount of grease or oil; "greasy hamburgers"; "oily fried potatoes"; "oleaginous seeds"","unpleasantly and excessively suave or ingratiating in manner or speech; "buttery praise"; "gave him a fulsome introduction"; "an oily sycophantic press agent"; "oleaginous hypocrisy"; "smarmy self-importance"; "the unctuous Uriah Heep"; "soapy compliments"","coated or covered with oil; "oily puddles in the streets"","smeared or soiled with grease or oil; "greasy coveralls"; "get rid of rubbish and oily rags""
oilily
oiliness,"consisting of or covered with oil","smug self-serving earnestness"
oilinesses
oiling
oilman,"a person who owns or operates oil wells","a worker who produces or sells petroleum"
oilmen
oilpaper,"paper that has been made translucent and waterproof by soaking in oil"
oilpapers,"paper that has been made translucent and waterproof by soaking in oil"
oilproof
oils,"a slippery or viscous liquid or liquefiable substance not miscible with water","oil paint containing pigment that is used by an artist","a dark oil consisting mainly of hydrocarbons","any of a group of liquid edible fats that are obtained from plants","cover with oil, as if by rubbing; "oil the wooden surface"","administer an oil or ointment to ; often in a religious ceremony of blessing"
oilseed,"any of several seeds that yield oil"
oilseeds,"any of several seeds that yield oil"
oilskin,"a macintosh made from cotton fabric treated with oil and pigment to make it waterproof"
oilskins,"a macintosh made from cotton fabric treated with oil and pigment to make it waterproof"
oilstone,"a whetstone for use with oil"
oilstones,"a whetstone for use with oil"
oiltight
oilway
oilways
oily,"containing an unusual amount of grease or oil; "greasy hamburgers"; "oily fried potatoes"; "oleaginous seeds"","unpleasantly and excessively suave or ingratiating in manner or speech; "buttery praise"; "gave him a fulsome introduction"; "an oily sycophantic press agent"; "oleaginous hypocrisy"; "smarmy self-importance"; "the unctuous Uriah Heep"; "soapy compliments"","coated or covered with oil; "oily puddles in the streets"","smeared or soiled with grease or oil; "greasy coveralls"; "get rid of rubbish and oily rags""
oink,"the short low gruff noise of the kind made by hogs","utter a high-pitched cry, characteristic of pigs"
oinked
oinking
oinks,"the short low gruff noise of the kind made by hogs","utter a high-pitched cry, characteristic of pigs"
oinologies
oinology
oinomel
oinomels
ointment,"semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation","toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin"
ointments,"semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation","toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin"
oiticica
oiticicas
