zibeline
zibelines
zibet
zibeth
zibeths
zibets
zig,"an angular shape characterized by sharp turns in alternating directions"
zigged
zigging
ziggurat,"a rectangular tiered temple or terraced mound erected by the ancient Assyrians and Babylonians"
ziggurats,"a rectangular tiered temple or terraced mound erected by the ancient Assyrians and Babylonians"
zigs,"an angular shape characterized by sharp turns in alternating directions"
zigzag,"an angular shape characterized by sharp turns in alternating directions","travel along a zigzag path; "The river zigzags through the countryside"","having short sharp turns or angles","in a zigzag course or on a zigzag path; "birds flew zigzag across the blue sky""
zigzagged,"travel along a zigzag path; "The river zigzags through the countryside""
zigzagging,"travel along a zigzag path; "The river zigzags through the countryside""
zigzags,"an angular shape characterized by sharp turns in alternating directions","travel along a zigzag path; "The river zigzags through the countryside"","having short sharp turns or angles","in a zigzag course or on a zigzag path; "birds flew zigzag across the blue sky""
zikkurat,"a rectangular tiered temple or terraced mound erected by the ancient Assyrians and Babylonians"
zikkurats,"a rectangular tiered temple or terraced mound erected by the ancient Assyrians and Babylonians"
zikurat,"a rectangular tiered temple or terraced mound erected by the ancient Assyrians and Babylonians"
zikurats,"a rectangular tiered temple or terraced mound erected by the ancient Assyrians and Babylonians"
zilch,"a quantity of no importance; "it looked like nothing I had ever seen before"; "reduced to nil all the work we had done"; "we racked up a pathetic goose egg"; "it was all for naught"; "I didn't hear zilch about it""
zilches
zillah
zillahs
zillion,"a very large indefinite number (usually hyperbole); "there were millions of flies"","very large indeterminate number; "a zillion people were there""
zillions,"a very large indefinite number (usually hyperbole); "there were millions of flies"","very large indeterminate number; "a zillion people were there""
zinc,"a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende","coat or cover with zinc"
zincate
zincates
zinced
zincic
zincified
zincifies
zincify
zincifying
zincing
zincite
zincites
zincked
zincking
zincky
zincoid
zincous
zincs,"a bluish-white lustrous metallic element; brittle at ordinary temperatures but malleable when heated; used in a wide variety of alloys and in galvanizing iron; it occurs naturally as zinc sulphide in zinc blende","coat or cover with zinc"
zincy
zing,"a brief high-pitched buzzing or humming sound; "the zing of the passing bullet"","the activeness of an energetic personality"
zingani
zingano
zingara
zingare
zingari
zingaro
zinged
zingier
zingiest
zinging
zings,"a brief high-pitched buzzing or humming sound; "the zing of the passing bullet"","the activeness of an energetic personality"
zingy
zinkified
zinkifies
zinkify
zinkifying
zinky
zinnia,"any of various plants of the genus Zinnia cultivated for their variously and brightly colored flower heads"
zinnias,"any of various plants of the genus Zinnia cultivated for their variously and brightly colored flower heads"
zip,"a quantity of no importance; "it looked like nothing I had ever seen before"; "reduced to nil all the work we had done"; "we racked up a pathetic goose egg"; "it was all for naught"; "I didn't hear zilch about it"","a code of letters and digits added to a postal address to aid in the sorting of mail","forceful exertion; "he plays tennis with great energy"; "he's full of zip"","a fastener for locking together two toothed edges by means of a sliding tab","close with a zipper; "Zip up your jacket--it's cold"","move very fast; "The runner zipped past us at breakneck speed""
zipped,"close with a zipper; "Zip up your jacket--it's cold"","move very fast; "The runner zipped past us at breakneck speed""
zipper,"a fastener for locking together two toothed edges by means of a sliding tab","close with a zipper; "Zip up your jacket--it's cold""
zippered
zippering
zippers,"a fastener for locking together two toothed edges by means of a sliding tab","close with a zipper; "Zip up your jacket--it's cold""
