old,"past times (especially in the phrase `in days of old')","(used especially of persons) having lived for a relatively long time or attained a specific age; "his mother is very old"; "a ripe old age"; "how old are you?"","of long duration; not new; "old tradition"; "old house"; "old wine"; "old country"; "old friendships"; "old money"","(used for emphasis) very familiar; "good old boy"; "same old story"","skilled through long experience; "an old offender"; "the older soldiers"","belonging to some prior time; "erstwhile friend"; "our former glory"; "the once capital of the state"; "her quondam lover"","(used informally especially for emphasis); "a real honest-to-god live cowboy"; "had us a high old time"; "went upriver to look at a sure-enough fish wheel"","of a very early stage in development; "Old English is also called Anglo Saxon"; "Old High German is High German from the middle of the 9th to the end of the 11th century"","just preceding something else in time or order; "the previous owner"; "my old house was larger""
olden,"long past; "olden days""
older,"advanced in years; (`aged' is pronounced as two syllables); "aged members of the society"; "elderly residents could remember the construction of the first skyscraper"; "senior citizen"","used of the older of two persons of the same name especially used to distinguish a father from his son; "Bill Adams, Sr."","skilled through long experience; "an old offender"; "the older soldiers""
oldest
oldie,"a song that was formerly popular"
oldies,"a song that was formerly popular"
oldish,"somewhat elderly"
oldness,"the opposite of youngness","the quality of being old; the opposite of newness"
oldnesses
olds,"past times (especially in the phrase `in days of old')","(used especially of persons) having lived for a relatively long time or attained a specific age; "his mother is very old"; "a ripe old age"; "how old are you?"","of long duration; not new; "old tradition"; "old house"; "old wine"; "old country"; "old friendships"; "old money"","(used for emphasis) very familiar; "good old boy"; "same old story"","skilled through long experience; "an old offender"; "the older soldiers"","belonging to some prior time; "erstwhile friend"; "our former glory"; "the once capital of the state"; "her quondam lover"","(used informally especially for emphasis); "a real honest-to-god live cowboy"; "had us a high old time"; "went upriver to look at a sure-enough fish wheel"","of a very early stage in development; "Old English is also called Anglo Saxon"; "Old High German is High German from the middle of the 9th to the end of the 11th century"","just preceding something else in time or order; "the previous owner"; "my old house was larger""
oldster,"an elderly person"
oldsters,"an elderly person"
oldstyle
oldstyles
oldwife,"tropical Atlantic fish","a common long-tailed sea duck of the northern parts of the United States"
oldwives,"tropical Atlantic fish","a common long-tailed sea duck of the northern parts of the United States"
ole
olea,"evergreen trees and shrubs having oily one-seeded fruits"
oleander,"an ornamental but poisonous flowering shrub having narrow evergreen leaves and clusters of fragrant white to pink or red flowers: native to East Indies but widely cultivated in warm regions"
oleanders,"an ornamental but poisonous flowering shrub having narrow evergreen leaves and clusters of fragrant white to pink or red flowers: native to East Indies but widely cultivated in warm regions"
oleaster,"any of several shrubs of the genus Elaeagnus having silver-white twigs and yellow flowers followed by olivelike fruits"
oleasters,"any of several shrubs of the genus Elaeagnus having silver-white twigs and yellow flowers followed by olivelike fruits"
oleate
oleates
olefin,"any unsaturated aliphatic hydrocarbon"
olefine,"any unsaturated aliphatic hydrocarbon"
olefines,"any unsaturated aliphatic hydrocarbon"
olefinic
olefins,"any unsaturated aliphatic hydrocarbon"
oleic
olein,"a naturally occurring glyceride of oleic acid that is found in fats and oils"
oleine
oleines
oleins,"a naturally occurring glyceride of oleic acid that is found in fats and oils"
oleo,"a spread made chiefly from vegetable oils and used as a substitute for butter"
oleomargarine,"a spread made chiefly from vegetable oils and used as a substitute for butter"
oleomargarines,"a spread made chiefly from vegetable oils and used as a substitute for butter"
oleos,"a spread made chiefly from vegetable oils and used as a substitute for butter"
oles
oleum
oleums
olfactory,"of or relating to olfaction"
olibanum,"an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation"
olibanums,"an aromatic gum resin obtained from various Arabian or East African trees; formerly valued for worship and for embalming and fumigation"
oligarch,"one of the rulers in an oligarchy"
oligarchic,"of or relating to or supporting or characteristic of an oligarchy"
oligarchical,"of or relating to or supporting or characteristic of an oligarchy"
oligarchies
oligarchs,"one of the rulers in an oligarchy"
oligarchy,"a political system governed by a few people; "one of his cardinal convictions was that Britain was not run as a democracy but as an oligarchy"; "the big cities were notoriously in the hands of the oligarchy of local businessmen""
oligomer
oligomers
olio
olios
olivary
olive,"small ovoid fruit of the European olive tree; important food and source of oil","evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits","hard yellow often variegated wood of an olive tree; used in cabinetwork","one-seeded fruit of the European olive tree usually pickled and used as a relish","a yellow-green color of low brightness and saturation","of a yellow-green color similar to that of an unripe olive"
olives,"small ovoid fruit of the European olive tree; important food and source of oil","evergreen tree cultivated in the Mediterranean region since antiquity and now elsewhere; has edible shiny black fruits","hard yellow often variegated wood of an olive tree; used in cabinetwork","one-seeded fruit of the European olive tree usually pickled and used as a relish","a yellow-green color of low brightness and saturation","of a yellow-green color similar to that of an unripe olive"
olivine,"a mineral consisting of magnesium iron silicate; a source of magnesium"
olivines,"a mineral consisting of magnesium iron silicate; a source of magnesium"
olivinic
olla,"leaf or strip from a leaf of the talipot palm used in India for writing paper"
ollas,"leaf or strip from a leaf of the talipot palm used in India for writing paper"
ologies
ologist
ologists
ology,"an informal word (abstracted from words with this ending) for some unidentified branch of knowledge"
olympiad,"one of the four-year intervals between Olympic Games; used to reckon time in ancient Greece for twelve centuries beginning in 776 BC","the modern revival of the ancient games held once every 4 years in a selected country"
olympiads,"one of the four-year intervals between Olympic Games; used to reckon time in ancient Greece for twelve centuries beginning in 776 BC","the modern revival of the ancient games held once every 4 years in a selected country"
