foal,"a young horse","give birth to a foal; "the mare foaled""
foaled
foaling
foals,"a young horse","give birth to a foal; "the mare foaled""
foam,"a mass of small bubbles formed in or on a liquid; "the beer had a thick head of foam"","a lightweight material in cellular form; made by introducing gas bubbles during manufacture","become bubbly or frothy or foaming; "The boiling soup was frothing"; "The river was foaming"; "Sparkling water""
foamed
foamer
foamers
foamier,"producing or covered with lathery sweat or saliva from exhaustion or disease; "the rabid animal's frothing mouth"","emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer""
foamiest,"producing or covered with lathery sweat or saliva from exhaustion or disease; "the rabid animal's frothing mouth"","emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer""
foamily
foaming,"emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer"","producing or covered with lathery sweat or saliva from exhaustion or disease; "the rabid animal's frothing mouth""
foamless
foamlike
foams,"a mass of small bubbles formed in or on a liquid; "the beer had a thick head of foam"","a lightweight material in cellular form; made by introducing gas bubbles during manufacture","become bubbly or frothy or foaming; "The boiling soup was frothing"; "The river was foaming"; "Sparkling water""
foamy,"producing or covered with lathery sweat or saliva from exhaustion or disease; "the rabid animal's frothing mouth"","emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer""
fob,"a vest pocket to hold a pocket watch","an adornment that hangs from a watch chain","short chain or ribbon attaching a pocket watch to a man's vest","deceive somebody; "We tricked the teacher into thinking that class would be cancelled next week""
fobbed,"deceive somebody; "We tricked the teacher into thinking that class would be cancelled next week""
fobbing,"deceive somebody; "We tricked the teacher into thinking that class would be cancelled next week""
fobs,"a vest pocket to hold a pocket watch","an adornment that hangs from a watch chain","short chain or ribbon attaching a pocket watch to a man's vest","deceive somebody; "We tricked the teacher into thinking that class would be cancelled next week""
focal,"having or localized centrally at a focus; "focal point"; "focal infection"","of or relating to a focus; "focal length""
focalise,"concentrate on a particular place or spot; "The infection has localized in the left eye"","bring into focus or alignment; to converge or cause to converge; of ideas or emotions","become focussed or come into focus; "The light focused"","put (an image) into focus; "Please focus the image; we cannot enjoy the movie""
focalised
focalises,"concentrate on a particular place or spot; "The infection has localized in the left eye"","bring into focus or alignment; to converge or cause to converge; of ideas or emotions","become focussed or come into focus; "The light focused"","put (an image) into focus; "Please focus the image; we cannot enjoy the movie""
focalising
focalize,"concentrate on a particular place or spot; "The infection has localized in the left eye"","bring into focus or alignment; to converge or cause to converge; of ideas or emotions","become focussed or come into focus; "The light focused"","put (an image) into focus; "Please focus the image; we cannot enjoy the movie""
focalized
focalizes,"concentrate on a particular place or spot; "The infection has localized in the left eye"","bring into focus or alignment; to converge or cause to converge; of ideas or emotions","become focussed or come into focus; "The light focused"","put (an image) into focus; "Please focus the image; we cannot enjoy the movie""
focalizing
focally,"in a focal manner; "the submucosa was focally infiltrated""
foci,"the concentration of attention or energy on something; "the focus of activity shifted to molecular biology"; "he had no direction in his life"","maximum clarity or distinctness of an image rendered by an optical system; "in focus"; "out of focus"","maximum clarity or distinctness of an idea; "the controversy brought clearly into focus an important difference of opinion"","a central point or locus of an infection in an organism; "the focus of infection"","special emphasis attached to something; "the stress was more on accuracy than on speed"","a point of convergence of light (or other radiation) or a point from which it diverges","a fixed reference point on the concave side of a conic section"
focus,"the concentration of attention or energy on something; "the focus of activity shifted to molecular biology"; "he had no direction in his life"","maximum clarity or distinctness of an image rendered by an optical system; "in focus"; "out of focus"","maximum clarity or distinctness of an idea; "the controversy brought clearly into focus an important difference of opinion"","a central point or locus of an infection in an organism; "the focus of infection"","special emphasis attached to something; "the stress was more on accuracy than on speed"","a point of convergence of light (or other radiation) or a point from which it diverges","a fixed reference point on the concave side of a conic section","direct one's attention on something; "Please focus on your studies and not on your hobbies"","cause to converge on or toward a central point; "Focus the light on this image"","bring into focus or alignment; to converge or cause to converge; of ideas or emotions","become focussed or come into focus; "The light focused"","put (an image) into focus; "Please focus the image; we cannot enjoy the movie""
focused,"being in focus or brought into focus","(of light rays) converging on a point; "focused light rays can set something afire"","of an optical system (e.g. eye or opera glasses) adjusted to produce a clear image"
focuser
focusers
focuses
focusing,"the concentration of attention or energy on something; "the focus of activity shifted to molecular biology"; "he had no direction in his life"","the act of bringing into focus"
focussed,"being in focus or brought into focus","(of light rays) converging on a point; "focused light rays can set something afire""
focusses
focussing,"the concentration of attention or energy on something; "the focus of activity shifted to molecular biology"; "he had no direction in his life""
fodder,"soldiers who are regarded as expendable in the face of artillery fire","coarse food (especially for livestock) composed of entire plants or the leaves and stalks of a cereal crop","give fodder (to domesticated animals)"
foddered
foddering
fodders,"soldiers who are regarded as expendable in the face of artillery fire","coarse food (especially for livestock) composed of entire plants or the leaves and stalks of a cereal crop","give fodder (to domesticated animals)"
fodgel
foe,"an armed adversary (especially a member of an opposing military force); "a soldier must be prepared to kill his enemies"","a personal enemy; "they had been political foes for years""
foehn,"a warm dry wind that blows down the northern slopes of the Alps"
foehns,"a warm dry wind that blows down the northern slopes of the Alps"
foeman,"an armed adversary (especially a member of an opposing military force); "a soldier must be prepared to kill his enemies""
foemen
