moa,"extinct flightless bird of New Zealand"
moan,"an utterance expressing pain or disapproval","indicate pain, discomfort, or displeasure; "The students groaned when the professor got out the exam booklets"; "The ancient door soughed when opened""
moaned
moanful
moaning
moans,"an utterance expressing pain or disapproval","indicate pain, discomfort, or displeasure; "The students groaned when the professor got out the exam booklets"; "The ancient door soughed when opened""
moas,"extinct flightless bird of New Zealand"
moat,"ditch dug as a fortification and usually filled with water"
moated,"protected by a deep wide ditch usually filled with water"
moating
moatlike
moats,"ditch dug as a fortification and usually filled with water"
mob,"a disorderly crowd of people","a loose affiliation of gangsters in charge of organized criminal activities","an association of criminals; "police tried to break up the gang"; "a pack of thieves"","press tightly together or cram; "The crowd packed the auditorium""
mobbed,"press tightly together or cram; "The crowd packed the auditorium""
mobber
mobbers
mobbing,"press tightly together or cram; "The crowd packed the auditorium""
mobbish,"characteristic of a mob; disorderly or lawless; "fanned mounting tension into mobbish terrorizing"; "moblike mentality""
mobcap,"large high frilly cap with a full crown; formerly worn indoors by women"
mobcaps,"large high frilly cap with a full crown; formerly worn indoors by women"
mobile,"a river in southwestern Alabama; flows into Mobile Bay","a port in southwestern Alabama on Mobile Bay","sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents","migratory; "a restless mobile society"; "the nomadic habits of the Bedouins"; "believed the profession of a peregrine typist would have a happy future"; "wandering tribes"","moving or capable of moving readily (especially from place to place); "a mobile missile system"; "the tongue is...the most mobile articulator"","having transportation available","capable of changing quickly from one state or condition to another; "a highly mobile face"","affording change (especially in social status); "Britain is not a truly fluid society"; "upwardly mobile""
mobiles,"a river in southwestern Alabama; flows into Mobile Bay","a port in southwestern Alabama on Mobile Bay","sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents","migratory; "a restless mobile society"; "the nomadic habits of the Bedouins"; "believed the profession of a peregrine typist would have a happy future"; "wandering tribes"","moving or capable of moving readily (especially from place to place); "a mobile missile system"; "the tongue is...the most mobile articulator"","having transportation available","capable of changing quickly from one state or condition to another; "a highly mobile face"","affording change (especially in social status); "Britain is not a truly fluid society"; "upwardly mobile""
mobilise,"call to arms; of military personnel","get ready for war","make ready for action or use; "marshal resources"","cause to move around; "circulate a rumor""
mobilised
mobilises,"call to arms; of military personnel","get ready for war","make ready for action or use; "marshal resources"","cause to move around; "circulate a rumor""
mobilising
mobilities
mobility,"the quality of moving freely"
mobilization,"act of assembling and putting into readiness for war or other emergency: "mobilization of the troops"","act of marshaling and organizing and making ready for use or action; "mobilization of the country's economic resources""
mobilizations,"act of assembling and putting into readiness for war or other emergency: "mobilization of the troops"","act of marshaling and organizing and making ready for use or action; "mobilization of the country's economic resources""
mobilize,"make ready for action or use; "marshal resources"","call to arms; of military personnel","get ready for war","cause to move around; "circulate a rumor""
mobilized
mobilizer
mobilizers
mobilizes,"make ready for action or use; "marshal resources"","call to arms; of military personnel","get ready for war","cause to move around; "circulate a rumor""
mobilizing
mobocrat
mobocrats
mobs,"a disorderly crowd of people","a loose affiliation of gangsters in charge of organized criminal activities","an association of criminals; "police tried to break up the gang"; "a pack of thieves"","press tightly together or cram; "The crowd packed the auditorium""
mobster,"a criminal who is a member of gang"
mobsters,"a criminal who is a member of gang"
moccasin,"soft leather shoe; originally worn by Native Americans"
moccasins,"soft leather shoe; originally worn by Native Americans"
mocha,"soft suede glove leather from goatskin","a flavoring made from coffee mixed with chocolate","a superior dark coffee made from beans from Arabia","a dark brown color"
mochas,"soft suede glove leather from goatskin","a flavoring made from coffee mixed with chocolate","a superior dark coffee made from beans from Arabia","a dark brown color"
mochila
mochilas
mock,"the act of mocking or ridiculing; "they made a mock of him"","treat with contempt; "The new constitution mocks all democratic principles"","imitate with mockery and derision; "The children mocked their handicapped classmate"","constituting a copy or imitation of something; "boys in mock battle""
mockable
mocked
