joannes
job,"the principal activity in your life that you do to earn money; "he's not in my line of business"","a specific piece of work required to be done as a duty or for a specific fee; "estimates of the city's loss on that job ranged as high as a million dollars"; "the job of repairing the engine took several hours"; "the endless task of classifying the samples"; "the farmer's morning chores"","a workplace; as in the expression "on the job";","an object worked on; a result produced by working; "he held the job in his left hand and worked on it with his right"","the responsibility to do something; "it is their job to print the truth"","the performance of a piece of work; "she did an outstanding job as Ophelia"; "he gave it up as a bad job"","a damaging piece of work; "dry rot did the job of destroying the barn"; "the barber did a real job on my hair"","a state of difficulty that needs to be resolved; "she and her husband are having problems"; "it is always a job to contact him"; "urban problems such as traffic congestion and smog"","a Jewish hero in the Old Testament who maintained his faith in God in spite of afflictions that tested him","any long-suffering person who withstands affliction without despairing","(computer science) a program application that may consist of several steps but is a single logical unit","a book in the Old Testament containing Job's pleas to God about his afflictions and God's reply","a crime (especially a robbery); "the gang pulled off a bank job in St. Louis"","profit privately from public office and official business","arranged for contracted work to be done by others","work occasionally; "As a student I jobbed during the semester breaks"","invest at a risk; "I bought this house not because I want to live in it but to sell it later at a good price, so I am speculating""
jobbed,"profit privately from public office and official business","arranged for contracted work to be done by others","work occasionally; "As a student I jobbed during the semester breaks"","invest at a risk; "I bought this house not because I want to live in it but to sell it later at a good price, so I am speculating""
jobber,"someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers"
jobberies
jobbers,"someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers"
jobbery,"corruptness among public officials"
jobbing,"profit privately from public office and official business","arranged for contracted work to be done by others","work occasionally; "As a student I jobbed during the semester breaks"","invest at a risk; "I bought this house not because I want to live in it but to sell it later at a good price, so I am speculating""
jobholder,"an employee who holds a regular job"
jobholders,"an employee who holds a regular job"
jobless,"not having a job; "idle carpenters"; "jobless transients"; "many people in the area were out of work""
