odalisk
odalisks
odd,"not divisible by two","not easily explained; "it is odd that his name is never mentioned"","an indefinite quantity more than that specified; "invited 30-odd guests"","beyond or deviating from the usual or expected; "a curious hybrid accent"; "her speech has a funny twang"; "they have some funny ideas about war"; "had an odd name"; "the peculiar aromatic odor of cloves"; "something definitely queer about this town"; "what a rum fellow"; "singular behavior"","of the remaining member of a pair, of socks e.g.","not used up; "leftover meatloaf"; "she had a little money left over so she went to a movie"; "some odd dollars left"; "saved the remaining sandwiches for supper"; "unexpended provisions""
oddball,"a person with an unusual or odd personality"
oddballs,"a person with an unusual or odd personality"
odder
oddest
oddish,"somewhat strange"
oddities
oddity,"eccentricity that is not easily explained","a strange attitude or habit","something unusual -- perhaps worthy of collecting"
oddly,"in a manner differing from the usual or expected; "had a curiously husky voice"; "he's behaving rather peculiarly"","in a strange manner; "a queerly inscribed sheet of paper""
oddment,"a piece of cloth that is left over after the rest has been used or sold","something unusual -- perhaps worthy of collecting"
oddments,"a motley assortment of things"
oddness,"the parity of odd numbers (not divisible by two)","eccentricity that is not easily explained"
oddnesses
odds,"the likelihood of a thing occurring rather than not occurring","the ratio by which one better's wager is greater than that of another; "he offered odds of two to one"","not divisible by two","not easily explained; "it is odd that his name is never mentioned"","an indefinite quantity more than that specified; "invited 30-odd guests"","beyond or deviating from the usual or expected; "a curious hybrid accent"; "her speech has a funny twang"; "they have some funny ideas about war"; "had an odd name"; "the peculiar aromatic odor of cloves"; "something definitely queer about this town"; "what a rum fellow"; "singular behavior"","of the remaining member of a pair, of socks e.g.","not used up; "leftover meatloaf"; "she had a little money left over so she went to a movie"; "some odd dollars left"; "saved the remaining sandwiches for supper"; "unexpended provisions""
ode,"a lyric poem with complex stanza forms"
odea
odeon
odeons
odes,"a lyric poem with complex stanza forms"
odeum
odic
odious,"unequivocally detestable; "abominable treatment of prisoners"; "detestable vices"; "execrable crimes"; "consequences odious to those you govern"- Edmund Burke"
odiously,"in an offensive and hateful manner; "I don't know anyone who could have behaved so abominably""
odiousness,"the quality of being offensive"
odiousnesses
odium,"state of disgrace resulting from detestable behavior","hate coupled with disgust"
odiums,"state of disgrace resulting from detestable behavior","hate coupled with disgust"
odograph
odographs
odometer,"a meter that shows mileage traversed"
odometers,"a meter that shows mileage traversed"
odometries
odometry
odonate,"large primitive predatory aquatic insect having two pairs of membranous wings"
odonates,"large primitive predatory aquatic insect having two pairs of membranous wings"
odontoid
odontoids
odor,"any property detected by the olfactory system","the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form; "she loved the smell of roses""
odorant
odorants
odored
odorful
odorize,"cause to smell or be smelly"
odorized
odorizes,"cause to smell or be smelly"
odorizing
odorless,"having no odor; "odorless gas"; "odorless flowers""
odorous,"having odor or a characteristic odor; "odorous jasmine flowers"; "odorous garbage"; "fresh odorous bread"","emitting an odor; "odorous salt pork and weevily hardtack"","having a natural fragrance; "odoriferous spices"; "the odorous air of the orchard"; "the perfumed air of June"; "scented flowers""
odors,"any property detected by the olfactory system","the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form; "she loved the smell of roses""
odour,"the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form; "she loved the smell of roses"","any property detected by the olfactory system"
odourful
odours,"the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form; "she loved the smell of roses"","any property detected by the olfactory system"
ods,"a doctor's degree in optometry","the right eye"
odyl
odyle
odyles
odyls
odyssey,"a long wandering and eventful journey","a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy"
odysseys,"a long wandering and eventful journey","a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy"
