iracund
irade
irades
irascibilities
irascibility,"a feeling of resentful anger"
irascible,"quickly aroused to anger; "a hotheaded commander"","characterized by anger; "a choleric outburst"; "an irascible response""
irate,"feeling or showing extreme anger; "irate protesters"; "ireful words""
irately,"in an irate manner; "`Get out,' he shouted irately""
irater
iratest
ire,"a strong emotion; a feeling that is oriented toward some real or supposed grievance","belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
ired
ireful,"feeling or showing extreme anger; "irate protesters"; "ireful words""
irefully
ireless
irenic,"conducive to peace; "irenic without being namby-pamby"; "an irenic attitude toward former antagonists""
irenical
irenics,"conducive to peace; "irenic without being namby-pamby"; "an irenic attitude toward former antagonists""
ires,"a strong emotion; a feeling that is oriented toward some real or supposed grievance","belligerence aroused by a real or supposed wrong (personified as one of the deadly sins)"
irides,"plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals","muscular diaphragm that controls the size of the pupil which in turn controls the amount of light that enters the eye; it forms the colored portion of the eye","diaphragm consisting of thin overlapping plates that can be adjusted to change the diameter of a central opening"
iridescence,"the visual property of something having a milky brightness and a play of colors from the surface"
iridescences,"the visual property of something having a milky brightness and a play of colors from the surface"
iridescent,"varying in color when seen in different lights or from different angles; "changeable taffeta"; "chatoyant (or shot) silk"; "a dragonfly hovered, vibrating and iridescent"","having a play of lustrous rainbow colors; "an iridescent oil slick"; "nacreous (or pearlescent) clouds looking like mother-of-pearl"; "a milky opalescent (or opaline) luster""
iridic,"of or containing iridium","of or relating to the iris of the eye"
iridium,"a heavy brittle metallic element of the platinum group; used in alloys; occurs in natural alloys with platinum or osmium"
iridiums,"a heavy brittle metallic element of the platinum group; used in alloys; occurs in natural alloys with platinum or osmium"
irids
iring
iris,"plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals","muscular diaphragm that controls the size of the pupil which in turn controls the amount of light that enters the eye; it forms the colored portion of the eye","diaphragm consisting of thin overlapping plates that can be adjusted to change the diameter of a central opening"
irised
irises
irising
iritic,"of or relating to located near the iris of the eye"
iritis,"inflammation of the iris"
iritises
irk,"irritate or vex; "It galls me that we lost the suit""
irked
irking
irks,"irritate or vex; "It galls me that we lost the suit""
irksome,"so lacking in interest as to cause mental weariness; "a boring evening with uninteresting people"; "the deadening effect of some routine tasks"; "a dull play"; "his competent but dull performance"; "a ho-hum speaker who couldn't capture their attention"; "what an irksome task the writing of long letters is"- Edmund Burke; "tedious days on the train"; "the tiresome chirping of a cricket"- Mark Twain; "other people's dreams are dreadfully wearisome""
irksomely
iron,"a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood","a golf club that has a relatively narrow metal head","implement used to brand live stock","home appliance consisting of a flat metal base that is heated and used to smooth cloth","press and smooth with a heated iron; "press your shirts"; "she stood there ironing"","extremely robust; "an iron constitution""
ironbark
ironbarks
ironclad,"a wooden warship of the 19th century that is plated with iron or steel armor","sheathed in iron plates for protection","inflexibly entrenched and unchangeable; "brassbound traditions"; "brassbound party loyalists"; "an ironclad rule""
ironclads,"a wooden warship of the 19th century that is plated with iron or steel armor","sheathed in iron plates for protection","inflexibly entrenched and unchangeable; "brassbound traditions"; "brassbound party loyalists"; "an ironclad rule""
irone
ironed,"(of linens or clothes) smoothed with a hot iron"
ironer
ironers
irones
ironic,"humorously sarcastic or mocking; "dry humor"; "an ironic remark often conveys an intended meaning obliquely"; "an ironic novel"; "an ironical smile"; "with a wry Scottish wit"","characterized by often poignant difference or incongruity between what is expected and what actually is; "madness, an ironic fate for such a clear thinker"; "it was ironical that the well-planned scheme failed so completely""
ironical,"characterized by often poignant difference or incongruity between what is expected and what actually is; "madness, an ironic fate for such a clear thinker"; "it was ironical that the well-planned scheme failed so completely"","humorously sarcastic or mocking; "dry humor"; "an ironic remark often conveys an intended meaning obliquely"; "an ironic novel"; "an ironical smile"; "with a wry Scottish wit""
ironically,"contrary to plan or expectation; "ironically, he ended up losing money under his own plan"","in an ironic manner; "she began to mimic him ironically""
ironies
ironing,"garments (clothes or linens) that are to be (or have been) ironed; "there was a basketful of ironing to do"","the work of using heat to smooth washed clothes in order to remove any wrinkles"
ironings,"garments (clothes or linens) that are to be (or have been) ironed; "there was a basketful of ironing to do"","the work of using heat to smooth washed clothes in order to remove any wrinkles"
ironist,"a humorist who uses ridicule and irony and sarcasm"
ironists,"a humorist who uses ridicule and irony and sarcasm"
ironlike,"exhibiting strength or hardness like that of iron; "ironlike determination"; "ironlike nerves"; "ironlike discipline of the Marines""
ironness
ironnesses
irons,"metal shackles; for hands or legs","press and smooth with a heated iron; "press your shirts"; "she stood there ironing"","extremely robust; "an iron constitution""
ironside,"a man of great strength or bravery"
ironsides,"English general and statesman who led the parliamentary army in the English Civil War (1599-1658)"
ironware,"instrumentalities (tools or implements) made of metal"
ironwares,"instrumentalities (tools or implements) made of metal"
ironweed,"any of various plants of the genus Vernonia of tropical and warm regions of especially North America that take their name from their loose heads of purple to rose flowers that quickly take on a rusty hue"
ironweeds,"any of various plants of the genus Vernonia of tropical and warm regions of especially North America that take their name from their loose heads of purple to rose flowers that quickly take on a rusty hue"
ironwood,"handsome East Indian evergreen tree often planted as an ornamental for its fragrant white flowers that yield a perfume; source of very heavy hardwood used for railroad ties","exceptionally tough or hard wood of any of a number of ironwood trees","a small slow-growing deciduous tree of northern Iran having a low domed shape","medium-sized hop hornbeam of eastern North America"
ironwoods,"handsome East Indian evergreen tree often planted as an ornamental for its fragrant white flowers that yield a perfume; source of very heavy hardwood used for railroad ties","exceptionally tough or hard wood of any of a number of ironwood trees","a small slow-growing deciduous tree of northern Iran having a low domed shape","medium-sized hop hornbeam of eastern North America"
ironwork,"work made of iron (gratings or rails or railings etc); "the houses had much ornamental ironwork""
ironworker,"a person who makes articles of iron"
ironworkers,"a person who makes articles of iron"
ironworks,"the workplace where iron is smelted or where iron goods are made"
irony,"witty language used to convey insults or scorn; "he used sarcasm to upset his opponent"; "irony is wasted on the stupid"; "Satire is a sort of glass, wherein beholders do generally discover everybody's face but their own"--Jonathan Swift","incongruity between what might be expected and what actually occurs; "the irony of Ireland's copying the nation she most hated"","a trope that involves incongruity between what is expected and what occurs"
irradiate,"give spiritual insight to; in religion","cast rays of light upon","expose to radiation; "irradiate food""
irradiated
irradiates,"give spiritual insight to; in religion","cast rays of light upon","expose to radiation; "irradiate food""
irradiating
irradiation,"the condition of being exposed to radiation","a column of light (as from a beacon)","(physiology) the spread of sensory neural impulses in the cortex","the apparent enlargement of a bright object when viewed against a dark background","(Pavolvian conditioning) the elicitation of a conditioned response by stimulation similar but not identical to the original stimulus","(medicine) the treatment of disease (especially cancer) by exposure to a radioactive substance"
