xebec
xebecs
xenia
xenial
xenias
xenic
xenogamies
xenogamy
xenogenies
xenogeny
xenolith,"(geology) a piece of rock of different origin from the igneous rock in which it is embedded"
xenoliths,"(geology) a piece of rock of different origin from the igneous rock in which it is embedded"
xenon,"a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts"
xenons,"a colorless odorless inert gaseous element occurring in the earth's atmosphere in trace amounts"
xenophobe
xenophobes
xenophobia,"a fear of foreigners or strangers"
xerarch
xeric,"being deficient in moisture; "deserts provide xeric environments""
xerosere
xeroseres
xeroses
xerosis
xerotic
xerus
xeruses
