xanthate,"a salt or ester of xanthic acid"
xanthates,"a salt or ester of xanthic acid"
xanthein
xantheins
xanthene
xanthenes
xanthic
xanthin
xanthine,"crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine"
xanthines,"crystalline oxidation product of the metabolism of nucleoproteins; precursor of uric acid; found in many organs and in urine"
xanthins
xanthoma,"a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism"
xanthomas,"a skin problem marked by the development (on the eyelids and neck and back) of irregular yellow nodules; sometimes attributable to disturbances of cholesterol metabolism"
xanthomata
xanthone
xanthones
xanthous,"of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk"
