pneuma
pneumas
pneumatic,"of or relating to or using air (or a similar gas); "pneumatic drill"; "pneumatic tire""
pneumatically,"in a pneumatic manner; "at the present time the transmission is very often done hydraulically or pneumatically""
pneumonia,"respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants"
