evacuant,"strongly laxative"
evacuants,"strongly laxative"
evacuate,"move out of an unsafe location into safety; "After the earthquake, residents were evacuated"","empty completely; "evacuate the bottle"","move people from their homes or country","create a vacuum in (a bulb, flask, reaction vessel)","excrete or discharge from the body"
evacuated
evacuates,"move out of an unsafe location into safety; "After the earthquake, residents were evacuated"","empty completely; "evacuate the bottle"","move people from their homes or country","create a vacuum in (a bulb, flask, reaction vessel)","excrete or discharge from the body"
evacuating
evacuation,"the act of removing the contents of something","the act of evacuating; leaving a place in an orderly fashion; especially for protection","the bodily process of discharging waste matter"
evacuations,"the act of removing the contents of something","the act of evacuating; leaving a place in an orderly fashion; especially for protection","the bodily process of discharging waste matter"
evacuee,"a person who has been evacuated from a dangerous place"
evacuees,"a person who has been evacuated from a dangerous place"
evadable
evade,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues); "He dodged the issue"; "she skirted the problem"; "They tend to evade their responsibilities"; "he evaded the questions skillfully"","escape, either physically or mentally; "The thief eluded the police"; "This difficult idea seems to evade her"; "The event evades explanation"","practice evasion; "This man always hesitates and evades"","use cunning or deceit to escape or avoid; "The con man always evades""
evaded
evader
evaders
evades,"avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues); "He dodged the issue"; "she skirted the problem"; "They tend to evade their responsibilities"; "he evaded the questions skillfully"","escape, either physically or mentally; "The thief eluded the police"; "This difficult idea seems to evade her"; "The event evades explanation"","practice evasion; "This man always hesitates and evades"","use cunning or deceit to escape or avoid; "The con man always evades""
evadible
evading
evaluable
evaluate,"evaluate or estimate the nature, quality, ability, extent, or significance of; "I will have the family jewels appraised by a professional"; "access all the factors when taking a risk"","form a critical opinion of; "I cannot judge some works of modern art"; "How do you evaluate this grant proposal?" "We shouldn't pass judgment on other people""
evaluated
evaluates,"evaluate or estimate the nature, quality, ability, extent, or significance of; "I will have the family jewels appraised by a professional"; "access all the factors when taking a risk"","form a critical opinion of; "I cannot judge some works of modern art"; "How do you evaluate this grant proposal?" "We shouldn't pass judgment on other people""
evaluating
evaluation,"act of ascertaining or fixing the value or worth of","an appraisal of the value of something; "he set a high valuation on friendship""
evaluations,"act of ascertaining or fixing the value or worth of","an appraisal of the value of something; "he set a high valuation on friendship""
evaluator,"an authority who is able to estimate worth or quality"
evaluators,"an authority who is able to estimate worth or quality"
evanesce,"disappear gradually; "The pain eventually passed off""
evanesced
evanesces,"disappear gradually; "The pain eventually passed off""
evanescing
evangel,"the four books in the New Testament (Matthew, Mark, Luke, and John) that tell the story of Christ's life and teachings"
evangelical,"relating to or being a Christian church believing in personal conversion and the inerrancy of the Bible especially the 4 Gospels; "evangelical Christianity"; "an ultraconservative evangelical message"","of or pertaining to or in keeping with the Christian gospel especially as in the first 4 books of the New Testament","marked by ardent or zealous enthusiasm for a cause"
evangelism,"zealous preaching and advocacy of the gospel"
evangelisms,"zealous preaching and advocacy of the gospel"
evangelist,"a preacher of the Christian gospel","(when capitalized) any of the spiritual leaders who are assumed to be authors of the Gospels in the New Testament: Matthew, Mark, Luke, and John"
evangelistic,"relating to or promoting the preaching and dissemination of the Christian gospel; "evangelistic fervor"; "the evangelistic concerns of the early church"","marked by ardent or zealous enthusiasm for a cause"
evangelists,"a preacher of the Christian gospel","(when capitalized) any of the spiritual leaders who are assumed to be authors of the Gospels in the New Testament: Matthew, Mark, Luke, and John"
evangels,"the four books in the New Testament (Matthew, Mark, Luke, and John) that tell the story of Christ's life and teachings"
evanish
evanished
evanishes
evanishing
evaporate,"lose or cause to lose liquid by vaporization leaving a more concentrated residue; "evaporate milk"","cause to change into a vapor; "The chemist evaporated the water"","change into a vapor; "The water evaporated in front of our eyes"","become less intense and fade away gradually; "her resistance melted under his charm"; "her hopes evaporated after years of waiting for her fiance""
evaporated,"drawn off in the form of vapor; "evaporated molecules boil off""
evaporates,"lose or cause to lose liquid by vaporization leaving a more concentrated residue; "evaporate milk"","cause to change into a vapor; "The chemist evaporated the water"","change into a vapor; "The water evaporated in front of our eyes"","become less intense and fade away gradually; "her resistance melted under his charm"; "her hopes evaporated after years of waiting for her fiance""
evaporating
evaporation,"the process of becoming a vapor","the process of extracting moisture"
evaporations,"the process of becoming a vapor","the process of extracting moisture"
evaporative,"relating to or causing or being caused by evaporation; "an evaporative cooler""
evaporator
evaporators
evasion,"a statement that is not literally false but that cleverly avoids an unpleasant truth","the deliberate act of failing to pay money; "his evasion of all his creditors"; "he was indicted for nonpayment"","nonperformance of something distasteful (as by deceit or trickery) that you are supposed to do; "his evasion of his clear duty was reprehensible"; "that escape from the consequences is possible but unattractive"","the act of physically escaping from something (an opponent or a pursuer or an unpleasant situation) by some adroit maneuver"
evasions,"a statement that is not literally false but that cleverly avoids an unpleasant truth","the deliberate act of failing to pay money; "his evasion of all his creditors"; "he was indicted for nonpayment"","nonperformance of something distasteful (as by deceit or trickery) that you are supposed to do; "his evasion of his clear duty was reprehensible"; "that escape from the consequences is possible but unattractive"","the act of physically escaping from something (an opponent or a pursuer or an unpleasant situation) by some adroit maneuver"
evasive,"deliberately vague or ambiguous; "his answers were brief, constrained and evasive"; "an evasive statement"","avoiding or escaping from difficulty or danger especially enemy fire; "pilots are taught to take evasive action""
evasiveness,"intentionally vague or ambiguous"
evasivenesses
eve,"(Old Testament) Adam's wife in Judeo-Christian mythology: the first woman and mother of the human race; God created Eve from Adam's rib and placed Adam and Eve in the Garden of Eden","the day before; "he always arrives on the eve of her departure"","the period immediately before something; "on the eve of the French Revolution"","the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); "he enjoyed the evening light across the lake""
evection
evections
even,"the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); "he enjoyed the evening light across the lake"","make level or straight; "level the ground"","become even or more even; "even out the surface"","make even or more even","divisible by two","equal in degree or extent or amount; or equally matched or balanced; "even amounts of butter and sugar"; "on even terms"; "it was a fifty-fifty (or even) split"; "had a fifty-fifty (or even) chance"; "an even fight"","being level or straight or regular and without variation as e.g. in shape or texture; or being in the same plane or at the same height as something else (i.e. even with); "an even application of varnish"; "an even floor"; "the road was not very even"; "the picture is even with the window"","symmetrically arranged; "even features"; "regular features"; "a regular polygon"","occurring at fixed intervals; "a regular beat"; "the even rhythm of his breathing"","of the score in a contest; "the score is tied"","used as an intensive especially to indicate something unexpected; "even an idiot knows that"; "declined even to consider the idea"; "I don't have even a dollar!"","in spite of; notwithstanding; "even when he is sick, he works"; "even with his head start she caught up with him"","to a greater degree or extent; used with comparisons; "looked sick and felt even worse"; "an even (or still) more interesting problem"; "still another problem must be solved"; "a yet sadder tale"","to the full extent; "loyal even unto death""
evened
evener
eveners
evenest
evenfall,"the time of day immediately following sunset; "he loved the twilight"; "they finished before the fall of night""
evenfalls,"the time of day immediately following sunset; "he loved the twilight"; "they finished before the fall of night""
evening,"the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); "he enjoyed the evening light across the lake"","a later concluding time period; "it was the evening of the Roman Empire"","the early part of night (from dinner until bedtime) spent in a special way; "an evening at the opera""
evenings,"the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); "he enjoyed the evening light across the lake"","a later concluding time period; "it was the evening of the Roman Empire"","the early part of night (from dinner until bedtime) spent in a special way; "an evening at the opera""
evenly,"in equal amounts or shares; in a balanced or impartial way; "a class evenly divided between girls and boys"; "they split their winnings equally"; "deal equally with rich and poor"","in a level and regular way"
evenness,"the parity of even numbers (divisible by two)","a quality of uniformity and lack of variation","the quality of being balanced"
evennesses
evens,"the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); "he enjoyed the evening light across the lake"","make level or straight; "level the ground"","become even or more even; "even out the surface"","make even or more even","divisible by two","equal in degree or extent or amount; or equally matched or balanced; "even amounts of butter and sugar"; "on even terms"; "it was a fifty-fifty (or even) split"; "had a fifty-fifty (or even) chance"; "an even fight"","being level or straight or regular and without variation as e.g. in shape or texture; or being in the same plane or at the same height as something else (i.e. even with); "an even application of varnish"; "an even floor"; "the road was not very even"; "the picture is even with the window"","symmetrically arranged; "even features"; "regular features"; "a regular polygon"","occurring at fixed intervals; "a regular beat"; "the even rhythm of his breathing"","of the score in a contest; "the score is tied"","used as an intensive especially to indicate something unexpected; "even an idiot knows that"; "declined even to consider the idea"; "I don't have even a dollar!"","in spite of; notwithstanding; "even when he is sick, he works"; "even with his head start she caught up with him"","to a greater degree or extent; used with comparisons; "looked sick and felt even worse"; "an even (or still) more interesting problem"; "still another problem must be solved"; "a yet sadder tale"","to the full extent; "loyal even unto death""
evensong,"the sixth of the seven canonical hours of the divine office; early evening; now often made a public service on Sundays","(Anglican Church) a daily evening service with prayers prescribed in the Book of Common Prayer"
evensongs,"the sixth of the seven canonical hours of the divine office; early evening; now often made a public service on Sundays","(Anglican Church) a daily evening service with prayers prescribed in the Book of Common Prayer"
event,"something that happens at a given place and time","a special set of circumstances; "in that event, the first possibility is excluded"; "it may rain in which case the picnic will be canceled"","a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory","a phenomenon that follows and is caused by some previous phenomenon; "the magnetic effect was greater when the rod was lengthwise"; "his decision had depressing consequences for business"; "he acted very wise after the event""
eventful,"full of events or incidents; "the most exhausting and eventful day of my life"","having important issues or results; "the year's only really consequential legislation"; "an eventful decision""
eventide,"the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); "he enjoyed the evening light across the lake""
eventides,"the latter part of the day (the period of decreasing daylight from late afternoon until nightfall); "he enjoyed the evening light across the lake""
events,"something that happens at a given place and time","a special set of circumstances; "in that event, the first possibility is excluded"; "it may rain in which case the picnic will be canceled"","a phenomenon located at a single point in space-time; the fundamental observational entity in relativity theory","a phenomenon that follows and is caused by some previous phenomenon; "the magnetic effect was greater when the rod was lengthwise"; "his decision had depressing consequences for business"; "he acted very wise after the event""
eventual,"expected to follow in the indefinite future from causes already operating; "hope of eventual (or ultimate) rescue"; "if this trend continues it is not reasonable to expect the eventual collapse of the stock market""
eventualities
eventuality,"a possible event or occurrence or result"
eventually,"after an unspecified period of time or an especially long delay"
ever,"at any time; "did you ever smoke?"; "the best con man of all time"","at all times; all the time and on every occasion; "I will always be there to help you"; "always arrives on time"; "there is always some pollution in the air"; "ever hoping to strike it rich"; "ever busy"","(intensifier for adjectives) very; "she was ever so friendly""
evergreen,"a plant having foliage that persists and remains green throughout the year","(of plants and shrubs) bearing foliage throughout the year"
evergreens,"a plant having foliage that persists and remains green throughout the year","(of plants and shrubs) bearing foliage throughout the year"
everlasting,"any of various plants of various genera of the family Compositae having flowers that can be dried without loss of form or color","continuing forever or indefinitely; "the ageless themes of love and revenge"; "eternal truths"; "life everlasting"; "hell's perpetual fires"; "the unending bliss of heaven"","without qualification; used informally as (often pejorative) intensifiers; "an arrant fool"; "a complete coward"; "a consummate fool"; "a double-dyed villain"; "gross negligence"; "a perfect idiot"; "pure folly"; "what a sodding mess"; "stark staring mad"; "a thoroughgoing villain"; "utter nonsense"; "the unadulterated truth""
evermore,"at any future time; in the future; "lead a blameless life evermore"","for a limitless time; "no one can live forever"; "brightly beams our Father's mercy from his lighthouse evermore"- P.P.Bliss"
eversion,"the position of being turned outward; "the eversion of the foot"","the act of turning inside out"
eversions,"the position of being turned outward; "the eversion of the foot"","the act of turning inside out"
