rabato,"a wired or starched collar of intricate lace; worn in 17th century"
rabatos,"a wired or starched collar of intricate lace; worn in 17th century"
rabbet,"a rectangular groove made to hold two pieces together","join with a rabbet joint","cut a rectangular groove into"
rabbeted
rabbeting
rabbets,"a rectangular groove made to hold two pieces together","join with a rabbet joint","cut a rectangular groove into"
rabbi,"spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law","a Hebrew title of respect for a Jewish scholar or teacher"
rabbies
rabbin
rabbinate,"rabbis collectively","the office or function of a rabbi"
rabbinates,"rabbis collectively","the office or function of a rabbi"
rabbinic,"of or relating to rabbis or their teachings; "rabbinical school""
rabbinical,"of or relating to rabbis or their teachings; "rabbinical school""
rabbins
rabbis,"spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law","a Hebrew title of respect for a Jewish scholar or teacher"
rabbit,"any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food","the fur of a rabbit","flesh of any of various rabbits or hares (wild or domesticated) eaten as food","hunt rabbits"
rabbited
rabbiter
rabbiters
rabbiting
rabbitries
rabbitry
rabbits,"any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food","the fur of a rabbit","flesh of any of various rabbits or hares (wild or domesticated) eaten as food","hunt rabbits"
rabble,"a disorderly crowd of people","disparaging terms for the common people"
rabbled
rabbler
rabblers
rabbles,"a disorderly crowd of people","disparaging terms for the common people"
rabbling
rabboni
rabbonis
rabic
rabid,"of or infected by rabies","marked by excessive enthusiasm for and intense devotion to a cause or idea; "rabid isolationist""
rabidities
rabidity,"unrestrained excitement or enthusiasm; "poetry is a sort of divine madness""
rabidly
rabies,"an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain"
rabietic
raccoon,"the fur of the North American racoon","an omnivorous nocturnal mammal native to North America and Central America"
raccoons,"the fur of the North American racoon","an omnivorous nocturnal mammal native to North America and Central America"
race,"any competition; "the race for the presidency"","a contest of speed; "the race is to the swift"","people who are believed to belong to the same genetic stock; "some biologists doubt that there are important genetic differences between races of human beings"","(biology) a taxonomic group that is a division of a species; usually arises as a consequence of geographical isolation within a species","the flow of air that is driven backwards by an aircraft propeller","a canal for a current of water","move fast; "He rushed down the hall to receive his guests"; "The cars raced down the street"","compete in a race; "he is running the Marathon this year"; "let's race and see who gets there first"","to work as fast as possible towards a goal, sometimes in competition with others; "We are racing to find a cure for AIDS"","cause to move fast or to rush or race; "The psychologist raced the rats through a long maze""
racecourse,"a course over which races are run"
racecourses,"a course over which races are run"
raced
racehorse,"a horse bred for racing"
racehorses,"a horse bred for racing"
racemate
racemates
raceme,"usually elongate cluster of flowers along the main stem in which the flowers at the base open first"
racemed
racemes,"usually elongate cluster of flowers along the main stem in which the flowers at the base open first"
racemic
racemism
racemisms
racemize
racemized
racemizes
racemizing
racemoid
racemose,"having stalked flowers along an elongated stem that continue to open in succession from below as the stem continues to grow; "lilies of the valley are racemose""
racemous
racer,"someone who drives racing cars at high speeds","a fast car that competes in races","an animal that races","slender fast-moving North American snakes"
racers,"someone who drives racing cars at high speeds","a fast car that competes in races","an animal that races","slender fast-moving North American snakes"
races,"any competition; "the race for the presidency"","a contest of speed; "the race is to the swift"","people who are believed to belong to the same genetic stock; "some biologists doubt that there are important genetic differences between races of human beings"","(biology) a taxonomic group that is a division of a species; usually arises as a consequence of geographical isolation within a species","the flow of air that is driven backwards by an aircraft propeller","a canal for a current of water","move fast; "He rushed down the hall to receive his guests"; "The cars raced down the street"","compete in a race; "he is running the Marathon this year"; "let's race and see who gets there first"","to work as fast as possible towards a goal, sometimes in competition with others; "We are racing to find a cure for AIDS"","cause to move fast or to rush or race; "The psychologist raced the rats through a long maze""
racetrack,"a course over which races are run"
racetracks,"a course over which races are run"
raceway,"a canal for a current of water","a course over which races are run"
raceways,"a canal for a current of water","a course over which races are run"
rachet,"mechanical device consisting of a toothed wheel or rack engaged with a pawl that permits it to move in only one direction"
rachets,"mechanical device consisting of a toothed wheel or rack engaged with a pawl that permits it to move in only one direction"
rachial
rachides
rachis,"axis of a compound leaf or compound inflorescence","the series of vertebrae forming the axis of the skeleton and protecting the spinal cord; "the fall broke his back""
rachises
rachitic,"affected with, suffering from, or characteristic of rickets; "rickety limbs and joints"; "a rachitic patient""
rachitides
rachitis,"inflammation of the vertebral column","childhood disease caused by deficiency of vitamin D and sunlight associated with impaired metabolism of calcium and phosphorus"
racial,"of or related to genetically distinguished groups of people; "racial groups"","of or characteristic of race or races or arising from differences among groups; "racial differences"; "racial discrimination""
racially,"with respect to race; "racially integrated""
racier,"full of zest or vigor; "a racy literary style"","marked by richness and fullness of flavor; "a rich ruby port"; "full-bodied wines"; "a robust claret"; "the robust flavor of fresh-brewed coffee"","suggestive of sexual impropriety; "a blue movie"; "blue jokes"; "he skips asterisks and gives you the gamy details"; "a juicy scandal"; "a naughty wink"; "naughty words"; "racy anecdotes"; "a risque story"; "spicy gossip"","designed or suitable for competing in a race"
raciest,"full of zest or vigor; "a racy literary style"","marked by richness and fullness of flavor; "a rich ruby port"; "full-bodied wines"; "a robust claret"; "the robust flavor of fresh-brewed coffee"","suggestive of sexual impropriety; "a blue movie"; "blue jokes"; "he skips asterisks and gives you the gamy details"; "a juicy scandal"; "a naughty wink"; "naughty words"; "racy anecdotes"; "a risque story"; "spicy gossip"","designed or suitable for competing in a race"
racily,"in a racy manner; "racily vernacular language""
raciness,"a strong odor or taste property; "the pungency of mustard"; "the sulfurous bite of garlic"; "the sharpness of strange spices"; "the raciness of the wine"","behavior or language bordering on indelicacy"
racinesses
racing,"the sport of engaging in contests of speed"
racings,"the sport of engaging in contests of speed"
racism,"the prejudice that members of one race are intrinsically superior to members of other races","discriminatory or abusive behavior towards members of another race"
racisms,"the prejudice that members of one race are intrinsically superior to members of other races","discriminatory or abusive behavior towards members of another race"
racist,"a person with a prejudiced belief that one race is superior to others","based on racial intolerance; "racist remarks"","discriminatory especially on the basis of race or religion"
racists,"a person with a prejudiced belief that one race is superior to others","based on racial intolerance; "racist remarks"","discriminatory especially on the basis of race or religion"
rack,"framework for holding objects","rib section of a forequarter of veal or pork or especially lamb or mutton","the destruction or collapse of something; "wrack and ruin"","an instrument of torture that stretches or disjoints or mutilates victims","a support for displaying various articles; "the newspapers were arranged on a rack"","a form of torture in which pain is inflicted by stretching the body","a rapid gait of a horse in which each foot strikes the ground separately","go at a rack; "the horses single-footed"","stretch to the limits; "rack one's brains"","put on a rack and pinion; "rack a camera"","obtain by coercion or intimidation; "They extorted money from the executive by threatening to reveal his past to the company boss"; "They squeezed money from the owner of the business by threatening him"","run before a gale","fly in high wind","draw off from the lees; "rack wine"","torment emotionally or mentally","work on a rack; "rack leather"","seize together, as of parallel ropes of a tackle in order to prevent running through the block","torture on the rack"
racked
racker,"an attendant who puts pool or billiard balls into a rack"
rackers,"an attendant who puts pool or billiard balls into a rack"
racket,"a loud and disturbing noise","an illegal enterprise (such as extortion or fraud or drug peddling or prostitution) carried on for profit","the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience; "modern music is just noise to me"","a sports implement (usually consisting of a handle and an oval frame with a tightly interlaced network of strings) used to strike a ball (or shuttlecock) in various games","celebrate noisily, often indulging in drinking; engage in uproarious festivities; "The members of the wedding party made merry all night"; "Let's whoop it up--the boss is gone!"","make loud and annoying noises","hit (a ball) with a racket"
racketed
racketeer,"someone who commits crimes for profit (especially one who obtains money by fraud or extortion)","carry on illegal business activities involving crime"
racketeering,"engaging in a racket"
racketeerings,"engaging in a racket"
