craal
craaled
craaling
craals
crab,"decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers","a quarrelsome grouch","(astrology) a person who is born while the sun is in Cancer","the fourth sign of the zodiac; the sun is in this sign from about June 21 to July 22","the edible flesh of any of various crabs","a louse that infests the pubic region of the human body","a stroke of the oar that either misses the water or digs too deeply; "he caught a crab and lost the race"","direct (an aircraft) into a crosswind","scurry sideways like a crab","fish for crab","complain; "What was he hollering about?""
crabbed,"direct (an aircraft) into a crosswind","scurry sideways like a crab","fish for crab","complain; "What was he hollering about?"","annoyed and irritable"
crabber
crabbers
crabbier,"annoyed and irritable"
crabbiest,"annoyed and irritable"
crabbing,"direct (an aircraft) into a crosswind","scurry sideways like a crab","fish for crab","complain; "What was he hollering about?""
crabby,"annoyed and irritable"
crabs,"infestation of the pubic hair by crab lice","direct (an aircraft) into a crosswind","scurry sideways like a crab","fish for crab","complain; "What was he hollering about?""
crabwise,"(of movement) at an angle"
crack,"a long narrow opening","a narrow opening; "he opened the window a crack"","a long narrow depression in a surface","a sudden sharp noise; "the crack of a whip"; "he heard the cracking of the ice"; "he can hear the snap of a twig"","a chance to do something; "he wanted a shot at the champion"","witty remark","a blemish resulting from a break without complete separation of the parts; "there was a crack in the mirror"","a purified and potent form of cocaine that is smoked rather than snorted; highly addictive","a usually brief attempt; "he took a crack at it"; "I gave it a whirl"","the act of cracking something","become fractured; break or crack on the surface only; "The glass cracked when it was heated"","make a very sharp explosive sound; "His gun cracked"","make a sharp sound; "his fingers snapped"","hit forcefully; deal a hard blow, making a cracking noise; "The teacher cracked him across the face with a ruler"","pass through (a barrier); "Registrations cracked through the 30,000 mark in the county"","break partially but keep its integrity; "The glass cracked"","break suddenly and abruptly, as under tension; "The pipe snapped"","gain unauthorized access computers with malicious intentions; "she cracked my password"; "crack a safe"","suffer a nervous breakdown","tell spontaneously; "crack a joke"","cause to become cracked; "heat and light cracked the back of the leather chair"","reduce (petroleum) to a simpler compound by cracking","break into simpler molecules by means of heat; "The petroleum cracked"","of the highest quality; "an ace reporter"; "a crack shot"; "a first-rate golfer"; "a super party"; "played top-notch tennis"; "an athlete in tiptop condition"; "she is absolutely tops""
crackdown,"severely repressive actions"
crackdowns,"severely repressive actions"
cracked,"used of skin roughened as a result of cold or exposure; "chapped lips"","of paint or varnish; having the appearance of alligator hide","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
cracker,"a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet","a poor White person in the southern United States","a programmer who cracks (gains unauthorized access to) computers, typically to do malicious things; "crackers are often mistakenly called hackers"","firework consisting of a small explosive charge and fuse in a heavy paper casing","a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends"
crackers,"a thin crisp wafer made of flour and water with or without leavening and shortening; unsweetened or semisweet","a poor White person in the southern United States","a programmer who cracks (gains unauthorized access to) computers, typically to do malicious things; "crackers are often mistakenly called hackers"","firework consisting of a small explosive charge and fuse in a heavy paper casing","a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
