oyer
oyers
oyes
oyesses
oyez
oyster,"marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters","edible body of any of numerous oysters","a small muscle on each side of the back of a fowl","gather oysters, dig oysters"
oystered
oysterer
oysterers
oystering
oysterings
oysterman
oystermen
oysters,"marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters","edible body of any of numerous oysters","a small muscle on each side of the back of a fowl","gather oysters, dig oysters"
