cyan,"a primary subtractive color for light; has a blue-green color","of a bluish shade of green"
cyanamid,"a weak soluble dibasic acid (the parent acid of cyanamide salts)"
cyanamids,"a weak soluble dibasic acid (the parent acid of cyanamide salts)"
cyanate
cyanates
cyanic
cyanid
cyanide,"any of a class of organic compounds containing the cyano radical -CN","an extremely poisonous salt of hydrocyanic acid"
cyanided
cyanides,"any of a class of organic compounds containing the cyano radical -CN","an extremely poisonous salt of hydrocyanic acid"
cyaniding
cyanids
cyanin
cyanine
cyanines
cyanins
cyanite,"a grey or greenish-blue mineral consisting of aluminum silicate in crystalline form; occurs in metaphoric rock, used as a refractory"
cyanites,"a grey or greenish-blue mineral consisting of aluminum silicate in crystalline form; occurs in metaphoric rock, used as a refractory"
cyanitic
cyano
cyanogen,"a colorless toxic gas with a pungent almond odor; has been used in chemical warfare"
cyanogens,"a colorless toxic gas with a pungent almond odor; has been used in chemical warfare"
cyanosed
cyanoses
cyanosis,"a bluish discoloration of the skin and mucous membranes; a sign that oxygen in the blood is dangerously diminished (as in carbon monoxide poisoning)"
cyanotic
cyans,"a primary subtractive color for light; has a blue-green color","of a bluish shade of green"
cyborg,"a human being whose body has been taken over in whole or in part by electromechanical devices; "a cyborg is a cybernetic organism""
cyborgs,"a human being whose body has been taken over in whole or in part by electromechanical devices; "a cyborg is a cybernetic organism""
cycad,"any tropical gymnosperm of the order Cycadales; having unbranched stems with a crown of fernlike leaves"
cycads,"any tropical gymnosperm of the order Cycadales; having unbranched stems with a crown of fernlike leaves"
cycas,"type genus of Cycadaceae: genus of widely distributed Old World evergreen tropical trees having pinnate leaves and columnar stems covered with persistent bases of old leaves"
cycases
cycasin
cycasins
cyclamen,"Mediterranean plant widely cultivated as a houseplant for its showy dark green leaves splotched with silver and nodding white or pink to reddish flowers with reflexed petals"
cyclamens,"Mediterranean plant widely cultivated as a houseplant for its showy dark green leaves splotched with silver and nodding white or pink to reddish flowers with reflexed petals"
cyclase
cyclases
cycle,"an interval during which a recurring sequence of events occurs; "the never-ending cycle of the seasons"","a series of poems or songs on the same theme; "Schubert's song cycles"","a periodically repeated sequence of events; "a cycle of reprisal and retaliation"","the unit of frequency; one hertz has a periodic interval of one second","a single complete execution of a periodically repeated phenomenon; "a year constitutes a cycle of the seasons"","a wheeled vehicle that has two wheels and is moved by foot pedals","cause to go through a recurring sequence; "cycle the laundry in this washing program"","pass through a cycle; "This machine automatically cycles"","ride a motorcycle","ride a bicycle","recur in repeating sequences"
cyclecar
cyclecars
cycled
cycler
cyclers
cycles,"an interval during which a recurring sequence of events occurs; "the never-ending cycle of the seasons"","a series of poems or songs on the same theme; "Schubert's song cycles"","a periodically repeated sequence of events; "a cycle of reprisal and retaliation"","the unit of frequency; one hertz has a periodic interval of one second","a single complete execution of a periodically repeated phenomenon; "a year constitutes a cycle of the seasons"","a wheeled vehicle that has two wheels and is moved by foot pedals","cause to go through a recurring sequence; "cycle the laundry in this washing program"","pass through a cycle; "This machine automatically cycles"","ride a motorcycle","ride a bicycle","recur in repeating sequences"
cyclic,"conforming to the Carnot cycle","forming a whorl or having parts arranged in a whorl; "cyclic petals"; "cyclic flowers"","of a compound having atoms arranged in a ring structure","recurring in cycles","marked by repeated cycles"
cyclical,"recurring in cycles"
cyclicly
cycling,"the sport of traveling on a bicycle or motorcycle"
cyclings,"the sport of traveling on a bicycle or motorcycle"
cyclist,"a person who rides a bicycle"
cyclists,"a person who rides a bicycle"
cyclitol
cyclitols
cyclize
cyclized
cyclizes
cyclizing
cyclo
cycloid,"a line generated by a point on a circle rolling along a straight line","resembling a circle"
cycloids,"a line generated by a point on a circle rolling along a straight line","resembling a circle"
cyclonal,"of or relating to or characteristic of the atmosphere around a low pressure center; "cyclonic cloud pattern"","of or relating to or characteristic of a violent tropical storm; "cyclonic destruction""
cyclone,"(meteorology) rapid inward circulation of air masses about a low pressure center; circling counterclockwise in the northern hemisphere and clockwise in the southern","a violent rotating windstorm"
cyclones,"(meteorology) rapid inward circulation of air masses about a low pressure center; circling counterclockwise in the northern hemisphere and clockwise in the southern","a violent rotating windstorm"
cyclonic,"of or relating to or characteristic of the atmosphere around a low pressure center; "cyclonic cloud pattern"","of or relating to or characteristic of a violent tropical storm; "cyclonic destruction""
cyclopaedia,"a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty"
cyclopaedias,"a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty"
cyclopedia,"a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty"
cyclopedias,"a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty"
cyclophosphamide
cyclophosphamides
cyclops,"(Greek mythology) one of a race of giants having a single eye in the middle of their forehead","minute free-swimming freshwater copepod having a large median eye and pear-shaped body and long antennae used in swimming; important in some food chains and as intermediate hosts of parasitic worms that affect man e.g. Guinea worms"
