feal
fealties
fealty,"the loyalty that citizens owe to their country (or subjects to their sovereign)"
fear,"an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)","an anxious feeling; "care had aged him"; "they hushed it up out of fear of public reaction"","a feeling of profound respect for someone or something; "the fear of God"; "the Chinese reverence for the dead"; "the French treat food with gentle reverence"; "his respect for the law bordered on veneration"","be afraid or feel anxious or apprehensive about a possible or probable situation or event; "I fear she might get aggressive"","be afraid or scared of; be frightened of; "I fear the winters in Moscow"; "We should not fear the Communists!"","be sorry; used to introduce an unpleasant statement; "I fear I won't make it to your wedding party"","be uneasy or apprehensive about; "I fear the results of the final exams"","regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of; "Fear God as your father"; "We venerate genius""
feared
fearer
fearers
fearful,"experiencing or showing fear; "a fearful glance"; "fearful of criticism"","causing fear or dread or terror; "the awful war"; "an awful risk"; "dire news"; "a career or vengeance so direful that London was shocked"; "the dread presence of the headmaster"; "polio is no longer the dreaded disease it once was"; "a dreadful storm"; "a fearful howling"; "horrendous explosions shook the city"; "a terrible curse"","lacking courage; ignobly timid and faint-hearted; "cowardly dogs, ye will not aid me then"- P.B.Shelley","extremely distressing; "fearful slum conditions"; "a frightful mistake"","timid by nature or revealing timidity; "timorous little mouse"; "in a timorous tone"; "cast fearful glances at the large dog""
fearfuller
fearfullest
fearfully,"in fear, "she hurried down the stairs fearfully"","in an alarming manner; "they were fearfully attacked""
fearing
fearless,"oblivious of dangers or perils or calmly resolute in facing them","invulnerable to fear or intimidation; "audacious explorers"; "fearless reporters and photographers"; "intrepid pioneers""
fearlessly,"without fear; "fearlessly, he led the troops into combat""
fearlessness,"feeling no fear","the trait of feeling no fear"
fearlessnesses
fears,"an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)","an anxious feeling; "care had aged him"; "they hushed it up out of fear of public reaction"","a feeling of profound respect for someone or something; "the fear of God"; "the Chinese reverence for the dead"; "the French treat food with gentle reverence"; "his respect for the law bordered on veneration"","be afraid or feel anxious or apprehensive about a possible or probable situation or event; "I fear she might get aggressive"","be afraid or scared of; be frightened of; "I fear the winters in Moscow"; "We should not fear the Communists!"","be sorry; used to introduce an unpleasant statement; "I fear I won't make it to your wedding party"","be uneasy or apprehensive about; "I fear the results of the final exams"","regard with feelings of respect and reverence; consider hallowed or exalted or be in awe of; "Fear God as your father"; "We venerate genius""
