zoa
zoaria
zoarial
zoarium
zodiac,"a belt-shaped region in the heavens on either side to the ecliptic; divided into 12 constellations or signs for astrological purposes","(astrology) a circular diagram representing the 12 zodiacal constellations and showing their signs"
zodiacal,"relating to or included in the zodiac; "zodiacal constellations""
zodiacs,"a belt-shaped region in the heavens on either side to the ecliptic; divided into 12 constellations or signs for astrological purposes","(astrology) a circular diagram representing the 12 zodiacal constellations and showing their signs"
zoea
zoeae
zoeal
zoeas
zoftig,"(of a female body) healthily plump and vigorous ; "a generation ago...buxom actresses were popular"- Robt.A.Hamilton;"
zoic,"pertaining to animals or animal life or action"
zoisite
zoisites
zombi,"(voodooism) a spirit or supernatural force that reanimates a dead body","a god of voodoo cults of African origin worshipped especially in West Indies","a dead body that has been brought back to life by a supernatural force","someone who acts or responds in a mechanical or apathetic way; "only an automaton wouldn't have noticed"","several kinds of rum with fruit juice and usually apricot liqueur"
zombie,"a dead body that has been brought back to life by a supernatural force","(voodooism) a spirit or supernatural force that reanimates a dead body","a god of voodoo cults of African origin worshipped especially in West Indies","someone who acts or responds in a mechanical or apathetic way; "only an automaton wouldn't have noticed"","several kinds of rum with fruit juice and usually apricot liqueur"
zombies,"a dead body that has been brought back to life by a supernatural force","(voodooism) a spirit or supernatural force that reanimates a dead body","a god of voodoo cults of African origin worshipped especially in West Indies","someone who acts or responds in a mechanical or apathetic way; "only an automaton wouldn't have noticed"","several kinds of rum with fruit juice and usually apricot liqueur"
zombiism
zombiisms
zombis,"(voodooism) a spirit or supernatural force that reanimates a dead body","a god of voodoo cults of African origin worshipped especially in West Indies","a dead body that has been brought back to life by a supernatural force","someone who acts or responds in a mechanical or apathetic way; "only an automaton wouldn't have noticed"","several kinds of rum with fruit juice and usually apricot liqueur"
zonal,"relating to or of the nature of a zone; "the zonal frontier"","associated with or divided into zones; "a zonal pattern of cell structure"; "zonal division""
zonally
zonary,"relating to or of the nature of a zone; "the zonal frontier""
zonate
zonated
zonation
zonations
zone,"a locally circumscribed place characterized by some distinctive features","any of the regions of the surface of the Earth loosely divided according to latitude or longitude","an area or region distinguished from adjacent parts by a distinctive feature or characteristic","(anatomy) any encircling or beltlike structure","regulate housing in; of certain areas of towns","separate or apportion into sections; "partition a room off""
zoned
zoneless
zoner
zoners
zones,"a locally circumscribed place characterized by some distinctive features","any of the regions of the surface of the Earth loosely divided according to latitude or longitude","an area or region distinguished from adjacent parts by a distinctive feature or characteristic","(anatomy) any encircling or beltlike structure","regulate housing in; of certain areas of towns","separate or apportion into sections; "partition a room off""
zonetime
zonetimes
zoning,"dividing an area into zones or sections reserved for different purposes such as residence and business and manufacturing etc"
zonked
zonula,"small beltlike zone"
zonulae
zonular
zonulas,"small beltlike zone"
zonule,"small beltlike zone"
zonules,"small beltlike zone"
zoo,"the facility where wild animals are housed for exhibition"
zoochore
zoochores
zoogenic
zooglea
zoogleae
zoogleal
zoogleas
zoogloea
zoogloeae
zoogloeas
zooid,"one of the distinct individuals forming a colonial animal such as a bryozoan or hydrozoan"
zooidal
zooids,"one of the distinct individuals forming a colonial animal such as a bryozoan or hydrozoan"
zooks
zoolater
zoolaters
zoolatries
zoolatry,"the worship of animals"
zoologic
zoological,"concerning the study of animals and their classification and properties; "zoological research"","of or relating to animals or animal groups; "zoological garden""
zoologies
zoologist,"a specialist in the branch of biology dealing with animals"
zoologists,"a specialist in the branch of biology dealing with animals"
zoology,"all the animal life in a particular region or period; "the fauna of China"; "the zoology of the Pliocene epoch"","the branch of biology that studies animals"
zoom,"a rapid rise","the act of rising upward into the air","move along very quickly","move with a low humming noise","rise rapidly; "the dollar soared against the yen""
zoomania
zoomanias
zoomed
zoometries
zoometry
zooming
zoomorph
zoomorphs
zooms,"a rapid rise","the act of rising upward into the air","move along very quickly","move with a low humming noise","rise rapidly; "the dollar soared against the yen""
zoon
zoonal
zoonoses,"an animal disease that can be transmitted to humans"
zoonosis,"an animal disease that can be transmitted to humans"
zoonotic,"of or relating to or constituting zoonosis; "the Ebola virus is believed to be zoonotic""
zoons
zoophile
zoophiles
zoophyte,"any of various invertebrate animals resembling a plant such as a sea anemone or coral or sponge"
zoophytes,"any of various invertebrate animals resembling a plant such as a sea anemone or coral or sponge"
zoos,"the facility where wild animals are housed for exhibition"
zoosperm
zoosperms
zoospore,"an asexual spore of some algae and fungi that moves by means of flagella"
zoospores,"an asexual spore of some algae and fungi that moves by means of flagella"
zootomic
zootomies
zootomy
zori,"a sandal attached to the foot by a thong over the toes"
zoril,"muishond of northern Africa"
zorilla
zorillas
zorille
zorilles
zorillo
zorillos
zorils,"muishond of northern Africa"
zoster,"eruptions along a nerve path often accompanied by severe neuralgia"
zosters,"eruptions along a nerve path often accompanied by severe neuralgia"
zouave
zouaves
zounds
zowie
zoysia,"any of several creeping grasses of the genus Zoysia"
zoysias,"any of several creeping grasses of the genus Zoysia"
