wab
wabble
wabbled
wabbler
wabblers
wabbles
wabblier
wabbliest
wabbling
wabbly
wabs
wack
wacke
wackes
wackier,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
wackiest,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
wackily,"in a mildly insane manner; "the old lady is beginning to behave quite dottily""
wacks
wacky,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
wad,"a small mass of soft material; "he used a wad of cotton to wipe the counter"","(often followed by `of') a large number or amount or extent; "a batch of letters"; "a deal of trouble"; "a lot of money"; "he made a mint on the stock market"; "see the rest of the winners in our huge passel of photos"; "it must have cost plenty"; "a slew of journalists"; "a wad of money"","a wad of something chewable as tobacco","compress into a wad; "wad paper into the box"","crowd or pack to capacity; "the theater was jampacked""
wadable
wadded,"compress into a wad; "wad paper into the box"","crowd or pack to capacity; "the theater was jampacked""
wadder
wadders
waddie
waddied
waddies
wadding,"any material used especially to protect something","compress into a wad; "wad paper into the box"","crowd or pack to capacity; "the theater was jampacked""
waddings,"any material used especially to protect something","compress into a wad; "wad paper into the box"","crowd or pack to capacity; "the theater was jampacked""
waddle,"walking with short steps and the weight tilting from one foot to the other; "ducks walk with a waddle"","walk unsteadily; "small children toddle""
waddled
waddler,"someone who walks with a waddling gait; "fat waddlers who walk like pigeons""
waddlers,"someone who walks with a waddling gait; "fat waddlers who walk like pigeons""
waddles,"walking with short steps and the weight tilting from one foot to the other; "ducks walk with a waddle"","walk unsteadily; "small children toddle""
waddling
waddly
waddy
waddying
wade,"English tennis player who won many women's singles titles (born in 1945)","walk (through relatively shallow water); "Can we wade across the river to the other side?"; "Wade the pond""
wadeable
waded
wader,"any of many long-legged birds that wade in water in search of food"
waders,"waterproof hip boots (sometimes extending to the chest) worn by anglers"
wades,"English tennis player who won many women's singles titles (born in 1945)","walk (through relatively shallow water); "Can we wade across the river to the other side?"; "Wade the pond""
wadi,"gully or streambed in northern Africa and the Middle East that remains dry except during rainy season"
wadies
wading,"walking with your feet in shallow water"
wadis,"gully or streambed in northern Africa and the Middle East that remains dry except during rainy season"
wadmaal
wadmaals
wadmal
wadmals
wadmel
wadmels
wadmol
wadmoll
wadmolls
wadmols
wads,"a large number or amount; "made lots of new friends"; "she amassed stacks of newspapers"","compress into a wad; "wad paper into the box"","crowd or pack to capacity; "the theater was jampacked""
wadset
wadsets
wadsetted
wadsetting
wady
wae
waefu
waeful
waeness
waenesses
waes
waesuck
waesucks
wafer,"a small adhesive disk of paste; used to seal letters","a small thin crisp cake or cookie","thin disk of unleavened bread used in a religious service (especially in the celebration of the Eucharist)"
wafered
wafering
wafers,"a small adhesive disk of paste; used to seal letters","a small thin crisp cake or cookie","thin disk of unleavened bread used in a religious service (especially in the celebration of the Eucharist)"
wafery
waff
waffed
waffie
waffies
waffing
waffle,"pancake batter baked in a waffle iron","pause or hold back in uncertainty or unwillingness; "Authorities hesitate to quote exact figures""
waffled
waffles,"pancake batter baked in a waffle iron","pause or hold back in uncertainty or unwillingness; "Authorities hesitate to quote exact figures""
waffling
waffs
waft,"a long flag; often tapering","be driven or carried along, as by the air; "Sounds wafted into the room"","blow gently; "A breeze wafted through the door""
waftage
waftages
wafted
wafter
wafters
wafting
wafts,"a long flag; often tapering","be driven or carried along, as by the air; "Sounds wafted into the room"","blow gently; "A breeze wafted through the door""
wafture,"the act of signaling by a movement of the hand"
waftures,"the act of signaling by a movement of the hand"
wag,"a witty amusing person who makes jokes","causing to move repeatedly from side to side","move from side to side; "The happy dog wagged his tail""
wage,"something that remunerates; "wages were paid by check"; "he wasted his pay on drink"; "they saved a quarter of all their earnings"","carry on (wars, battles, or campaigns); "Napoleon and Hitler waged war against all of Europe""
waged
wageless
wager,"the act of gambling; "he did it on a bet"","the money risked on a gamble","stake on the outcome of an issue; "I bet $100 on that new horse"; "She played all her money on the dark horse"","maintain with or as if with a bet; "I bet she will be there!""
wagered
wagerer,"someone who bets"
wagerers,"someone who bets"
wagering
wagers,"the act of gambling; "he did it on a bet"","the money risked on a gamble","stake on the outcome of an issue; "I bet $100 on that new horse"; "She played all her money on the dark horse"","maintain with or as if with a bet; "I bet she will be there!""
wages,"a recompense for worthy acts or retribution for wrongdoing; "the wages of sin is death"; "virtue is its own reward"","carry on (wars, battles, or campaigns); "Napoleon and Hitler waged war against all of Europe""
wagged,"move from side to side; "The happy dog wagged his tail""
wagger
waggeries
waggers
waggery,"waggish behavior","a quaint and amusing jest"
wagging,"move from side to side; "The happy dog wagged his tail""
waggish,"witty or joking; "Muskrat Castle as the house has been facetiously named by some waggish officer"- James Fenimore Cooper"
waggle,"causing to move repeatedly from side to side","move from side to side; "The happy dog wagged his tail"","move unsteadily or with a weaving or rolling motion"
waggled
waggles,"causing to move repeatedly from side to side","move from side to side; "The happy dog wagged his tail"","move unsteadily or with a weaving or rolling motion"
waggling
waggly
waggon,"any of various kinds of wheeled vehicles drawn by an animal or a tractor","a car that has a long body and rear door with space behind rear seat"
waggoned
waggoner,"the driver of a wagon"
waggoners,"the driver of a wagon"
waggoning
waggons,"any of various kinds of wheeled vehicles drawn by an animal or a tractor","a car that has a long body and rear door with space behind rear seat"
waging
wagon,"any of various kinds of wheeled vehicles drawn by an animal or a tractor","van used by police to transport prisoners","a group of seven bright stars in the constellation Ursa Major","a child's four-wheeled toy cart sometimes used for coasting","a car that has a long body and rear door with space behind rear seat"
wagonage
wagonages
wagoned
wagoner,"the driver of a wagon"
wagoners,"the driver of a wagon"
wagoning
