bra,"an undergarment worn by women to support their breasts"
brabble,"argue over petty things; "Let's not quibble over pennies""
brabbled
brabbler
brabblers
brabbles,"argue over petty things; "Let's not quibble over pennies""
brabbling
brace,"a support that steadies or strengthens something else; "he wore a brace on his knee"","two items of the same kind","a set of two similar things considered as a unit","either of two punctuation marks ({ or }) used to enclose textual material","a rope on a square-rigged ship that is used to swing a yard about and secure it","elastic straps that hold trousers up (usually used in the plural)","an appliance that corrects dental irregularities","a carpenter's tool having a crank handle for turning and a socket to hold a bit for boring","a structural member used to stiffen a framework","prepare (oneself) for something unpleasant or difficult","support or hold steady and make steadfast, with or as if with a brace; "brace your elbows while working on the potter's wheel"","support by bracing","cause to be alert and energetic; "Coffee and tea stimulate me"; "This herbal infusion doesn't stimulate""
braced,"positioned so as to be ready for confrontation or danger; "he stood to attention with his shoulders braced"","held up by braces or buttresses"
bracelet,"a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist","jewelry worn around the wrist for decoration"
bracelets,"a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist","jewelry worn around the wrist for decoration"
bracer,"a protective covering for the wrist or arm that is used in archery and fencing and other sports","a tonic or restorative (especially a drink of liquor)"
bracero,"a Mexican laborer who worked in the United States on farms and railroads in order to ease labor shortages during World War II"
braceros,"a Mexican laborer who worked in the United States on farms and railroads in order to ease labor shortages during World War II"
bracers,"a protective covering for the wrist or arm that is used in archery and fencing and other sports","a tonic or restorative (especially a drink of liquor)"
braces,"an appliance that corrects dental irregularities","prepare (oneself) for something unpleasant or difficult","support or hold steady and make steadfast, with or as if with a brace; "brace your elbows while working on the potter's wheel"","support by bracing","cause to be alert and energetic; "Coffee and tea stimulate me"; "This herbal infusion doesn't stimulate""
brach
braches
brachet
brachets
brachia,"(biology) a branching or armlike part of an animal"
brachial,"of or relating to an arm; "brachial artery""
brachials,"of or relating to an arm; "brachial artery""
brachium,"(biology) a branching or armlike part of an animal"
bracing,"a structural member used to stiffen a framework","imparting vitality and energy; "the bracing mountain air""
bracings,"a structural member used to stiffen a framework","imparting vitality and energy; "the bracing mountain air""
bracken,"fern of southeastern Asia; not hardy in cold temperate regions","large coarse fern often several feet high; essentially weed ferns; cosmopolitan"
brackens,"fern of southeastern Asia; not hardy in cold temperate regions","large coarse fern often several feet high; essentially weed ferns; cosmopolitan"
bracket,"a category falling within certain defined limits","either of two punctuation marks (`<' or `>') used in computer programming and sometimes used to enclose textual material","either of two punctuation marks ([ or ]) used to enclose textual material","a support projecting from a wall (as to hold a shelf)","support with brackets; "bracket bookshelves"","place into brackets; "Please bracket this remark"","classify or group"
bracketed
bracketing
brackets,"a category falling within certain defined limits","either of two punctuation marks (`<' or `>') used in computer programming and sometimes used to enclose textual material","either of two punctuation marks ([ or ]) used to enclose textual material","a support projecting from a wall (as to hold a shelf)","support with brackets; "bracket bookshelves"","place into brackets; "Please bracket this remark"","classify or group"
brackish,"distasteful and unpleasant; spoiled by mixture; "a thin brackish gruel"","slightly salty (especially from containing a mixture of seawater and fresh water); "a brackish lagoon"; "the briny deep""
bract,"a modified leaf or leaflike part just below and protecting an inflorescence"
bracteal,"pertaining to or resembling or functioning as a bract"
bracted,"having bracts"
bractlet,"a small bract"
bractlets,"a small bract"
bracts,"a modified leaf or leaflike part just below and protecting an inflorescence"
brad,"a small nail","fasten with brads"
bradawl,"an awl for making small holes for brads or small screws"
bradawls,"an awl for making small holes for brads or small screws"
bradded
bradding
bradoon
bradoons
brads,"a small nail","fasten with brads"
brae,"a slope or hillside"
braes,"a slope or hillside"
