zabaione
zabaiones
zabajone
zabajones
zacaton
zacatons
zaddik
zaddikim
zaffar
zaffars
zaffer
zaffers
zaffir
zaffirs
zaffre
zaffres
zaftig,"(of a female body) healthily plump and vigorous ; "a generation ago...buxom actresses were popular"- Robt.A.Hamilton;"
zag,"an angular shape characterized by sharp turns in alternating directions"
zagged
zagging
zags,"an angular shape characterized by sharp turns in alternating directions"
zaibatsu
zaire,"the basic unit of money in Zaire","a republic in central Africa; achieved independence from Belgium in 1960"
zaires,"the basic unit of money in Zaire","a republic in central Africa; achieved independence from Belgium in 1960"
zamarra
zamarras
zamarro
zamarros
zamia,"any of various cycads of the genus Zamia; among the smallest and most verdant cycads"
zamias,"any of various cycads of the genus Zamia; among the smallest and most verdant cycads"
zamindar
zamindars
zanana
zananas
zander
zanders
zanier,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","like a clown; "a buffoonish walk"; "a clownish face"; "a zany sense of humor""
zanies
zaniest,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","like a clown; "a buffoonish walk"; "a clownish face"; "a zany sense of humor""
zanily
zaniness
zaninesses
zany,"a buffoon in one of the old comedies; imitates others for ludicrous effect","a man who is a stupid incompetent fool","ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","like a clown; "a buffoonish walk"; "a clownish face"; "a zany sense of humor""
zanyish
zanza
zanzas
zap,"a sudden event that imparts energy or excitement, usually with a dramatic impact; "they gave it another zap of radiation"","strike suddenly and with force; "This show zaps the viewers with some shocking scenes"","kill with or as if with a burst of gunfire or electric current or as if by shooting; "in this computer game, space travellers are vaporized by aliens"","strike at with firepower or bombs; "zap the enemy"","cook or heat in a microwave oven; "You can microwave the leftovers""
zapateo
zapateos
zapped,"strike suddenly and with force; "This show zaps the viewers with some shocking scenes"","kill with or as if with a burst of gunfire or electric current or as if by shooting; "in this computer game, space travellers are vaporized by aliens"","strike at with firepower or bombs; "zap the enemy"","cook or heat in a microwave oven; "You can microwave the leftovers""
zapping,"strike suddenly and with force; "This show zaps the viewers with some shocking scenes"","kill with or as if with a burst of gunfire or electric current or as if by shooting; "in this computer game, space travellers are vaporized by aliens"","strike at with firepower or bombs; "zap the enemy"","cook or heat in a microwave oven; "You can microwave the leftovers""
zaps,"a sudden event that imparts energy or excitement, usually with a dramatic impact; "they gave it another zap of radiation"","strike suddenly and with force; "This show zaps the viewers with some shocking scenes"","kill with or as if with a burst of gunfire or electric current or as if by shooting; "in this computer game, space travellers are vaporized by aliens"","strike at with firepower or bombs; "zap the enemy"","cook or heat in a microwave oven; "You can microwave the leftovers""
zaptiah
zaptiahs
zaptieh
zaptiehs
zaratite
zaratites
zareba
zarebas
zareeba
zareebas
zarf,"an ornamental metal cup-shaped holder for a hot coffee cup"
zarfs,"an ornamental metal cup-shaped holder for a hot coffee cup"
zariba
zaribas
zarzuela
zarzuelas
zastruga
zastrugi
zax
zaxes
zayin,"the 7th letter of the Hebrew alphabet"
zayins,"the 7th letter of the Hebrew alphabet"
