igloo,"an Eskimo hut; usually built of blocks (of sod or snow) in the shape of a dome"
igloos,"an Eskimo hut; usually built of blocks (of sod or snow) in the shape of a dome"
iglu,"an Eskimo hut; usually built of blocks (of sod or snow) in the shape of a dome"
iglus,"an Eskimo hut; usually built of blocks (of sod or snow) in the shape of a dome"
ignatia
ignatias
igneous,"produced under conditions involving intense heat; "igneous rock is rock formed by solidification from a molten state; especially from molten magma"; "igneous fusion is fusion by heat alone"; "pyrogenic strata"","produced by the action of fire or intense heat; "rocks formed by igneous agents"","like or suggestive of fire; "a fiery desert wind"; "an igneous desert atmosphere""
ignified
ignifies
ignify
ignifying
ignite,"cause to start burning; subject to fire or great heat; "Great heat can ignite almost any dry matter"; "Light a cigarette"","start to burn or burst into flames; "Marsh gases ignited suddenly"; "The oily rags combusted spontaneously"","arouse or excite feelings and passions; "The ostentatious way of living of the rich ignites the hatred of the poor"; "The refugees' fate stirred up compassion around the world"; "Wake old feelings of hatred""
ignited,"set afire; "the ignited paper"; "a kindled fire""
igniter,"a substance used to ignite or kindle a fire","a device for lighting or igniting fuel or charges or fires; "do you have a light?""
igniters,"a substance used to ignite or kindle a fire","a device for lighting or igniting fuel or charges or fires; "do you have a light?""
ignites,"cause to start burning; subject to fire or great heat; "Great heat can ignite almost any dry matter"; "Light a cigarette"","start to burn or burst into flames; "Marsh gases ignited suddenly"; "The oily rags combusted spontaneously"","arouse or excite feelings and passions; "The ostentatious way of living of the rich ignites the hatred of the poor"; "The refugees' fate stirred up compassion around the world"; "Wake old feelings of hatred""
igniting
ignition,"the process of initiating combustion or catching fire","the mechanism that ignites the fuel in an internal-combustion engine","the act of setting something on fire"
ignitions,"the process of initiating combustion or catching fire","the mechanism that ignites the fuel in an internal-combustion engine","the act of setting something on fire"
ignitor,"a substance used to ignite or kindle a fire","a device for lighting or igniting fuel or charges or fires; "do you have a light?""
ignitors,"a substance used to ignite or kindle a fire","a device for lighting or igniting fuel or charges or fires; "do you have a light?""
ignitron
ignitrons
ignoble,"completely lacking nobility in character or quality or purpose; "something cowardly and ignoble in his attitude"; "I think it a less evil that some criminals should escape than that the government should play an ignoble part"- Oliver Wendell Holmes, Jr.","not of the nobility; "of ignoble (or ungentle) birth"; "untitled civilians""
ignobly,"in a currish manner; meanspiritedly; "he behaved ignobly""
ignominies
ignominious,"(used of conduct or character) deserving or bringing disgrace or shame; "Man...has written one of his blackest records as a destroyer on the oceanic islands"- Rachel Carson; "an ignominious retreat"; "inglorious defeat"; "an opprobrious monument to human greed"; "a shameful display of cowardice""
ignominiously,"in a dishonorable manner or to a dishonorable degree; "his grades were disgracefully low""
ignominy,"a state of dishonor; "one mistake brought shame to all his family"; "suffered the ignominy of being sent to prison""
ignoramus,"an ignorant person"
ignoramuses
ignorance,"the lack of knowledge or education"
ignorances,"the lack of knowledge or education"
ignorant,"uneducated in general; lacking knowledge or sophistication; "an ignorant man"; "nescient of contemporary literature"; "an unlearned group incapable of understanding complex issues"; "exhibiting contempt for his unlettered companions"","uneducated in the fundamentals of a given art or branch of learning; lacking knowledge of a specific field; "she is ignorant of quantum mechanics"; "he is musically illiterate"","unaware because of a lack of relevant information or knowledge; "he was completely ignorant of the circumstances"; "an unknowledgeable assistant"; "his rudeness was unwitting""
ignorantly,"in ignorance; in an ignorant manner; "they lived ignorantly in their own small world""
ignore,"refuse to acknowledge; "She cut him dead at the meeting"","bar from attention or consideration; "She dismissed his advances"","fail to notice","give little or no attention to; "Disregard the errors"","be ignorant of or in the dark about"
ignored,"disregarded; "his cries were unheeded"; "Shaw's neglected one-act comedy, `A Village Wooing'"; "her ignored advice""
ignorer
ignorers
ignores,"refuse to acknowledge; "She cut him dead at the meeting"","bar from attention or consideration; "She dismissed his advances"","fail to notice","give little or no attention to; "Disregard the errors"","be ignorant of or in the dark about"
ignoring
iguana,"large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America"
iguanas,"large herbivorous tropical American arboreal lizards with a spiny crest along the back; used as human food in Central America and South America"
iguanian
iguanians
