oaf,"an awkward stupid person"
oafish,"ill-mannered and coarse and contemptible in behavior or appearance; "was boorish and insensitive"; "the loutish manners of a bully"; "her stupid oafish husband"; "aristocratic contempt for the swinish multitude""
oafishly
oafs,"an awkward stupid person"
oak,"the hard durable wood of any oak; used especially for furniture and flooring","a deciduous tree of the genus Quercus; has acorns and lobed leaves; "great oaks grow from little acorns""
oaken,"consisting of or made of wood of the oak tree; "a solid oak table"; "the old oaken bucket""
oaklike
oakmoss
oakmosses
oaks,"the hard durable wood of any oak; used especially for furniture and flooring","a deciduous tree of the genus Quercus; has acorns and lobed leaves; "great oaks grow from little acorns""
oakum,"loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships"
oakums,"loose hemp or jute fiber obtained by unravelling old ropes; when impregnated with tar it was used to caulk seams and pack joints in wooden ships"
oar,"an implement used to propel or steer a boat"
oared
oarfish,"thin deep-water tropical fish 20 to 30 feet long having a red dorsal fin"
oarfishes,"thin deep-water tropical fish 20 to 30 feet long having a red dorsal fin"
oaring
oarless
oarlike
oarlock,"a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing"
oarlocks,"a holder attached to the gunwale of a boat that holds the oar in place and acts as a fulcrum for rowing"
oars,"an implement used to propel or steer a boat"
oarsman,"someone who rows a boat"
oarsmen
oases,"a fertile tract in a desert (where the water table approaches the surface)","a shelter serving as a place of safety or sanctuary"
oasis,"a fertile tract in a desert (where the water table approaches the surface)","a shelter serving as a place of safety or sanctuary"
oast,"a kiln for drying hops"
oasts,"a kiln for drying hops"
oat,"annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')","seed of the annual grass Avena sativa (spoken of primarily in the plural as `oats')"
oatcake,"thin flat unleavened cake of baked oatmeal"
oatcakes,"thin flat unleavened cake of baked oatmeal"
oaten,"of or related to or derived from oats; "oaten bread""
oater
oaters
oath,"profane or obscene expression usually of surprise or anger; "expletives were deleted"","a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury","a solemn promise, usually invoking a divine witness, regarding your future acts or behavior; "they took an oath of allegiance""
oaths,"profane or obscene expression usually of surprise or anger; "expletives were deleted"","a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury","a solemn promise, usually invoking a divine witness, regarding your future acts or behavior; "they took an oath of allegiance""
oatlike
oatmeal,"porridge made of rolled oats","meal made from rolled or ground oats"
oatmeals,"porridge made of rolled oats","meal made from rolled or ground oats"
oats,"annual grass of Europe and North Africa; grains used as food and fodder (referred to primarily in the plural: `oats')","seed of the annual grass Avena sativa (spoken of primarily in the plural as `oats')"
oaves
