gharri
gharries
gharris
gharry,"a horse-drawn carriage in India"
ghast
ghastful
ghastlier,"shockingly repellent; inspiring horror; "ghastly wounds"; "the grim aftermath of the bombing"; "the grim task of burying the victims"; "a grisly murder"; "gruesome evidence of human sacrifice"; "macabre tales of war and plague in the Middle ages"; "macabre tortures conceived by madmen"","gruesomely indicative of death or the dead; "a charnel smell came from the chest filled with dead men's bones"; "ghastly shrieks"; "the sepulchral darkness of the catacombs""
ghastliest,"shockingly repellent; inspiring horror; "ghastly wounds"; "the grim aftermath of the bombing"; "the grim task of burying the victims"; "a grisly murder"; "gruesome evidence of human sacrifice"; "macabre tales of war and plague in the Middle ages"; "macabre tortures conceived by madmen"","gruesomely indicative of death or the dead; "a charnel smell came from the chest filled with dead men's bones"; "ghastly shrieks"; "the sepulchral darkness of the catacombs""
ghastly,"shockingly repellent; inspiring horror; "ghastly wounds"; "the grim aftermath of the bombing"; "the grim task of burying the victims"; "a grisly murder"; "gruesome evidence of human sacrifice"; "macabre tales of war and plague in the Middle ages"; "macabre tortures conceived by madmen"","gruesomely indicative of death or the dead; "a charnel smell came from the chest filled with dead men's bones"; "ghastly shrieks"; "the sepulchral darkness of the catacombs""
ghat,"stairway in India leading down to a landing on the water"
ghats,"stairway in India leading down to a landing on the water"
ghaut
ghauts
ghazi
ghazies
ghazis
ghee,"clarified butter used in Indian cookery"
ghees,"clarified butter used in Indian cookery"
gherao
gheraoed
gheraoes
gheraoing
gherkin,"any of various small cucumbers pickled whole","small prickly cucumber"
gherkins,"any of various small cucumbers pickled whole","small prickly cucumber"
ghetto,"formerly the restricted quarter of many European cities in which Jews were required to live; "the Warsaw ghetto"","any segregated mode of living or working that results from bias or stereotyping; "the relative security of the gay ghetto"; "no escape from the ghetto of the typing pool"","a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
ghettoed
ghettoes,"formerly the restricted quarter of many European cities in which Jews were required to live; "the Warsaw ghetto"","any segregated mode of living or working that results from bias or stereotyping; "the relative security of the gay ghetto"; "no escape from the ghetto of the typing pool"","a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
ghettoing
ghettos,"formerly the restricted quarter of many European cities in which Jews were required to live; "the Warsaw ghetto"","any segregated mode of living or working that results from bias or stereotyping; "the relative security of the gay ghetto"; "no escape from the ghetto of the typing pool"","a poor densely populated city district occupied by a minority ethnic group linked together by economic hardship and social restrictions"
ghi
ghibli
ghiblis
ghillie,"a shoe without a tongue and with decorative lacing up the instep"
ghillies,"a shoe without a tongue and with decorative lacing up the instep"
ghis
ghost,"a mental representation of some haunting experience; "he looked like he had seen a ghost"; "it aroused specters from his past"","a writer who gives the credit of authorship to someone else","the visible disembodied soul of a dead person","a suggestion of some quality; "there was a touch of sarcasm in his tone"; "he detected a ghost of a smile on her face"","move like a ghost; "The masked men ghosted across the moonlit yard"","haunt like a ghost; pursue; "Fear of illness haunts her"","write for someone else; "How many books have you ghostwritten so far?""
ghosted
ghostier
ghostiest
ghosting
ghostlier,"resembling or characteristic of a phantom; "a ghostly face at the window"; "a phantasmal presence in the room"; "spectral emanations"; "spiritual tappings at a seance""
ghostliest,"resembling or characteristic of a phantom; "a ghostly face at the window"; "a phantasmal presence in the room"; "spectral emanations"; "spiritual tappings at a seance""
ghostly,"resembling or characteristic of a phantom; "a ghostly face at the window"; "a phantasmal presence in the room"; "spectral emanations"; "spiritual tappings at a seance""
ghosts,"a mental representation of some haunting experience; "he looked like he had seen a ghost"; "it aroused specters from his past"","a writer who gives the credit of authorship to someone else","the visible disembodied soul of a dead person","a suggestion of some quality; "there was a touch of sarcasm in his tone"; "he detected a ghost of a smile on her face"","move like a ghost; "The masked men ghosted across the moonlit yard"","haunt like a ghost; pursue; "Fear of illness haunts her"","write for someone else; "How many books have you ghostwritten so far?""
ghostwrite,"write for someone else; "How many books have you ghostwritten so far?""
ghostwriter,"a writer who gives the credit of authorship to someone else"
ghostwriters,"a writer who gives the credit of authorship to someone else"
ghostwrites,"write for someone else; "How many books have you ghostwritten so far?""
ghostwritten,"write for someone else; "How many books have you ghostwritten so far?""
ghostwrote,"write for someone else; "How many books have you ghostwritten so far?""
ghosty
ghoul,"someone who takes bodies from graves and sells them for anatomical dissection","an evil spirit or ghost"
ghoulish,"suggesting the horror of death and decay; "morbid details""
ghouls,"someone who takes bodies from graves and sells them for anatomical dissection","an evil spirit or ghost"
ghyll
ghylls
