vocable,"a word that is spoken aloud"
vocables,"a word that is spoken aloud"
vocably
vocabularies
vocabulary,"a listing of the words used in some enterprise","a language user's knowledge of words","the system of techniques or symbols serving as a means of expression (as in arts or crafts); "he introduced a wide vocabulary of techniques""
vocal,"music intended to be performed by one or more singers, usually with instrumental accompaniment","a short musical composition with words; "a successful musical must have at least three good songs"","relating to or designed for or using the singing voice; "vocal technique"; "the vocal repertoire"; "organized a vocal group to sing his compositions"","having or using the power to produce speech or sound; "vocal organs"; "all vocal beings hymned their praise"","given to expressing yourself freely or insistently; "outspoken in their opposition to segregation"; "a vocal assembly"","full of the sound of voices; "a playground vocal with the shouts and laughter of children""
vocalic,"being or containing or characterized by vowels; "vocalic sounds"; "the Gaelic language being uncommonly vocalic"- Walter Scott","relating to or associated with or containing a vowel; "vocalic segments"; "the vocalic ablaut""
vocalics,"being or containing or characterized by vowels; "vocalic sounds"; "the Gaelic language being uncommonly vocalic"- Walter Scott","relating to or associated with or containing a vowel; "vocalic segments"; "the vocalic ablaut""
vocalise,"sing (each note a scale or in a melody) with the same vowel","pronounce as a vowel; "between two consonants, this liquid is vowelized"","express or state clearly","utter with vibrating vocal chords","utter speech sounds"
vocalised
vocalises,"sing (each note a scale or in a melody) with the same vowel","pronounce as a vowel; "between two consonants, this liquid is vowelized"","express or state clearly","utter with vibrating vocal chords","utter speech sounds"
vocalising
vocalism,"the system of vowels used in a particular language","the sound made by the vibration of vocal folds modified by the resonance of the vocal tract; "a singer takes good care of his voice"; "the giraffe cannot make any vocalizations""
vocalisms,"the system of vowels used in a particular language","the sound made by the vibration of vocal folds modified by the resonance of the vocal tract; "a singer takes good care of his voice"; "the giraffe cannot make any vocalizations""
vocalist,"a person who sings"
vocalists,"a person who sings"
vocalities
vocality
vocalize,"utter with vibrating vocal chords","sing (each note a scale or in a melody) with the same vowel","pronounce as a vowel; "between two consonants, this liquid is vowelized"","express or state clearly","utter speech sounds"
vocalized
vocalizes,"utter with vibrating vocal chords","sing (each note a scale or in a melody) with the same vowel","pronounce as a vowel; "between two consonants, this liquid is vowelized"","express or state clearly","utter speech sounds"
vocalizing,"the act of singing vocal music"
vocally,"in a vocal manner; "she defended herself vocally""
vocals,"music intended to be performed by one or more singers, usually with instrumental accompaniment","a short musical composition with words; "a successful musical must have at least three good songs"","relating to or designed for or using the singing voice; "vocal technique"; "the vocal repertoire"; "organized a vocal group to sing his compositions"","having or using the power to produce speech or sound; "vocal organs"; "all vocal beings hymned their praise"","given to expressing yourself freely or insistently; "outspoken in their opposition to segregation"; "a vocal assembly"","full of the sound of voices; "a playground vocal with the shouts and laughter of children""
vocation,"the particular occupation for which you are trained","a body of people doing the same kind of work"
vocational,"of or relating to a vocation or occupation; especially providing or undergoing training in special skills; "vocational school"; "vocational students learning to repair a motor""
vocations,"the particular occupation for which you are trained","a body of people doing the same kind of work"
vocative,"the case (in some inflected languages) used when the referent of the noun is being addressed","relating to a case used in some languages; "vocative verb endings""
vocatives,"the case (in some inflected languages) used when the referent of the noun is being addressed","relating to a case used in some languages; "vocative verb endings""
voces,"the sound made by the vibration of vocal folds modified by the resonance of the vocal tract; "a singer takes good care of his voice"; "the giraffe cannot make any vocalizations""
vociferous,"conspicuously and offensively loud; given to vehement outcry; "blatant radios"; "a clamorous uproar"; "strident demands"; "a vociferous mob""
vociferously,"in a vociferous manner; "he complained vociferously""
