sea,"a division of an ocean or a large body of salt water partially enclosed by land","anything apparently limitless in quantity or volume","turbulent water with swells of considerable size; "heavy seas""
seabag,"a cylindrical drawstring bag used by sailors to hold their clothing and other gear"
seabags,"a cylindrical drawstring bag used by sailors to hold their clothing and other gear"
seabeach
seabeaches
seabed,"the bottom of a sea or ocean"
seabeds,"the bottom of a sea or ocean"
seabird,"a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc."
seabirds,"a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc."
seaboard,"the shore of a sea or ocean regarded as a resort"
seaboards,"the shore of a sea or ocean regarded as a resort"
seaboot
seaboots
seaborne,"conveyed by sea"
seacoast,"the shore of a sea or ocean"
seacoasts,"the shore of a sea or ocean"
seacock
seacocks
seacraft
seacrafts
seadog
seadogs
seadrome
seadromes
seafarer,"a man who serves as a sailor"
seafarers,"a man who serves as a sailor"
seafaring,"the work of a sailor","travel by water","used on the high seas; "seafaring vessels""
seafarings,"the work of a sailor","travel by water","used on the high seas; "seafaring vessels""
seafloor
seafloors
seafood,"edible fish (broadly including freshwater fish) or shellfish or roe etc"
seafoods,"edible fish (broadly including freshwater fish) or shellfish or roe etc"
seafowl,"a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc."
seafowls,"a bird that frequents coastal waters and the open ocean: gulls; pelicans; gannets; cormorants; albatrosses; petrels; etc."
seafront,"the waterfront of a seaside town"
seafronts,"the waterfront of a seaside town"
seagirt,"surrounded or enclosed by the sea"
seagoing,"used on the high seas; "seafaring vessels""
seal,"fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters","a device incised to make an impression; used to secure a closing or to authenticate documents","the pelt or fur (especially the underfur) of a seal; "a coat of seal"","a member of a Naval Special Warfare unit who is trained for unconventional warfare; "SEAL is an acronym for Sea Air and Land"","a stamp affixed to a document (as to attest to its authenticity or to seal it); "the warrant bore the sheriff's seal"","an indication of approved or superior status","a finishing coat applied to exclude moisture","fastener that provides a tight and perfect closure","any of numerous marine mammals that come on shore to breed; chiefly of cold regions","make tight; secure against leakage; "seal the windows"","close with or as if with a seal; "She sealed the letter with hot wax"","decide irrevocably; "sealing dooms"","affix a seal to; "seal the letter"","cover with varnish","hunt seals"
sealable
sealant,"a kind of sealing material that is used to form a hard coating on a porous surface (as a coat of paint or varnish used to size a surface)"
sealants,"a kind of sealing material that is used to form a hard coating on a porous surface (as a coat of paint or varnish used to size a surface)"
sealed,"established irrevocably; "his fate is sealed"","closed or secured with or as if with a seal; "my lips are sealed"; "the package is still sealed"; "the premises are sealed"","undisclosed for the time being; "sealed orders"; "a sealed move in chess"","determined irrevocably; "his fate is sealed"","having been paved","covered with a waterproof coating; "a sealed driveway"","(of walls) covered with a coat of plaster"
sealer,"a kind of sealing material that is used to form a hard coating on a porous surface (as a coat of paint or varnish used to size a surface)","an official who affixes a seal to a document"
sealeries
sealers,"a kind of sealing material that is used to form a hard coating on a porous surface (as a coat of paint or varnish used to size a surface)","an official who affixes a seal to a document"
sealery
sealing,"the act of treating something to make it repel water"
seallike
seals,"fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters","a device incised to make an impression; used to secure a closing or to authenticate documents","the pelt or fur (especially the underfur) of a seal; "a coat of seal"","a member of a Naval Special Warfare unit who is trained for unconventional warfare; "SEAL is an acronym for Sea Air and Land"","a stamp affixed to a document (as to attest to its authenticity or to seal it); "the warrant bore the sheriff's seal"","an indication of approved or superior status","a finishing coat applied to exclude moisture","fastener that provides a tight and perfect closure","any of numerous marine mammals that come on shore to breed; chiefly of cold regions","make tight; secure against leakage; "seal the windows"","close with or as if with a seal; "She sealed the letter with hot wax"","decide irrevocably; "sealing dooms"","affix a seal to; "seal the letter"","cover with varnish","hunt seals"
sealskin,"the pelt or fur (especially the underfur) of a seal; "a coat of seal"","a garment (as a jacket or coat or robe) made of sealskin"
sealskins,"the pelt or fur (especially the underfur) of a seal; "a coat of seal"","a garment (as a jacket or coat or robe) made of sealskin"
seam,"joint consisting of a line formed by joining two pieces","a slight depression in the smoothness of a surface; "his face has many lines"; "ironing gets rid of most wrinkles"","a stratum of ore or coal thick enough to be mined with profit; "he worked in the coal beds"","put together with a seam; "seam a dress""
seaman,"a man who serves as a sailor","muckraking United States journalist who exposed bad conditions in mental institutions (1867-1922)"
seamanly,"characteristic of or befitting a seaman; indicating competent seamanship"
seamanship,"skill in sailing"
seamanships,"skill in sailing"
seamark
seamarks
seamed,"having or joined by a seam or seams","(used especially of skin) marked by lines or seams; "their lined faces were immeasurably sad"; "a seamed face""
seamen
seamer
seamers
seamier,"showing a seam","morally degraded; "a seedy district"; "the seamy side of life"; "sleazy characters hanging around casinos"; "sleazy storefronts with...dirt on the walls"- Seattle Weekly; "the sordid details of his orgies stank under his very nostrils"- James Joyce; "the squalid atmosphere of intrigue and betrayal""
seamiest,"showing a seam","morally degraded; "a seedy district"; "the seamy side of life"; "sleazy characters hanging around casinos"; "sleazy storefronts with...dirt on the walls"- Seattle Weekly; "the sordid details of his orgies stank under his very nostrils"- James Joyce; "the squalid atmosphere of intrigue and betrayal""
seaming
seamless,"not having or joined by a seam or seams; "seamless stockings"","smooth, especially of skin; "his cheeks were unlined"; "his unseamed face"","perfectly consistent and coherent; "the novel's seamless plot""
seamlike
seamount,"an underwater mountain rising above the ocean floor"
seamounts,"an underwater mountain rising above the ocean floor"
seams,"joint consisting of a line formed by joining two pieces","a slight depression in the smoothness of a surface; "his face has many lines"; "ironing gets rid of most wrinkles"","a stratum of ore or coal thick enough to be mined with profit; "he worked in the coal beds"","put together with a seam; "seam a dress""
seamster,"a person whose occupation is making and altering garments"
seamsters,"a person whose occupation is making and altering garments"
seamstress,"someone who makes or mends dresses"
seamstresses
