suable
suably
suasion,"the act of persuading (or attempting to persuade); communication intended to induce belief or action"
suasions,"the act of persuading (or attempting to persuade); communication intended to induce belief or action"
suasive
suasory
suave,"having a sophisticated charm; "a debonair gentleman"","smoothly agreeable and courteous with a degree of sophistication; "he was too politic to quarrel with so important a personage"; "the manager pacified the customer with a smooth apology for the error""
suavely,"with suavity; in a suave manner; "he is suavely charming and all the ladies love him""
suaver
suavest
suavities
suavity,"the quality of being bland and gracious or ingratiating in manner"
sub,"a large sandwich made of a long crusty roll split lengthwise and filled with meats and cheese (and tomato and onion and lettuce and condiments); different names are used in different sections of the United States","a submersible warship usually armed with torpedoes","be a substitute; "The young teacher had to substitute for the sick colleague"; "The skim milk substitutes for cream--we are on a strict diet""
suba
subabbot
subabbots
subacid,"slightly sour to the taste"
subacrid
subacute,"less than acute; relating to a disease present in a person with no symptoms of it"
subadar
subadars
subadult
subadults
subagencies
subagency
subagent
subagents
subah
subahdar
subahdars
subahs
subalar
subarctic,"of or relating to latitudes just south of the Arctic Circle"
subarea
subareas
subarid
subas
subatmospheric
subatom
subatoms
subaverage
subaxial
subbase,"the lowest molding of an architectural base or of a baseboard"
subbasement
subbasements
subbases,"the lowest molding of an architectural base or of a baseboard"
subbass
subbasses
subbed,"be a substitute; "The young teacher had to substitute for the sick colleague"; "The skim milk substitutes for cream--we are on a strict diet""
subbing,"working as a substitute for someone who is ill or on leave of absence","be a substitute; "The young teacher had to substitute for the sick colleague"; "The skim milk substitutes for cream--we are on a strict diet""
subbings,"working as a substitute for someone who is ill or on leave of absence","be a substitute; "The young teacher had to substitute for the sick colleague"; "The skim milk substitutes for cream--we are on a strict diet""
subbranch
subbranches
subbreed
subbreeds
subcabinet
subcabinets
subcategories
subcategory
subcause
subcauses
subcell
subcells
subchief
subchiefs
subclan
subclans
subclass,"(biology) a taxonomic category below a class and above an order"
subclassed
subclasses
subclassification
subclassifications
subclassified
subclassifies
subclassify
subclassifying
subclassing
subclerk
subclerks
subcommand
subcommands
subcommission
subcommissions
subcommunities
subcommunity
subcomponent
subcomponents
subconcept
subconcepts
subconscious,"psychic activity just below the level of awareness","just below the level of consciousness"
subconsciouses
subconsciously,"from the subconscious mind; "the image came to him subconsciously""
subconsciousness,"a state of mind not immediately available to consciousness"
subconsciousnesses
subcontract,"a contract assigning to another party some obligations of a prior contract","arranged for contracted work to be done by others","work under a subcontract; engage in a subcontract"
subcontracted
subcontracting
subcontractor,"someone who enters into a subcontract with the primary contractor"
subcontractors,"someone who enters into a subcontract with the primary contractor"
subcontracts,"a contract assigning to another party some obligations of a prior contract","arranged for contracted work to be done by others","work under a subcontract; engage in a subcontract"
subcool
subcooled
subcooling
subcools
subculture,"a social group within a national culture that has distinctive patterns of behavior and beliefs"
subcultures,"a social group within a national culture that has distinctive patterns of behavior and beliefs"
subcutaneous,"relating to or located below the epidermis; "hypodermic needle"; "subcutaneous implant""
subcutes
subcutis
subcutises
subdean
subdeans
subdeb
subdebs
subdepartment
subdepartments
subdepot
subdepots
subdistrict
subdistricts
subdivide,"form into subdivisions; "The cells subdivided"","divide into smaller and smaller pieces; "This apartment cannot be subdivided any further!""
subdivided
subdivides,"form into subdivisions; "The cells subdivided"","divide into smaller and smaller pieces; "This apartment cannot be subdivided any further!""
subdividing
subdivision,"an area composed of subdivided lots","the act of subdividing; division of something previously divided","a division of some larger or more complex organization; "a branch of Congress"; "botany is a branch of biology"; "the Germanic branch of Indo-European languages"","a self-contained part of a larger composition (written or musical); "he always turns first to the business section"; "the history of this work is discussed in the next section"","a section of a section; a part of a part; i.e., a part of something already divided"
