ubieties
ubiety,"the state of existing and being localized in space"
ubique
ubiquities
ubiquitities
ubiquitity
ubiquitous,"being present everywhere at once"
ubiquitously
ubiquity,"the state of being everywhere at once (or seeming to be everywhere at once)"
