eta,"a terrorist organization organized in 1959 by student activists who were dissatisfied with the moderate nationalism of the traditional Basque party; want to create an independent homeland in Spain's western Pyrenees; "in 1968 ETA launched a campaign of political assassinations of government officials"","the 7th letter of the Greek alphabet"
etagere,"a piece of furniture with open shelves for displaying small ornaments"
etageres,"a piece of furniture with open shelves for displaying small ornaments"
etamin,"a soft cotton or worsted fabric with an open mesh; used for curtains or clothing etc."
etamine,"a soft cotton or worsted fabric with an open mesh; used for curtains or clothing etc."
etamines,"a soft cotton or worsted fabric with an open mesh; used for curtains or clothing etc."
etamins,"a soft cotton or worsted fabric with an open mesh; used for curtains or clothing etc."
etape
etapes
etas,"a terrorist organization organized in 1959 by student activists who were dissatisfied with the moderate nationalism of the traditional Basque party; want to create an independent homeland in Spain's western Pyrenees; "in 1968 ETA launched a campaign of political assassinations of government officials"","the 7th letter of the Greek alphabet"
etatism
etatisms
etatist
etatists
etcetera,"additional unspecified odds and ends; more of the same; "his report was full of etceteras"","continuing in the same way"
etceteras,"additional unspecified odds and ends; more of the same; "his report was full of etceteras"","continuing in the same way"
etch,"make an etching of; "He etched her image into the surface"","cause to stand out or be clearly defined or visible; "a face etched with pain"; "the leafless branches etched against the sky"","carve or cut into a block used for printing or print from such a block; "engrave a letter"","carve or cut a design or letters into; "engrave the pen with the owner's name"","selectively dissolve the surface of (a semiconductor or printed circuit) with a solvent, laser, or stream of electrons"
etched,"cut or impressed into a surface; "an incised design"; "engraved invitations""
etcher,"someone who etches"
etchers,"someone who etches"
etches
etching,"an impression made from an etched plate","an etched plate made with the use of acid","making engraved or etched plates and printing designs from them"
etchings,"an impression made from an etched plate","an etched plate made with the use of acid","making engraved or etched plates and printing designs from them"
eternal,"continuing forever or indefinitely; "the ageless themes of love and revenge"; "eternal truths"; "life everlasting"; "hell's perpetual fires"; "the unending bliss of heaven"","tiresomely long; seemingly without end; "endless debates"; "an endless conversation"; "the wait seemed eternal"; "eternal quarreling"; "an interminable sermon""
eternally,"for a limitless time; "no one can live forever"; "brightly beams our Father's mercy from his lighthouse evermore"- P.P.Bliss"
eternals,"continuing forever or indefinitely; "the ageless themes of love and revenge"; "eternal truths"; "life everlasting"; "hell's perpetual fires"; "the unending bliss of heaven"","tiresomely long; seemingly without end; "endless debates"; "an endless conversation"; "the wait seemed eternal"; "eternal quarreling"; "an interminable sermon""
eterne
eternise,"make famous forever; "This melody immortalized its composer""
eternised
eternises,"make famous forever; "This melody immortalized its composer""
eternising
eternities
eternity,"time without end","a state of eternal existence believed in some religions to characterize the afterlife","a seemingly endless time interval (waiting)"
eternize,"cause to continue indefinitely","make famous forever; "This melody immortalized its composer""
eternized
eternizes,"cause to continue indefinitely","make famous forever; "This melody immortalized its composer""
eternizing
etesian
etesians
eth
ethane,"a colorless odorless alkane gas used as fuel"
ethanes,"a colorless odorless alkane gas used as fuel"
ethanol,"the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline"
ethanols,"the intoxicating agent in fermented and distilled liquors; used pure or denatured as a solvent or in medicines and colognes and cleaning solutions and rocket fuel; proposed as a renewable clean-burning additive to gasoline"
ethene,"a flammable colorless gaseous alkene; obtained from petroleum and natural gas and used in manufacturing many other chemicals; sometimes used as an anesthetic"
ethenes,"a flammable colorless gaseous alkene; obtained from petroleum and natural gas and used in manufacturing many other chemicals; sometimes used as an anesthetic"
ether,"the fifth and highest element after air and earth and fire and water; was believed to be the substance composing all heavenly bodies","any of a class of organic compounds that have two hydrocarbon groups linked by an oxygen atom","a medium that was once supposed to fill all space and to support the propagation of electromagnetic waves","a colorless volatile highly inflammable liquid formerly used as an inhalation anesthetic"
ethereal,"characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms"","of or containing or dissolved in ether; "ethereal solution"","of heaven or the spirit; "celestial peace"; "ethereal melodies"; "the supernal happiness of a quiet death"","characterized by unusual lightness and delicacy; "this smallest and most ethereal of birds"; "gossamer shading through his playing""
etheric
etherified,"change into an ether; "etherify an alcohol""
etherifies
etherify,"change into an ether; "etherify an alcohol""
etherifying
etherish
etherize,"anesthetize with ether"
etherized
etherizes,"anesthetize with ether"
etherizing
ethers,"the fifth and highest element after air and earth and fire and water; was believed to be the substance composing all heavenly bodies","any of a class of organic compounds that have two hydrocarbon groups linked by an oxygen atom","a medium that was once supposed to fill all space and to support the propagation of electromagnetic waves","a colorless volatile highly inflammable liquid formerly used as an inhalation anesthetic"
ethic,"the principles of right and wrong that are accepted by an individual or a social group; "the Puritan ethic"; "a person with old-fashioned values"","a system of principles governing morality and acceptable conduct"
ethical,"of or relating to the philosophical study of ethics; "ethical codes"; "ethical theories"","conforming to accepted standards of social or professional behavior; "an ethical lawyer"; "ethical medical practice"; "an ethical problem"; "had no ethical objection to drinking"; "Ours is a world of nuclear giants and ethical infants"- Omar N. Bradley","adhering to ethical and moral principles; "it seems ethical and right"; "followed the only honorable course of action""
ethically,"in an ethical manner; from an ethical point of view; according to ethics; "he behaved ethically"; "this is ethically unacceptable""
ethicals,"of or relating to the philosophical study of ethics; "ethical codes"; "ethical theories"","conforming to accepted standards of social or professional behavior; "an ethical lawyer"; "ethical medical practice"; "an ethical problem"; "had no ethical objection to drinking"; "Ours is a world of nuclear giants and ethical infants"- Omar N. Bradley","adhering to ethical and moral principles; "it seems ethical and right"; "followed the only honorable course of action""
ethician,"a philosopher who specializes in ethics"
ethicians,"a philosopher who specializes in ethics"
ethicist,"a philosopher who specializes in ethics"
ethicists,"a philosopher who specializes in ethics"
ethicize
ethicized
ethicizes
ethicizing
ethics,"motivation based on ideas of right and wrong","the philosophical study of moral values and rules"
ethinyl
ethinyls
ethion
ethions
ethmoid,"one of the eight bones of the cranium; a small bone filled with air spaces that forms part of the eye sockets and the nasal cavity"
ethmoids,"one of the eight bones of the cranium; a small bone filled with air spaces that forms part of the eye sockets and the nasal cavity"
ethnarch,"the ruler of a province (as in the Roman Empire and Byzantine Empire) or certain religious rulers with secular authority; "the election of Makarios III to archbishop gave him the status of the ethnarch of Cyprus""
ethnarchs,"the ruler of a province (as in the Roman Empire and Byzantine Empire) or certain religious rulers with secular authority; "the election of Makarios III to archbishop gave him the status of the ethnarch of Cyprus""
ethnic,"a person who is a member of an ethnic group","denoting or deriving from or distinctive of the ways of living built up by a group of people; "influenced by ethnic and cultural ties"- J.F.Kennedy; "ethnic food"","not acknowledging the God of Christianity and Judaism and Islam"
ethnical,"denoting or deriving from or distinctive of the ways of living built up by a group of people; "influenced by ethnic and cultural ties"- J.F.Kennedy; "ethnic food""
ethnicities
ethnicity,"an ethnic quality or affiliation resulting from racial or cultural ties; "ethnicity has a strong influence on community status relations""
ethnics,"a person who is a member of an ethnic group","denoting or deriving from or distinctive of the ways of living built up by a group of people; "influenced by ethnic and cultural ties"- J.F.Kennedy; "ethnic food"","not acknowledging the God of Christianity and Judaism and Islam"
ethnologic,"of or relating to ethnology; "ethnological field work""
ethnological,"of or relating to ethnology; "ethnological field work""
ethnologies
ethnology,"the branch of anthropology that deals with the division of humankind into races and with their origins and distribution and distinctive characteristics"
ethnos,"people of the same race or nationality who share a distinctive culture"
ethnoses
ethologies
ethology,"the branch of zoology that studies the behavior of animals in their natural habitats"
ethos,"(anthropology) the distinctive spirit of a culture or an era; "the Greek ethos""
ethoses
ethoxy
ethoxyl
ethoxyls
eths
ethyl,"the univalent hydrocarbon radical C2H5 derived from ethane by the removal of one hydrogen atom"
ethylate
ethylated
ethylates
ethylating
ethylene,"a flammable colorless gaseous alkene; obtained from petroleum and natural gas and used in manufacturing many other chemicals; sometimes used as an anesthetic"
ethylenes,"a flammable colorless gaseous alkene; obtained from petroleum and natural gas and used in manufacturing many other chemicals; sometimes used as an anesthetic"
ethylic
ethyls,"the univalent hydrocarbon radical C2H5 derived from ethane by the removal of one hydrogen atom"
ethyne,"a colorless flammable gas used chiefly in welding and in organic synthesis"
ethynes,"a colorless flammable gas used chiefly in welding and in organic synthesis"
ethynyl
ethynyls
etiolate,"make weak by stunting the growth or development of","bleach and alter the natural development of (a green plant) by excluding sunlight","make pale or sickly; "alcohol etiolates your skin"","(especially of plants) developed without chlorophyll by being deprived of light; "etiolated celery""
etiolated,"(especially of plants) developed without chlorophyll by being deprived of light; "etiolated celery""
etiolates,"make weak by stunting the growth or development of","bleach and alter the natural development of (a green plant) by excluding sunlight","make pale or sickly; "alcohol etiolates your skin"","(especially of plants) developed without chlorophyll by being deprived of light; "etiolated celery""
etiolating
etiologies
etiology,"the cause of a disease","the philosophical study of causation"
