iodate
iodated
iodates
iodating
iodation
iodations
iodic
iodid
iodide,"a salt or ester of hydriodic acid"
iodides,"a salt or ester of hydriodic acid"
iodids
iodin,"a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)"
iodinate,"cause to combine with iodine; "iodinate thyroxine""
iodinated,"treated with iodine; "iodized salt""
iodinates,"cause to combine with iodine; "iodinate thyroxine""
iodinating,"combining or causing to combine with iodine; "the active iodinating species"; "the in vivo iodinating mechanism""
iodine,"a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)","a tincture consisting of a solution of iodine in ethyl alcohol; applied topically to wounds as an antiseptic"
iodines,"a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)","a tincture consisting of a solution of iodine in ethyl alcohol; applied topically to wounds as an antiseptic"
iodins,"a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)"
iodism
iodisms
iodize,"treat with iodine; "iodize salt"","treat with iodine so as to prevent infection; "iodize a wound""
iodized,"treated with iodine; "iodized salt""
iodizer
iodizers
iodizes,"treat with iodine; "iodize salt"","treat with iodine so as to prevent infection; "iodize a wound""
iodizing
iodoform,"sweet smelling yellow solid haloform CHI3","a yellowish crystalline solid with a penetrating odor; sometimes used as an antiseptic dressing"
iodoforms,"sweet smelling yellow solid haloform CHI3","a yellowish crystalline solid with a penetrating odor; sometimes used as an antiseptic dressing"
iodol
iodols
iodophor
iodophors
iodopsin,"a violet photopigment in the retinal cones of the eyes of most vertebrates; plays a role in daylight vision"
iodopsins,"a violet photopigment in the retinal cones of the eyes of most vertebrates; plays a role in daylight vision"
iodous
iolite
iolites
ion,"a particle that is electrically charged (positive or negative); an atom or molecule or group that has lost or gained one or more electrons"
ionic,"the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia","containing or involving or occurring in the form of ions; "ionic charge"; "ionic crystals"; "ionic hydrogen"","of or pertaining to the Ionic order of classical Greek architecture","of or relating to Ionia or its inhabitants or its language"
ionicities
ionicity
ionics,"the dialect of Ancient Greek spoken and written in Attica and Athens and Ionia","containing or involving or occurring in the form of ions; "ionic charge"; "ionic crystals"; "ionic hydrogen"","of or pertaining to the Ionic order of classical Greek architecture","of or relating to Ionia or its inhabitants or its language"
ionise,"become converted into ions","convert into ions"
ionised,"converted totally or partly into ions"
ionises,"become converted into ions","convert into ions"
ionising
ionium
ioniums
ionizable
ionize,"become converted into ions","convert into ions"
ionized,"converted totally or partly into ions"
ionizer
ionizers
ionizes,"become converted into ions","convert into ions"
ionizing
ionomer
ionomers
ionone
ionones
ionosphere,"the outer region of the Earth's atmosphere; contains a high concentration of free electrons"
ionospheres,"the outer region of the Earth's atmosphere; contains a high concentration of free electrons"
ionospheric
ions,"a particle that is electrically charged (positive or negative); an atom or molecule or group that has lost or gained one or more electrons"
iota,"a tiny or scarcely detectable amount","the 9th letter of the Greek alphabet"
iotacism
iotacisms
iotas,"a tiny or scarcely detectable amount","the 9th letter of the Greek alphabet"
