kyack
kyacks
kyanise
kyanised
kyanises
kyanising
kyanite,"a grey or greenish-blue mineral consisting of aluminum silicate in crystalline form; occurs in metaphoric rock, used as a refractory"
kyanites,"a grey or greenish-blue mineral consisting of aluminum silicate in crystalline form; occurs in metaphoric rock, used as a refractory"
kyanize
kyanized
kyanizes
kyanizing
kyar
kyars
kyat,"the basic unit of money in Myanmar"
kyats,"the basic unit of money in Myanmar"
kylikes,"a shallow drinking cup with two handles; used in ancient Greece"
kylix,"a shallow drinking cup with two handles; used in ancient Greece"
kymogram
kymograms
kyphoses
kyphosis,"an abnormal backward curve to the vertebral column"
kyphotic,"characteristic of or suffering from kyphosis, an abnormality of the vertebral column"
kyrie
kyries
kyte
kytes
kythe
kythed
kythes
kything
