oocyst
oocysts
oocyte,"a female gametocyte that develops into an ovum after two meiotic divisions"
oocytes,"a female gametocyte that develops into an ovum after two meiotic divisions"
oodles,"a large number or amount; "made lots of new friends"; "she amassed stacks of newspapers""
oodlins
oogamete
oogametes
oogamies
oogamous
oogamy
oogenies
oogeny
oogonia
oogonial
oogonium
oogoniums
ooh,"express admiration and pleasure by uttering `ooh' or `aah'; "They oohed and aahed when they unwrapped the presents""
oohed
oohing
oohs,"express admiration and pleasure by uttering `ooh' or `aah'; "They oohed and aahed when they unwrapped the presents""
oolachan
oolachans
oolite
oolites
oolith
ooliths
oolitic
oologic
oologies
oologist
oologists
oology,"the branch of zoology that studies eggs (especially birds' eggs and their size, shape, coloration, and number)"
oolong,"Chinese tea leaves that have been partially fermented before being dried"
oolongs,"Chinese tea leaves that have been partially fermented before being dried"
oomiac
oomiack
oomiacks
oomiacs
oomiak
oomiaks
oomph,"attractiveness to the opposite sex","the activeness of an energetic personality"
oomphs,"attractiveness to the opposite sex","the activeness of an energetic personality"
oophorectomy,"surgical removal of one of both ovaries"
oophyte
oophytes
oophytic
oops
oorali
ooralis
oorie
oosperm
oosperms
oosphere,"a gamete; used especially of lower plants"
oospheres,"a gamete; used especially of lower plants"
oospore,"a thick-walled sexual spore that develops from a fertilized oosphere in some algae and fungi"
oospores,"a thick-walled sexual spore that develops from a fertilized oosphere in some algae and fungi"
oosporic
oot
ootheca
oothecae
oothecal
ootid,"mature ovum after penetration by sperm but before the formation of a zygote"
ootids,"mature ovum after penetration by sperm but before the formation of a zygote"
oots
ooze,"any thick, viscous matter","the process of seeping","pass gradually or leak through or as if through small openings","release (a liquid) in drops or small quantities; "exude sweat through the pores""
oozed
oozes,"any thick, viscous matter","the process of seeping","pass gradually or leak through or as if through small openings","release (a liquid) in drops or small quantities; "exude sweat through the pores""
oozier,"leaking out slowly"
ooziest,"leaking out slowly"
oozily
ooziness
oozinesses
oozing,"the process of seeping","leaking out slowly"
oozy,"leaking out slowly"
