slab,"block consisting of a thick piece of something"
slabbed
slabber,"let saliva drivel from the mouth; "The baby drooled""
slabbered
slabbering
slabbers,"let saliva drivel from the mouth; "The baby drooled""
slabbery
slabbing
slabs,"block consisting of a thick piece of something"
slack,"dust consisting of a mixture of small coal fragments and coal dust and dirt that sifts out when coal is passed over a sieve","a noticeable deterioration in performance or quality; "the team went into a slump"; "a gradual slack in output"; "a drop-off in attendance"; "a falloff in quality"","a stretch of water without current or movement; "suddenly they were in a slack and the water was motionless"","a soft wet area of low-lying land that sinks underfoot","the quality of being loose (not taut); "he hadn't counted on the slackness of the rope"","a cord or rope or cable that is hanging loosely; "he took up the slack"","avoid responsibilities and work, be idle","be inattentive to, or neglect; "He slacks his attention"","release tension on; "slack the rope"","make less active or fast; "He slackened his pace as he got tired"; "Don't relax your efforts now"","become slow or slower; "Production slowed"","make less active or intense","become less in amount or intensity; "The storm abated"; "The rain let up after a few hours"","cause to heat and crumble by treatment with water; "slack lime"","not tense or taut; "the old man's skin hung loose and grey"; "slack and wrinkled skin"; "slack sails"; "a slack rope"","flowing with little speed as e.g. at the turning of the tide; "slack water"","lacking in rigor or strictness; "such lax and slipshod ways are no longer acceptable"; "lax in attending classes"; "slack in maintaining discipline""
slacked
slacken,"become slow or slower; "Production slowed"","make less active or fast; "He slackened his pace as he got tired"; "Don't relax your efforts now"","become looser or slack; "the rope slackened"","make slack as by lessening tension or firmness"
slackened
slackening,"an occurrence of control or strength weakening; "the relaxation of requirements"; "the loosening of his grip"; "the slackening of the wind""
slackens,"become slow or slower; "Production slowed"","make less active or fast; "He slackened his pace as he got tired"; "Don't relax your efforts now"","become looser or slack; "the rope slackened"","make slack as by lessening tension or firmness"
slacker,"a person who shirks his work or duty (especially one who tries to evade military service in wartime)"
slackers,"a person who shirks his work or duty (especially one who tries to evade military service in wartime)"
slackest
slacking,"the evasion of work or duty"
slackly,"in a relaxed manner; not rigid; "his hands lay loosely""
slackness,"weakness characterized by a lack of vitality or energy","the quality of being loose (not taut); "he hadn't counted on the slackness of the rope"","the quality of being lax and neglectful"
slacknesses
slacks,"(usually in the plural) pants for casual wear","avoid responsibilities and work, be idle","be inattentive to, or neglect; "He slacks his attention"","release tension on; "slack the rope"","make less active or fast; "He slackened his pace as he got tired"; "Don't relax your efforts now"","become slow or slower; "Production slowed"","make less active or intense","become less in amount or intensity; "The storm abated"; "The rain let up after a few hours"","cause to heat and crumble by treatment with water; "slack lime"","not tense or taut; "the old man's skin hung loose and grey"; "slack and wrinkled skin"; "slack sails"; "a slack rope"","flowing with little speed as e.g. at the turning of the tide; "slack water"","lacking in rigor or strictness; "such lax and slipshod ways are no longer acceptable"; "lax in attending classes"; "slack in maintaining discipline""
slag,"the scum formed by oxidation at the surface of molten metals","convert into slag"
slagged,"convert into slag"
slaggier
slaggiest
slagging,"convert into slag"
slaggy
slags,"the scum formed by oxidation at the surface of molten metals","convert into slag"
slain,"people who have been slain (as in battle)","kill intentionally and with premeditation; "The mafia boss ordered his enemies murdered"","killed; `slain' is formal or literary as in "slain warriors"; "a picture of St. George and the slain dragon""
slakable
slake,"satisfy (thirst); "The cold water quenched his thirst"","make less active or intense","cause to heat and crumble by treatment with water; "slack lime""
slaked,"allayed; "his thirst quenched he was able to continue""
slaker
slakers
