ogam
ogams
ogdoad,"the cardinal number that is the sum of seven and one"
ogdoads,"the cardinal number that is the sum of seven and one"
ogee,"a molding that (in section) has the shape of an S with the convex part above and the concave part below"
ogees,"a molding that (in section) has the shape of an S with the convex part above and the concave part below"
ogham
oghamic
oghamist
oghamists
oghams
ogival
ogive,"front consisting of the conical head of a missile or rocket that protects the payload from heat during its passage through the atmosphere"
ogives,"front consisting of the conical head of a missile or rocket that protects the payload from heat during its passage through the atmosphere"
ogle,"look at with amorous intentions"
ogled
ogler,"a viewer who gives a flirtatious or lewd look at another person"
oglers,"a viewer who gives a flirtatious or lewd look at another person"
ogles,"look at with amorous intentions"
ogling
ogre,"a cruel wicked and inhuman person","(folklore) a giant who likes to eat human beings"
ogreish
ogreism
ogreisms
ogres,"a cruel wicked and inhuman person","(folklore) a giant who likes to eat human beings"
ogress,"(folklore) a female ogre"
ogresses
ogrish
ogrishly
ogrism
ogrisms
