ouabain
ouabains
ouch
ouches
oud
ouds
ought
oughted
oughting
oughts
ouistiti
ouistitis
ounce,"a unit of apothecary weight equal to 480 grains or one twelfth of a pound","a unit of weight equal to one sixteenth of a pound or 16 drams or 28.349 grams","large feline of upland central Asia having long thick whitish fur"
ounces,"a unit of apothecary weight equal to 480 grains or one twelfth of a pound","a unit of weight equal to one sixteenth of a pound or 16 drams or 28.349 grams","large feline of upland central Asia having long thick whitish fur"
ouph
ouphe
ouphes
ouphs
our
ourang
ourangs
ourari
ouraris
ourebi
ourebis
ourie
ours
ourself
ourselves
ousel,"common black European thrush"
ousels,"common black European thrush"
oust,"remove from a position or office; "The chairman was ousted after he misappropriated funds"","remove and replace; "The word processor has ousted the typewriter""
ousted
ouster,"a person who ousts or supplants someone else","a wrongful dispossession","the act of ejecting someone or forcing them out"
ousters,"a person who ousts or supplants someone else","a wrongful dispossession","the act of ejecting someone or forcing them out"
ousting,"the act of ejecting someone or forcing them out"
ousts,"remove from a position or office; "The chairman was ousted after he misappropriated funds"","remove and replace; "The word processor has ousted the typewriter""
out,"(baseball) a failure by a batter or runner to reach a base safely in baseball; "you only get 3 outs per inning"","to state openly and publicly one's homosexuality; "This actor outed last year"","reveal (something) about somebody's identity or lifestyle; "The gay actor was outed last week"; "Someone outed a CIA agent"","be made known; be disclosed or revealed; "The truth will out"","not allowed to continue to bat or run; "he was tagged out at second on a close play"; "he fanned out"","being out or having grown cold; "threw his extinct cigarette into the stream"; "the fire is out"","not worth considering as a possibility; "a picnic is out because of the weather"","out of power; especially having been unsuccessful in an election; "now the Democrats are out"","excluded from use or mention; "forbidden fruit"; "in our house dancing and playing cards were out"; "a taboo subject"","directed outward or serving to direct something outward; "the out doorway"; "the out basket"","no longer fashionable; "that style is out these days"","outside or external; "the out surface of a ship's hull"","outer or outlying; "the out islands"","knocked unconscious by a heavy blow","away from home; "they went out last night"","moving or appearing to move away from a place, especially one that is enclosed or hidden; "the cat came out from under the bed";","from one's possession; "he gave out money to the poor"; "gave away the tickets""
outact
outacted
outacting
outacts
outadd
outadded
outadding
outadds
