eide
eider,"duck of the northern hemisphere much valued for the fine soft down of the females"
eiderdown,"a soft quilt usually filled with the down of the eider","down of the eider duck"
eiderdowns,"a soft quilt usually filled with the down of the eider","down of the eider duck"
eiders,"duck of the northern hemisphere much valued for the fine soft down of the females"
eidetic,"of visual imagery of almost photographic accuracy"
eidola
eidolon
eidolons
eidos,"(anthropology) the distinctive expression of the cognitive or intellectual character of a culture or a social group"
eight,"the cardinal number that is the sum of seven and one","a group of United States painters founded in 1907 and noted for their realistic depictions of sordid aspects of city life","one of four playing cards in a deck with eight pips on the face","being one more than seven"
eighteen,"the cardinal number that is the sum of seventeen and one","being one more than seventeen"
eighteens,"the cardinal number that is the sum of seventeen and one","being one more than seventeen"
eighteenth,"position 18 in a countable series of things","coming next after the seventeenth in position"
eighteenths,"position 18 in a countable series of things","coming next after the seventeenth in position"
eighth,"position eight in a countable series of things","one part in eight equal parts","coming next after the seventh and just before the ninth in position"
eighthly
eighths,"position eight in a countable series of things","one part in eight equal parts","coming next after the seventh and just before the ninth in position"
eighties,"the decade from 1880 to 1889","the decade from 1980 to 1989","the time of life between 80 and 90"
eightieth,"position 80 in a countable series of things","the ordinal number of eighty in counting order"
eightieths,"position 80 in a countable series of things","the ordinal number of eighty in counting order"
eights,"the cardinal number that is the sum of seven and one","a group of United States painters founded in 1907 and noted for their realistic depictions of sordid aspects of city life","one of four playing cards in a deck with eight pips on the face","being one more than seven"
eightvo,"the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves"
eightvos,"the size of a book whose pages are made by folding a sheet of paper three times to form eight leaves"
eighty,"the cardinal number that is the product of ten and eight","being ten more than seventy"
eikon
eikones
eikons
einkorn
einkorns
eirenic
either,"after a negative statement used as an intensive meaning something like `likewise' or `also'; "he isn't stupid, but he isn't exactly a genius either"; "I don't know either"; "if you don't order dessert I won't either""
