ytterbia
ytterbias
ytterbic
yttria
yttrias
yttric
yttrium,"a silvery metallic element that is common in rare-earth minerals; used in magnesium and aluminum alloys"
yttriums,"a silvery metallic element that is common in rare-earth minerals; used in magnesium and aluminum alloys"
