axal
axe,"an edge tool with a heavy bladed head mounted across a handle","chop or split with an ax; "axe wood"","terminate; "The NSF axed the research program and stopped funding it""
axed
axel
axels
axeman
axemen
axenic,"(of experimental animals) raised under sterile conditions; "axenic conditions"; "germfree animals"","(used of cultures of microorganisms) completely free from other organisms; "an axenic culture""
axes,"an edge tool with a heavy bladed head mounted across a handle","chop or split with an ax; "axe wood"","terminate; "The NSF axed the research program and stopped funding it""
axial,"of or relating to or resembling an axis of rotation","relating to or attached to the axis; "axial angle"","situated on or along or in the direction of an axis"
axialities
axiality
axially,"with respect to an axis; "the jet was directed axially toward the cathode""
axil,"the upper angle between an axis and an offshoot such as a branch or leafstalk"
axile,"relating to or attached to the axis; "axial angle""
axilla,"the hollow under the arm where it is joined to the shoulder; "they were up to their armpits in water""
axillae,"the hollow under the arm where it is joined to the shoulder; "they were up to their armpits in water""
axillar
axillaries
axillars
axillary,"of or relating to the axil","of or relating to the armpit; "axillary gland""
axillas,"the hollow under the arm where it is joined to the shoulder; "they were up to their armpits in water""
axils,"the upper angle between an axis and an offshoot such as a branch or leafstalk"
axing
axiologies
axiology,"the study of values and value judgments"
axiom,"a saying that is widely accepted on its own merits","(logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident"
axiomatic,"evident without proof or argument; "an axiomatic truth"; "we hold these truths to be self-evident"","containing aphorisms or maxims; "axiomatic wisdom"","of or relating to or derived from axioms; "axiomatic physics"; "the postulational method was applied to geometry"- S.S.Stevens"
axioms,"a saying that is widely accepted on its own merits","(logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident"
axis,"a straight line through a body or figure that satisfies certain conditions","the main stem or central part about which plant organs or plant parts such as branches are arranged","in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations; "the Axis opposed the Allies in World War II"","a group of countries in special alliance","the 2nd cervical vertebra; serves as a pivot for turning the head","the center around which something rotates"
axised
axises
axite
axites
axle,"a shaft on which a wheel rotates"
axled
axles,"a shaft on which a wheel rotates"
axletree,"a dead axle on a carriage or wagon that has terminal spindles on which the wheels revolve"
axletrees,"a dead axle on a carriage or wagon that has terminal spindles on which the wheels revolve"
axlike
axman
axmen
axolotl,"larval salamander of mountain lakes of Mexico that usually lives without metamorphosing"
axolotls,"larval salamander of mountain lakes of Mexico that usually lives without metamorphosing"
axon,"long nerve fiber that conducts away from the cell body of the neuron"
axonal,"of or relating to or resembling an axon"
axone,"long nerve fiber that conducts away from the cell body of the neuron"
axones,"long nerve fiber that conducts away from the cell body of the neuron"
axonic
axons,"long nerve fiber that conducts away from the cell body of the neuron"
axoplasm
axoplasms
axseed,"European herb resembling vetch; naturalized in the eastern United States; having umbels of pink-and-white flowers and sharp-angled pods"
axseeds,"European herb resembling vetch; naturalized in the eastern United States; having umbels of pink-and-white flowers and sharp-angled pods"
