flab,"loose or flaccid body fat"
flabbergast,"overcome with amazement; "This boggles the mind!""
flabbergasted,"as if struck dumb with astonishment and surprise; "a circle of policement stood dumbfounded by her denial of having seen the accident"; "the flabbergasted aldermen were speechless"; "was thunderstruck by the news of his promotion""
flabbergasting
flabbergasts,"overcome with amazement; "This boggles the mind!""
flabbier,"out of condition; not strong or robust; incapable of exertion or endurance; "he was too soft for the army"; "flabby around the middle"; "flaccid cheeks""
flabbiest,"out of condition; not strong or robust; incapable of exertion or endurance; "he was too soft for the army"; "flabby around the middle"; "flaccid cheeks""
flabbily,"in a flabby manner; "the old man's muscles were sagging flabbily""
flabbiness,"a flabby softness"
flabbinesses
flabby,"out of condition; not strong or robust; incapable of exertion or endurance; "he was too soft for the army"; "flabby around the middle"; "flaccid cheeks""
flabella
flabs,"loose or flaccid body fat"
flaccid,"drooping without elasticity; wanting in stiffness; "a flaccid penis"","out of condition; not strong or robust; incapable of exertion or endurance; "he was too soft for the army"; "flabby around the middle"; "flaccid cheeks""
flack,"a slick spokesperson who can turn any criticism to the advantage of their employer","intense adverse criticism; "Clinton directed his fire at the Republican Party"; "the government has come under attack"; "don't give me any flak"","artillery designed to shoot upward at airplanes"
flacks,"a slick spokesperson who can turn any criticism to the advantage of their employer","intense adverse criticism; "Clinton directed his fire at the Republican Party"; "the government has come under attack"; "don't give me any flak"","artillery designed to shoot upward at airplanes"
flacon
flacons
flag,"emblem usually consisting of a rectangular piece of cloth of distinctive design","a listing printed in all issues of a newspaper or magazine (usually on the editorial page) that gives the name of the publication and the names of the editorial staff, etc.","plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals","a rectangular piece of fabric used as a signalling device","flagpole used to mark the position of the hole on a golf green","stratified stone that splits into pieces suitable as paving stones","a conspicuously marked or shaped tail","communicate or signal with a flag","provide with a flag; "Flag this file so that I can recognize it immediately"","droop, sink, or settle from or as if from pressure or loss of tautness","decorate with flags; "the building was flagged for the holiday"","become less intense"
