acacia,"any of various spiny trees or shrubs of the genus Acacia"
acacias,"any of various spiny trees or shrubs of the genus Acacia"
academe,"the academic world"
academes,"the academic world"
academia,"the academic world"
academias,"the academic world"
academic,"an educator who works at a college or university","associated with academia or an academy; "the academic curriculum"; "academic gowns"","hypothetical or theoretical and not expected to produce an immediate or practical result; "an academic discussion"; "an academic question"","marked by a narrow focus on or display of learning especially its trivial aspects"
academically,"in regard to academic matters; "academically, this is a good school""
academics,"an educator who works at a college or university","associated with academia or an academy; "the academic curriculum"; "academic gowns"","hypothetical or theoretical and not expected to produce an immediate or practical result; "an academic discussion"; "an academic question"","marked by a narrow focus on or display of learning especially its trivial aspects"
academies
academy,"a secondary school (usually private)","an institution for the advancement of art or science or literature","a school for special training","a learned establishment for the advancement of knowledge"
acajou
acajous
acaleph
acalephae
acalephe
acalephes
acalephs
acanthi,"any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers; native to Mediterranean region but widely cultivated"
acanthus,"any plant of the genus Acanthus having large spiny leaves and spikes or white or purplish flowers; native to Mediterranean region but widely cultivated"
acanthuses
acari,"any of several mites of the order Acarina"
acarid,"very small free-living arachnid that is parasitic on animals or plants; related to ticks"
acaridan
acaridans
acarids,"very small free-living arachnid that is parasitic on animals or plants; related to ticks"
acarine,"mite or tick"
acarines,"mite or tick"
acaroid
acarpous,"producing no fruit"
acarus,"any of several mites of the order Acarina"
acaudal,"lacking a tail or taillike appendage"
acaudate,"lacking a tail or taillike appendage"
acauline
acaulose
acaulous
accede,"yield to another's wish or opinion; "The government bowed to the military pressure"","take on duties or office; "accede to the throne"","to agree or express agreement; "The Maestro assented to the request for an encore""
acceded
acceder
acceders
accedes,"yield to another's wish or opinion; "The government bowed to the military pressure"","take on duties or office; "accede to the throne"","to agree or express agreement; "The Maestro assented to the request for an encore""
acceding
accelerate,"move faster; "The car accelerated"","cause to move faster; "He accelerated the car""
accelerated,"speeded up, as of an academic course; "in an accelerated program in school""
accelerates,"move faster; "The car accelerated"","cause to move faster; "He accelerated the car""
accelerating
acceleration,"an increase in rate of change; "modern science caused an acceleration of cultural change"","the act of accelerating; increasing the speed","(physics) a rate of increase of velocity"
accelerations,"an increase in rate of change; "modern science caused an acceleration of cultural change"","the act of accelerating; increasing the speed","(physics) a rate of increase of velocity"
accelerator,"a pedal that controls the throttle valve; "he stepped on the gas"","a valve that regulates the supply of fuel to the engine","(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected","a scientific instrument that increases the kinetic energy of charged particles"
