uta,"a reptile genus of Iguanidae"
utas,"a reptile genus of Iguanidae"
utensil,"an implement for practical use (especially in a household)"
utensils,"an implement for practical use (especially in a household)"
uteri,"a hollow muscular organ in the pelvic cavity of females; contains the developing fetus"
uterine,"of or involving the uterus; "uterine cancer""
uterus,"a hollow muscular organ in the pelvic cavity of females; contains the developing fetus"
uteruses
utile,"being of use or service; "the girl felt motherly and useful"; "a useful job"; "a useful member of society""
utilidor
utilidors
utilise,"put into service; make work or employ for a particular purpose or for its inherent or natural purpose; "use your head!"; "we only use Spanish at home"; "I can't use this tool"; "Apply a magnetic field here"; "This thinking was applied to many projects"; "How do you utilize this tool?"; "I apply this rule to get good results"; "use the plastic bags to store the food"; "He doesn't know how to use a computer""
utilised,"put to use"
utiliser,"someone who puts to good use; "not all organisms are utilizers of oxygen"; "the social agencies and their utilizers both objected to the budget cut""
utilisers,"someone who puts to good use; "not all organisms are utilizers of oxygen"; "the social agencies and their utilizers both objected to the budget cut""
utilises,"put into service; make work or employ for a particular purpose or for its inherent or natural purpose; "use your head!"; "we only use Spanish at home"; "I can't use this tool"; "Apply a magnetic field here"; "This thinking was applied to many projects"; "How do you utilize this tool?"; "I apply this rule to get good results"; "use the plastic bags to store the food"; "He doesn't know how to use a computer""
utilising
utilitarian,"someone who believes that the value of a thing depends on its utility","having a useful function; "utilitarian steel tables"","having utility often to the exclusion of values; "plain utilitarian kitchenware""
utilities
utility,"a company that performs a public service; subject to government regulation","the quality of being of practical use","the service (electric power or water or transportation) provided by a public utility; "the cost of utilities never decreases"; "all the utilities were lost after the hurricane"","(economics) a measure that is to be maximized in any situation involving choice","(computer science) a program designed for general support of the processes of a computer; "a computer system provides utility programs to perform the tasks needed by most users"","a facility composed of one or more pieces of equipment connected to or part of a structure and designed to provide a service such as heat or electricity or water or sewage disposal; "the price of the house included all utilities"","used of beef; usable but inferior","capable of substituting in any of several positions on a team; "a utility infielder""
utilization,"the act of using; "he warned against the use of narcotic drugs"; "skilled in the utilization of computers"","the state of having been made use of; "the rate of utilization""
utilize,"put into service; make work or employ for a particular purpose or for its inherent or natural purpose; "use your head!"; "we only use Spanish at home"; "I can't use this tool"; "Apply a magnetic field here"; "This thinking was applied to many projects"; "How do you utilize this tool?"; "I apply this rule to get good results"; "use the plastic bags to store the food"; "He doesn't know how to use a computer"","convert (from an investment trust to a unit trust)"
utilized,"put to use"
utilizer,"someone who puts to good use; "not all organisms are utilizers of oxygen"; "the social agencies and their utilizers both objected to the budget cut""
utilizers,"someone who puts to good use; "not all organisms are utilizers of oxygen"; "the social agencies and their utilizers both objected to the budget cut""
utilizes,"put into service; make work or employ for a particular purpose or for its inherent or natural purpose; "use your head!"; "we only use Spanish at home"; "I can't use this tool"; "Apply a magnetic field here"; "This thinking was applied to many projects"; "How do you utilize this tool?"; "I apply this rule to get good results"; "use the plastic bags to store the food"; "He doesn't know how to use a computer"","convert (from an investment trust to a unit trust)"
utilizing
utmost,"the greatest possible degree; "he tried his utmost"","of the greatest possible degree or extent or intensity; "extreme cold"; "extreme caution"; "extreme pleasure"; "utmost contempt"; "to the utmost degree"; "in the uttermost distress"","highest in extent or degree; "to the last measure of human endurance"; "whether they were accomplices in the last degree or a lesser one was...to be determined individually"","(comparatives of `far') most remote in space or time or order; "had traveled to the farthest frontier"; "don't go beyond the farthermost (or furthermost) tree"; "explored the furthest reaches of space"; "the utmost tip of the peninsula""
utmosts,"the greatest possible degree; "he tried his utmost"","of the greatest possible degree or extent or intensity; "extreme cold"; "extreme caution"; "extreme pleasure"; "utmost contempt"; "to the utmost degree"; "in the uttermost distress"","highest in extent or degree; "to the last measure of human endurance"; "whether they were accomplices in the last degree or a lesser one was...to be determined individually"","(comparatives of `far') most remote in space or time or order; "had traveled to the farthest frontier"; "don't go beyond the farthermost (or furthermost) tree"; "explored the furthest reaches of space"; "the utmost tip of the peninsula""
utopia,"a book written by Sir Thomas More (1516) describing the perfect society on an imaginary island","ideally perfect state; especially in its social and political and moral aspects","a work of fiction describing a utopia","an imaginary place considered to be perfect or ideal"
utopian,"an idealistic (but usually impractical) social reformer; "a Utopian believes in the ultimate perfectibility of man"","of or pertaining to or resembling a utopia; "a Utopian novel"","characterized by or aspiring to impracticable perfection; "the dim utopian future"; "utopian idealists"; "recognized the utopian nature of his hopes""
utopians,"an idealistic (but usually impractical) social reformer; "a Utopian believes in the ultimate perfectibility of man"","of or pertaining to or resembling a utopia; "a Utopian novel"","characterized by or aspiring to impracticable perfection; "the dim utopian future"; "utopian idealists"; "recognized the utopian nature of his hopes""
