rhabdom
rhabdome
rhabdomes
rhabdoms
rhachides
rhachis
rhachises,"axis of a compound leaf or compound inflorescence","the series of vertebrae forming the axis of the skeleton and protecting the spinal cord; "the fall broke his back""
rhamnose
rhamnoses
rhamnus,"type genus of the Rhamnaceae: buckthorns"
rhamnuses
rhaphae
rhaphe,"a ridge that forms a seam between two parts"
rhaphes,"a ridge that forms a seam between two parts"
rhapsode
rhapsodes
rhapsodic,"feeling great rapture or delight"
rhapsodically,"in an ecstatic manner; "he reacted ecstatically to my plan to travel to Africa""
rhapsodies
rhapsodize,"recite a rhapsody","say (something) with great enthusiasm"
rhapsodized
rhapsodizes,"recite a rhapsody","say (something) with great enthusiasm"
rhapsodizing
rhapsody,"an epic poem adapted for recitation"
rhatanies
rhatany
rhea,"fertility goddess in ancient Greek mythology; wife of Cronus and mother of Zeus; identified with Roman Ops and Cybele of ancient Asia Minor","smaller of two tall fast-running flightless birds similar to ostriches but three-toed; found from Peru to Strait of Magellan","larger of two tall fast-running flightless birds similar to ostriches but three-toed; found from Brazil to Patagonia"
rheas,"fertility goddess in ancient Greek mythology; wife of Cronus and mother of Zeus; identified with Roman Ops and Cybele of ancient Asia Minor","smaller of two tall fast-running flightless birds similar to ostriches but three-toed; found from Peru to Strait of Magellan","larger of two tall fast-running flightless birds similar to ostriches but three-toed; found from Brazil to Patagonia"
rhebok
rheboks
rhematic
rhenium,"a rare heavy polyvalent metallic element that resembles manganese chemically and is used in some alloys; is obtained as a by-product in refining molybdenum"
rheniums,"a rare heavy polyvalent metallic element that resembles manganese chemically and is used in some alloys; is obtained as a by-product in refining molybdenum"
rheobase
rheobases
rheologies
rheology,"the branch of physics that studies the deformation and flow of matter"
rheophil
rheostat,"resistor for regulating current"
rheostats,"resistor for regulating current"
rhesus,"of southern Asia; used in medical research"
rhesuses
rhetor
rhetoric,"using language effectively to please or persuade","high-flown style; excessive use of verbal ornamentation; "the grandiosity of his prose"; "an excessive ornateness of language"","loud and confused and empty talk; "mere rhetoric"","study of the technique and rules for using language effectively (especially in public speaking)"
rhetorical,"of or relating to rhetoric; "accepted two or three verbal and rhetorical changes I suggested"- W.A.White; "the rhetorical sin of the meaningless variation"- Lewis Mumford","given to rhetoric, emphasizing style at the expense of thought; "mere rhetorical frippery""
rhetorician,"a person who delivers a speech or oration"
rhetoricians,"a person who delivers a speech or oration"
rhetorics,"using language effectively to please or persuade","high-flown style; excessive use of verbal ornamentation; "the grandiosity of his prose"; "an excessive ornateness of language"","loud and confused and empty talk; "mere rhetoric"","study of the technique and rules for using language effectively (especially in public speaking)"
rhetors
rheum,"a watery discharge from the mucous membranes (especially from the eyes or nose)","rhubarb"
rheumatic,"a person suffering with rheumatism","of or pertaining to arthritis; "my creaky old joints"; "rheumy with age and grief""
rheumatism,"any painful disorder of the joints or muscles or connective tissues","a chronic autoimmune disease with inflammation of the joints and marked deformities; something (possibly a virus) triggers an attack on the synovium by the immune system, which releases cytokines that stimulate an inflammatory reaction that can lead to the destruction of all components of the joint"
rheumatisms,"any painful disorder of the joints or muscles or connective tissues","a chronic autoimmune disease with inflammation of the joints and marked deformities; something (possibly a virus) triggers an attack on the synovium by the immune system, which releases cytokines that stimulate an inflammatory reaction that can lead to the destruction of all components of the joint"
rheumic
rheumier
rheumiest
rheums,"a watery discharge from the mucous membranes (especially from the eyes or nose)","rhubarb"
rheumy,"moist, damp, wet (especially of air); "the raw and theumy damp of night air"","of or pertaining to arthritis; "my creaky old joints"; "rheumy with age and grief""
rhinal,"of or in or relating to the nose; "nasal passages""
rhinestone,"an imitation diamond made from rock crystal or glass or paste"
rhinestones,"an imitation diamond made from rock crystal or glass or paste"
rhinitides
rhinitis,"an inflammation of the mucous membrane lining the nose (usually associated with nasal discharge)"
rhino,"massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout"
rhinoceri
rhinoceros,"massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout"
rhinoceroses
rhinos,"massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout"
rhizobia,"the type genus of Rhizobiaceae; usually occur in the root nodules of legumes; can fix atmospheric oxygen"
