ecarte,"a card game for 2 players; played with 32 cards and king high"
ecartes,"a card game for 2 players; played with 32 cards and king high"
ecaudate
ecbolic
ecbolics
eccentric,"a person with an unusual or odd personality","a person of a specified kind (usually with many eccentricities); "a real character"; "a strange character"; "a friendly eccentric"; "the capable type"; "a mental case"","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics"","not having a common center; not concentric; "eccentric circles""
eccentrically,"in an eccentric or bizarre manner","not symmetrically with respect to the center"
eccentricities
eccentricity,"strange and unconventional behavior","(geometry) a ratio describing the shape of a conic section; the ratio of the distance between the foci to the length of the major axis; "a circle is an ellipse with zero eccentricity"","a circularity that has a different center or deviates from a circular path"
eccentrics,"a person with an unusual or odd personality","a person of a specified kind (usually with many eccentricities); "a real character"; "a strange character"; "a friendly eccentric"; "the capable type"; "a mental case"","conspicuously or grossly unconventional or unusual; "restaurants of bizarre design--one like a hat, another like a rabbit"; "famed for his eccentric spelling"; "a freakish combination of styles"; "his off-the-wall antics"; "the outlandish clothes of teenagers"; "outre and affected stage antics"","not having a common center; not concentric; "eccentric circles""
ecclesia
ecclesiae
ecclesiastic,"a clergyman or other person in religious orders","of or associated with a church (especially a Christian Church); "ecclesiastic history""
ecclesiastical,"of or associated with a church (especially a Christian Church); "ecclesiastic history""
ecclesiastics,"a clergyman or other person in religious orders","of or associated with a church (especially a Christian Church); "ecclesiastic history""
eccrine,"(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell; important in regulating body temperature"
ecdyses,"periodic shedding of the cuticle in arthropods or the outer skin in reptiles"
ecdysial
ecdysis,"periodic shedding of the cuticle in arthropods or the outer skin in reptiles"
ecdyson
ecdysone
ecdysones
ecdysons
ecesis,"(ecology) the process by which a plant or animal becomes established in a new habitat"
ecesises
echard
echards
eche
eched
echelon,"a body of troops arranged in a line","a diffraction grating consisting of a pile of plates of equal thickness arranged stepwise with a constant offset"
echeloned
echeloning
echelons,"a body of troops arranged in a line","a diffraction grating consisting of a pile of plates of equal thickness arranged stepwise with a constant offset"
eches
