poaceous
poach,"hunt illegally; "people are poaching elephants for their ivory"","cook in a simmering liquid; "poached apricots""
poached,"cooked in hot water"
poacher,"someone who hunts or fishes illegally on the property of another","a cooking vessel designed to poach food (such as fish or eggs)","small slender fish (to 8 inches) with body covered by bony plates; chiefly of deeper northern Pacific waters"
poachers,"someone who hunts or fishes illegally on the property of another","a cooking vessel designed to poach food (such as fish or eggs)","small slender fish (to 8 inches) with body covered by bony plates; chiefly of deeper northern Pacific waters"
poaches
poachier
poachiest
poaching,"cooking in simmering liquid"
poachy
pochard,"heavy-bodied Old World diving duck having a grey-and-black body and reddish head"
pochards,"heavy-bodied Old World diving duck having a grey-and-black body and reddish head"
pock,"a pustule in an eruptive disease","mark with a scar; "The skin disease scarred his face permanently""
pocked,"used of paved surfaces having holes or pits","marked by or as if by smallpox or acne or other eruptive skin disease"
pocket,"a small pouch inside a garment for carrying small articles","an enclosed space; "the trapped miners found a pocket of air"","a supply of money; "they dipped into the taxpayers' pockets"","(bowling) the space between the headpin and the pins behind it on the right or left; "the ball hit the pocket and gave him a perfect strike"","a hollow concave shape made by removing something","a local region of low pressure or descending air that causes a plane to lose height suddenly","a small isolated group of people; "they were concentrated in pockets inside the city"; "the battle was won except for cleaning up pockets of resistance"","(anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican)","an opening at the corner or on the side of a billiard table into which billiard balls are struck","put in one's pocket; "He pocketed the change"","take unlawfully"
pocketbook,"your personal financial means; "that car is too expensive for my pocketbook"","a pocket-size case for holding papers and paper money","pocket-sized paperback book","a container used for carrying money and small personal items or accessories (especially by women); "she reached into her bag and found a comb""
pocketbooks,"your personal financial means; "that car is too expensive for my pocketbook"","a pocket-size case for holding papers and paper money","pocket-sized paperback book","a container used for carrying money and small personal items or accessories (especially by women); "she reached into her bag and found a comb""
pocketed
pocketer
pocketers
pocketful,"the quantity a pocket will hold"
pocketfuls,"the quantity a pocket will hold"
pocketing
pocketknife,"a knife with a blade that folds into the handle; suitable for carrying in the pocket"
pocketknives,"a knife with a blade that folds into the handle; suitable for carrying in the pocket"
pockets,"a small pouch inside a garment for carrying small articles","an enclosed space; "the trapped miners found a pocket of air"","a supply of money; "they dipped into the taxpayers' pockets"","(bowling) the space between the headpin and the pins behind it on the right or left; "the ball hit the pocket and gave him a perfect strike"","a hollow concave shape made by removing something","a local region of low pressure or descending air that causes a plane to lose height suddenly","a small isolated group of people; "they were concentrated in pockets inside the city"; "the battle was won except for cleaning up pockets of resistance"","(anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican)","an opening at the corner or on the side of a billiard table into which billiard balls are struck","put in one's pocket; "He pocketed the change"","take unlawfully"
pockier
pockiest
pockily
pocking
pockmark,"a scar or pit on the skin that is left by a pustule of smallpox or acne or other eruptive disease","mark with or as if with pockmarks; "Her face was pockmarked by the disease""
pockmarked,"used of paved surfaces having holes or pits","marked by or as if by smallpox or acne or other eruptive skin disease"
pockmarking
pockmarks,"a scar or pit on the skin that is left by a pustule of smallpox or acne or other eruptive disease","mark with or as if with pockmarks; "Her face was pockmarked by the disease""
pocks,"a pustule in an eruptive disease","mark with a scar; "The skin disease scarred his face permanently""
pocky
poco
pocosin
pocosins
pod,"the vessel that contains the seeds of a plant (not the seeds themselves)","a several-seeded dehiscent fruit as e.g. of a leguminous plant","a group of aquatic mammals","a detachable container of fuel on an airplane","take something out of its shell or pod; "pod peas or beans"","produce pods, of plants"
podagra
podagral
podagras
podagric
podded,"take something out of its shell or pod; "pod peas or beans"","produce pods, of plants"
podding,"take something out of its shell or pod; "pod peas or beans"","produce pods, of plants"
podesta
podestas
podgier,"short and plump"
podgiest,"short and plump"
podgily
podgy,"short and plump"
podia,"a platform raised above the surrounding level to give prominence to the person on it"
podiatries
podiatrist,"a specialist in care for the feet"
podiatry,"the branch of medicine concerned with the feet"
podite
podites
poditic
podium,"a platform raised above the surrounding level to give prominence to the person on it"
podiums,"a platform raised above the surrounding level to give prominence to the person on it"
podomere
podomeres
pods,"the vessel that contains the seeds of a plant (not the seeds themselves)","a several-seeded dehiscent fruit as e.g. of a leguminous plant","a group of aquatic mammals","a detachable container of fuel on an airplane","take something out of its shell or pod; "pod peas or beans"","produce pods, of plants"
podsol,"a soil that develops in temperate to cold moist climates under coniferous or heath vegetation; an organic mat over a grey leached layer"
podsolic
podsols,"a soil that develops in temperate to cold moist climates under coniferous or heath vegetation; an organic mat over a grey leached layer"
podzol,"a soil that develops in temperate to cold moist climates under coniferous or heath vegetation; an organic mat over a grey leached layer"
podzolic
podzols,"a soil that develops in temperate to cold moist climates under coniferous or heath vegetation; an organic mat over a grey leached layer"
poechore
poechores
poem,"a composition written in metrical feet forming rhythmical lines"
poems,"a composition written in metrical feet forming rhythmical lines"
poesies
poesy,"literature in metrical form"
poet,"a writer of poems (the term is usually reserved for writers of good poetry)"
poetess,"a woman poet"
poetesses
poetic,"of or relating to poetry; "poetic works"; "a poetic romance"","characterized by romantic imagery; "Turner's vision of the rainbow...was poetic"","of or relating to poets; "poetic insight"","characteristic of or befitting poetry; "poetic diction""
poetical,"of or relating to poetry; "poetic works"; "a poetic romance"","characteristic of or befitting poetry; "poetic diction""
poetics,"study of poetic works","of or relating to poetry; "poetic works"; "a poetic romance"","characterized by romantic imagery; "Turner's vision of the rainbow...was poetic"","of or relating to poets; "poetic insight"","characteristic of or befitting poetry; "poetic diction""
poetise,"compose verses or put into verse; "He versified the ancient saga""
poetised
poetiser,"a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets)"
poetisers,"a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets)"
poetises,"compose verses or put into verse; "He versified the ancient saga""
poetising
poetize,"compose verses or put into verse; "He versified the ancient saga""
poetized
poetizer,"a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets)"
poetizers,"a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets)"
poetizes,"compose verses or put into verse; "He versified the ancient saga""
poetizing
poetless
poetlike
poetries
poetry,"literature in metrical form","any communication resembling poetry in beauty or the evocation of feeling"
poets,"a writer of poems (the term is usually reserved for writers of good poetry)"
pogey,"money received from the state"
pogeys,"money received from the state"
pogies
pogonia,"any hardy bog orchid of the genus Pogonia: terrestrial orchids having slender rootstocks and erect stems bearing one or a few leaves and a solitary terminal flower"
pogonias,"any hardy bog orchid of the genus Pogonia: terrestrial orchids having slender rootstocks and erect stems bearing one or a few leaves and a solitary terminal flower"
pogonip,"a dense winter fog containing ice particles"
pogonips,"a dense winter fog containing ice particles"
pogrom,"organized persecution of an ethnic group (especially Jews)"
pogromed
pogroming
pogroms,"organized persecution of an ethnic group (especially Jews)"
pogy,"money received from the state"
poh
poi,"Hawaiian dish of taro root pounded to a paste and often allowed to ferment"
poignancies
poignancy,"a state of deeply felt distress or sorrow; "a moment of extraordinary poignancy"","a quality that arouses emotions (especially pity or sorrow); "the film captured all the pathos of their situation""
poignant,"arousing affect; "the homecoming of the released hostages was an affecting scene"; "poignant grief cannot endure forever"; "his gratitude was simple and touching"","keenly distressing to the mind or feelings; "poignant anxiety""
poilu,"a French soldier (especially in World War I)","thick stew made of rice and chicken and small game; southern U.S."
poilus,"a French soldier (especially in World War I)","thick stew made of rice and chicken and small game; southern U.S."
poind
poinded
poinding
poinds
poinsettia,"tropical American plant having poisonous milk and showy tapering usually scarlet petallike leaves surrounding small yellow flowers"
