maar,"a flat-bottomed volcanic crater that was formed by an explosion; often filled with water"
maars,"a flat-bottomed volcanic crater that was formed by an explosion; often filled with water"
mac,"a waterproof raincoat made of rubberized fabric"
macaber
macabre,"shockingly repellent; inspiring horror; "ghastly wounds"; "the grim aftermath of the bombing"; "the grim task of burying the victims"; "a grisly murder"; "gruesome evidence of human sacrifice"; "macabre tales of war and plague in the Middle ages"; "macabre tortures conceived by madmen""
macaco
macacos
macadam,"broken stone used in macadamized roadways","a paved surface having compressed layers of broken rocks held together with tar"
macadamize,"surface with macadam; "macadam the road""
macadamized
macadamizes,"surface with macadam; "macadam the road""
macadamizing
macadams,"broken stone used in macadamized roadways","a paved surface having compressed layers of broken rocks held together with tar"
macaque,"short-tailed monkey of rocky regions of Asia and Africa"
macaques,"short-tailed monkey of rocky regions of Asia and Africa"
macaroni,"a British dandy in the 18th century who affected Continental mannerisms; "Yankee Doodle stuck a feather in his cap and called it macaroni"","pasta in the form of slender tubes"
macaronies,"a British dandy in the 18th century who affected Continental mannerisms; "Yankee Doodle stuck a feather in his cap and called it macaroni"","pasta in the form of slender tubes"
macaronis,"a British dandy in the 18th century who affected Continental mannerisms; "Yankee Doodle stuck a feather in his cap and called it macaroni"","pasta in the form of slender tubes"
macaroon,"chewy cookie usually containing almond paste"
macaroons,"chewy cookie usually containing almond paste"
macaw,"long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots"
macaws,"long-tailed brilliantly colored parrot of Central America and South America; among the largest and showiest of parrots"
maccabaw
maccabaws
maccaboy
maccaboys
macchia
macchie
maccoboy
maccoboys
mace,"(trademark) a liquid that temporarily disables a person; prepared as an aerosol and sprayed in the face, it irritates the eyes and causes dizziness and immobilization","an official who carries a mace of office","spice made from the dried fleshy covering of the nutmeg seed","a ceremonial staff carried as a symbol of office or authority"
maced
macer,"an official who carries a mace of office"
macerate,"separate into constituents by soaking","become soft or separate and disintegrate as a result of excessive soaking; "the tissue macerated in the water"","soften, usually by steeping in liquid, and cause to disintegrate as a result; "macerate peaches"; "the gizzards macerates the food in the digestive system"","cause to grow thin or weak; "The treatment emaciated him""
macerated
macerates,"separate into constituents by soaking","become soft or separate and disintegrate as a result of excessive soaking; "the tissue macerated in the water"","soften, usually by steeping in liquid, and cause to disintegrate as a result; "macerate peaches"; "the gizzards macerates the food in the digestive system"","cause to grow thin or weak; "The treatment emaciated him""
macerating
macers,"an official who carries a mace of office"
maces,"(trademark) a liquid that temporarily disables a person; prepared as an aerosol and sprayed in the face, it irritates the eyes and causes dizziness and immobilization","an official who carries a mace of office","spice made from the dried fleshy covering of the nutmeg seed","a ceremonial staff carried as a symbol of office or authority"
mach,"Austrian physicist and philosopher who introduced the Mach number and who founded logical positivism (1838-1916)"
machete,"a large heavy knife used in Central and South America as a weapon or for cutting vegetation"
machetes,"a large heavy knife used in Central and South America as a weapon or for cutting vegetation"
machinate,"arrange by systematic planning and united effort; "machinate a plot"; "organize a strike"; "devise a plan to take over the director's office"","engage in plotting or enter into a conspiracy, swear together; "They conspired to overthrow the government""
machinated
machinates,"arrange by systematic planning and united effort; "machinate a plot"; "organize a strike"; "devise a plan to take over the director's office"","engage in plotting or enter into a conspiracy, swear together; "They conspired to overthrow the government""
machinating
machination,"a crafty and involved plot to achieve your (usually sinister) ends"
machinations,"a crafty and involved plot to achieve your (usually sinister) ends"
machine,"any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks","an efficient person; "the boxer was a magnificent fighting machine"","an intricate organization that accomplishes its goals efficiently; "the war machine"","a device for overcoming resistance at one point by applying force at some other point","a group that controls the activities of a political party; "he was endorsed by the Democratic machine"","a motor vehicle with four wheels; usually propelled by an internal combustion engine; "he needs a car to get to work"","turn, shape, mold, or otherwise finish by machinery","make by machinery; "The Americans were machining while others still hand-made cars""
machineable
machined
machineries
machinery,"machines or machine systems collectively","a system of means and activities whereby a social institution functions; "the complex machinery of negotiation"; "the machinery of command labored and brought forth an order""
