thack
thacked
thacking
thacks
thae
thairm
thairms
thalami,"large egg-shaped structures of grey matter that form the dorsal subdivision of the diencephalon"
thalamic
thalamus,"large egg-shaped structures of grey matter that form the dorsal subdivision of the diencephalon"
thaler
thalers
thalli,"a plant body without true stems or roots or leaves or vascular system; characteristic of the thallophytes"
thallic
thallium,"a soft grey malleable metallic element that resembles tin but discolors on exposure to air; it is highly toxic and is used in rodent and insect poisons; occurs in zinc blende and some iron ores"
thalliums,"a soft grey malleable metallic element that resembles tin but discolors on exposure to air; it is highly toxic and is used in rodent and insect poisons; occurs in zinc blende and some iron ores"
thalloid,"of or relating to or resembling or consisting of a thallus"
thallous
thallus,"a plant body without true stems or roots or leaves or vascular system; characteristic of the thallophytes"
thalluses
than
thanage
thanages
thanatos,"(Greek mythology) the Greek personification of death; son of Nyx","(psychoanalysis) an unconscious urge to die"
thanatoses
thane,"a feudal lord or baron","a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land)"
thanes,"a feudal lord or baron","a man ranking above an ordinary freeman and below a noble in Anglo-Saxon England (especially one who gave military service in exchange for land)"
thank,"express gratitude or show appreciation to"
thanked
thanker
thankful,"feeling or showing gratitude; "a grateful heart"; "grateful for the tree's shade"; "a thankful smile""
thankfuller
thankfullest
thankfully,"in a thankful manner; with thanks; "he accepted thankfully my apologies"","let us be thankful that; "thankfully he didn't come to the party""
thankfulness,"warm friendly feelings of gratitude"
thankfulnesses
thanking
thanks,"an acknowledgment of appreciation","with the help of or owing to; "thanks to hard work it was a great success"","express gratitude or show appreciation to"
thanksgiving,"fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag","a short prayer of thanks before a meal; "their youngest son said grace""
tharm
tharms
that
thataway
thatch,"hair resembling thatched roofing material","plant stalks used as roofing material","an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)","a house roof made with a plant material (as straw)","cover with thatch; "thatch the roofs""
thatched
thatcher,"British stateswoman; first woman to serve as Prime Minister (born in 1925)","someone skilled in making a roof from plant stalks or foliage"
thatchers,"British stateswoman; first woman to serve as Prime Minister (born in 1925)","someone skilled in making a roof from plant stalks or foliage"
thatches
thatching
thatchy
thaw,"the process whereby heat changes something from a solid to a liquid; "the power failure caused a refrigerator melt that was a disaster"; "the thawing of a frozen turkey takes several hours"","warm weather following a freeze; snow and ice melt; "they welcomed the spring thaw"","a relaxation or slackening of tensions or reserve; becoming less hostile; "the thaw between the United States and Russia has led to increased cooperation in world affairs"","become or cause to become soft or liquid; "The sun melted the ice"; "the ice thawed"; "the ice cream melted"; "The heat melted the wax"; "The giant iceberg dissolved over the years during the global warming phase"; "dethaw the meat""
thawed,"no longer frozen solid; "the thawed ice was treacherous"","no longer frozen; "the thawed ground was muddy""
thawer
thawers
thawing,"the process whereby heat changes something from a solid to a liquid; "the power failure caused a refrigerator melt that was a disaster"; "the thawing of a frozen turkey takes several hours"","warm weather following a freeze; snow and ice melt; "they welcomed the spring thaw""
thawless
thaws,"the process whereby heat changes something from a solid to a liquid; "the power failure caused a refrigerator melt that was a disaster"; "the thawing of a frozen turkey takes several hours"","warm weather following a freeze; snow and ice melt; "they welcomed the spring thaw"","a relaxation or slackening of tensions or reserve; becoming less hostile; "the thaw between the United States and Russia has led to increased cooperation in world affairs"","become or cause to become soft or liquid; "The sun melted the ice"; "the ice thawed"; "the ice cream melted"; "The heat melted the wax"; "The giant iceberg dissolved over the years during the global warming phase"; "dethaw the meat""
the
thearchies
thearchy
theater,"a building where theatrical performances or motion-picture shows can be presented; "the house was full"","the art of writing and producing plays","a region in which active military operations are in progress; "the army was in the field awaiting action"; "he served in the Vietnam theater for three years""
theaters,"a building where theatrical performances or motion-picture shows can be presented; "the house was full"","the art of writing and producing plays","a region in which active military operations are in progress; "the army was in the field awaiting action"; "he served in the Vietnam theater for three years""
theatre,"a building where theatrical performances or motion-picture shows can be presented; "the house was full"","the art of writing and producing plays","a region in which active military operations are in progress; "the army was in the field awaiting action"; "he served in the Vietnam theater for three years""
theatres,"a building where theatrical performances or motion-picture shows can be presented; "the house was full"","the art of writing and producing plays","a region in which active military operations are in progress; "the army was in the field awaiting action"; "he served in the Vietnam theater for three years""
theatric
theatrical,"a performance of a play","of or relating to the theater","suited to or characteristic of the stage or theater; "a theatrical pose"; "one of the most theatrical figures in public life""
thebaine
thebaines
theca,"a case or sheath especially a pollen sac or moss capsule","outer sheath of the pupa of certain insects"
thecae,"a case or sheath especially a pollen sac or moss capsule","outer sheath of the pupa of certain insects"
thecal
thecate
thee
theelin,"a naturally occurring weak estrogenic hormone secreted by the mammalian ovary; synthesized (trade name Estronol) and used to treat estrogen deficiency"
theelins,"a naturally occurring weak estrogenic hormone secreted by the mammalian ovary; synthesized (trade name Estronol) and used to treat estrogen deficiency"
theelol
theelols
theft,"the act of taking something from someone unlawfully; "the thieving is awful at Kennedy International""
thefts,"the act of taking something from someone unlawfully; "the thieving is awful at Kennedy International""
thegn
thegnly
thegns
thein
theine
theines
theins
their
theirs
theism,"the doctrine or belief in the existence of a God or gods"
theisms,"the doctrine or belief in the existence of a God or gods"
theist,"one who believes in the existence of a god or gods","of or relating to theism"
theistic,"of or relating to theism"
theists,"one who believes in the existence of a god or gods","of or relating to theism"
thelitis
thelitises
them
thematic,"relating to or constituting a topic of discourse","of or relating to a melodic subject"
theme,"the subject matter of a conversation or discussion; "he didn't want to discuss that subject"; "it was a very sensitive topic"; "his letters were always on the theme of love"","a unifying idea that is a recurrent element in literary or artistic work; "it was the usual `boy gets girl' theme"","(music) melodic subject of a musical composition; "the theme is announced in the first measures"; "the accompanist picked up the idea and elaborated it"","an essay (especially one written as an assignment); "he got an A on his composition"","(linguistics) the form of a word after all affixes are removed; "thematic vowels are part of the stem"","provide with a particular theme or motive; "the restaurant often themes its menus""
themes,"the subject matter of a conversation or discussion; "he didn't want to discuss that subject"; "it was a very sensitive topic"; "his letters were always on the theme of love"","a unifying idea that is a recurrent element in literary or artistic work; "it was the usual `boy gets girl' theme"","(music) melodic subject of a musical composition; "the theme is announced in the first measures"; "the accompanist picked up the idea and elaborated it"","an essay (especially one written as an assignment); "he got an A on his composition"","(linguistics) the form of a word after all affixes are removed; "thematic vowels are part of the stem"","provide with a particular theme or motive; "the restaurant often themes its menus""
themselves
then,"that time; that moment; "we will arrive before then"; "we were friends from then on"","at a specific prior time; "the then president"","subsequently or soon afterward (often used as sentence connectors); "then he left"; "go left first, then right"; "first came lightning, then thunder"; "we watched the late movie and then went to bed"; "and so home and to bed"","in that case or as a consequence; "if he didn't take it, then who did?"; "keep it then if you want to"; "the case, then, is closed"; "you've made up your mind then?"; "then you'll be rich"","at that time; "I was young then"; "prices were lower back then"; "science as it was then taught""
thenage
thenages
thenal,"of or relating to the palm of the hand or to the area at the base of the thumb"
thenar,"the fleshy area of the palm at the base of the thumb","the inner surface of the hand from the wrist to the base of the fingers","of or relating to the palm of the hand or to the area at the base of the thumb"
thenars,"the fleshy area of the palm at the base of the thumb","the inner surface of the hand from the wrist to the base of the fingers","of or relating to the palm of the hand or to the area at the base of the thumb"
thence,"from that place or from there; "proceeded thence directly to college"; "flew to Helsinki and thence to Moscow"; "roads that lead therefrom"","from that circumstance or source; "atomic formulas and all compounds thence constructible"- W.V.Quine; "a natural conclusion follows thence"; "public interest and a policy deriving therefrom"; "typhus fever results therefrom"","(used to introduce a logical conclusion) from that fact or reason or as a result; "therefore X must be true"; "the eggs were fresh and hence satisfactory"; "we were young and thence optimistic"; "it is late and thus we must go"; "the witness is biased and so cannot be trusted""
thens,"that time; that moment; "we will arrive before then"; "we were friends from then on"","at a specific prior time; "the then president"","subsequently or soon afterward (often used as sentence connectors); "then he left"; "go left first, then right"; "first came lightning, then thunder"; "we watched the late movie and then went to bed"; "and so home and to bed"","in that case or as a consequence; "if he didn't take it, then who did?"; "keep it then if you want to"; "the case, then, is closed"; "you've made up your mind then?"; "then you'll be rich"","at that time; "I was young then"; "prices were lower back then"; "science as it was then taught""
theocracy,"a political unit governed by a deity (or by officials thought to be divinely guided)","the belief in government by divine guidance"
theocrat
theocratic,"of or relating to or being a theocracy; "a theocratic state""
theocrats
theodicies
theodicy,"the branch of theology that defends God's goodness and justice in the face of the existence of evil"
theogonies
theogony,"the study of the origins and genealogy of the gods"
theolog
theologian,"someone who is learned in theology or who speculates about theology"
theologians,"someone who is learned in theology or who speculates about theology"
theological,"of or relating to or concerning theology; "theological seminar""
theologies
theologs
theology,"the rational and systematic study of religion and its influences and of the nature of religious truth","a particular system or school of religious beliefs and teachings; "Jewish theology"; "Roman Catholic theology"","the learned profession acquired by specialized courses in religion (usually taught at a college or seminary); "he studied theology at Oxford""
theonomies
theonomy
theorbo
theorbos
theorem,"a proposition deducible from basic postulates","an idea accepted as a demonstrable truth"
theorems,"a proposition deducible from basic postulates","an idea accepted as a demonstrable truth"
theoretical,"concerned primarily with theories or hypotheses rather than practical considerations; "theoretical science"","concerned with theories rather than their practical applications; "theoretical physics""
theoretically,"in theory; according to the assumed facts; "on paper the candidate seems promising"","in a theoretical manner; "he worked the problem out theoretically""
theories
theorise,"to believe especially on uncertain or tentative grounds; "Scientists supposed that large dinosaurs lived in swamps""
theorised
theorises,"to believe especially on uncertain or tentative grounds; "Scientists supposed that large dinosaurs lived in swamps""
theorising
theorist,"someone who theorizes (especially in science or art)"
theorists,"someone who theorizes (especially in science or art)"
theorize,"to believe especially on uncertain or tentative grounds; "Scientists supposed that large dinosaurs lived in swamps"","construct a theory about; "Galileo theorized the motion of the stars"","form or construct theories; "he thinks and theorizes all day""
theorized
theorizes,"to believe especially on uncertain or tentative grounds; "Scientists supposed that large dinosaurs lived in swamps"","construct a theory about; "Galileo theorized the motion of the stars"","form or construct theories; "he thinks and theorizes all day""
theorizing
theory,"a well-substantiated explanation of some aspect of the natural world; an organized system of accepted knowledge that applies in a variety of circumstances to explain a specific set of phenomena; "theories can incorporate facts and laws and tested hypotheses"; "true in fact and theory"","a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena; "a scientific hypothesis that survives experimental testing becomes a scientific theory"; "he proposed a fresh theory of alkalis that later was accepted in chemical practices"","a belief that can guide behavior; "the architect has a theory that more is less"; "they killed him on the theory that dead men tell no tales""
therapeutic,"a medicine or therapy that cures disease or relieve pain","tending to cure or restore to health; "curative powers of herbal remedies"; "her gentle healing hand"; "remedial surgery"; "a sanative environment of mountains and fresh air"; "a therapeutic agent"; "therapeutic diets"","relating to or involved in therapy; "therapeutic approach to criminality""
therapeutically,"for therapeutic purposes"
therapies
therapist,"a person skilled in a particular type of therapy"
therapists,"a person skilled in a particular type of therapy"
therapy,"(medicine) the act of caring for someone (as by medication or remedial training etc.); "the quarterback is undergoing treatment for a knee injury"; "he tried every treatment the doctors suggested"; "heat therapy gave the best relief""
there,"a location other than here; that place; "you can take it from there"","in or at that place; "they have lived there for years"; "it's not there"; "that man there"","in that matter; "I agree with you there"","to or toward that place; away from the speaker; "go there around noon!""
thereabout,"near that time or date; "come at noon or thereabouts"","near that place; "he stayed in London or thereabouts for several weeks""
thereabouts,"near that time or date; "come at noon or thereabouts"","near that place; "he stayed in London or thereabouts for several weeks""
thereafter,"from that time on; "thereafter he never called again""
thereat
thereby,"by that means or because of that; "He knocked over the red wine, thereby ruining the table cloth""
therefor,"(in formal usage, especially legal usage) for that or for it; "ordering goods and enclosing payment therefor"; "a refund therefor""
therefore,"(used to introduce a logical conclusion) from that fact or reason or as a result; "therefore X must be true"; "the eggs were fresh and hence satisfactory"; "we were young and thence optimistic"; "it is late and thus we must go"; "the witness is biased and so cannot be trusted"","as a consequence; "he had good reason to be grateful for the opportunities which they had made available to him and which consequently led to the good position he now held""
therein,"(formal) in or into that thing or place; "they can read therein what our plans are""
theremin,"an electronic musical instrument; melodies can be played by moving the right hand between two rods that serve as antennas to control pitch; the left hand controls phrasing"
theremins,"an electronic musical instrument; melodies can be played by moving the right hand between two rods that serve as antennas to control pitch; the left hand controls phrasing"
thereof,"of or concerning this or that; "a problem and the solution thereof"","from that circumstance or source; "atomic formulas and all compounds thence constructible"- W.V.Quine; "a natural conclusion follows thence"; "public interest and a policy deriving therefrom"; "typhus fever results therefrom""
thereon,"on that; "text and commentary thereon""
theres,"a location other than here; that place; "you can take it from there"","in or at that place; "they have lived there for years"; "it's not there"; "that man there"","in that matter; "I agree with you there"","to or toward that place; away from the speaker; "go there around noon!""
thereto,"to that; "with all the appurtenances fitting thereto""
thereupon
therewith,"with that or this or it; "I have learned that whatever state I am, therewith to be content"- Phil.4:11"
theriac
theriaca
theriacas
theriacs
therm,"a unit of heat equal to 100,000 British thermal units"
thermae
thermal,"rising current of warm air","relating to or associated with heat; "thermal movements of molecules"; "thermal capacity"; "thermic energy"; "the caloric effect of sunlight"","of or relating to a hot spring; "thermal water"","caused by or designed to retain heat; "a thermal burn"; "thermal underwear""
thermals,"rising current of warm air","relating to or associated with heat; "thermal movements of molecules"; "thermal capacity"; "thermic energy"; "the caloric effect of sunlight"","of or relating to a hot spring; "thermal water"","caused by or designed to retain heat; "a thermal burn"; "thermal underwear""
therme
thermel,"a thermometer that uses thermoelectric current to measure temperature"
thermels,"a thermometer that uses thermoelectric current to measure temperature"
thermes
thermic,"relating to or associated with heat; "thermal movements of molecules"; "thermal capacity"; "thermic energy"; "the caloric effect of sunlight""
thermion,"an electrically charged particle (electron or ion) emitted by a substance at a high temperature"
thermions,"an electrically charged particle (electron or ion) emitted by a substance at a high temperature"
thermit
thermite
thermites
thermits
thermodynamics,"the branch of physics concerned with the conversion of different forms of energy","of or concerned with thermodynamics; "the thermodynamic limit""
thermometer,"measuring instrument for measuring temperature"
thermometers,"measuring instrument for measuring temperature"
thermometric,"of or relating to thermometry; "helium gas was the thermometric fluid""
thermometrically
thermos,"vacuum flask that preserves temperature of hot or cold drinks"
thermoses
thermostat,"a regulator for automatically regulating temperature by starting or stopping the supply of heat","control the temperature with a thermostat"
thermostatic,"of or relating to a thermostat; "thermostatic control""
thermostatically,"by thermostat; in a thermostatic manner; "the temperature is thermostatically controlled""
thermostats,"a regulator for automatically regulating temperature by starting or stopping the supply of heat","control the temperature with a thermostat"
therms,"a unit of heat equal to 100,000 British thermal units"
theroid
theropod,"any of numerous carnivorous dinosaurs of the Triassic to Cretaceous with short forelimbs that walked or ran on strong hind legs"
theropods,"any of numerous carnivorous dinosaurs of the Triassic to Cretaceous with short forelimbs that walked or ran on strong hind legs"
thesauri,"a book containing a classified list of synonyms"
thesaurus,"a book containing a classified list of synonyms"
these
theses,"an unproved statement put forward as a premise in an argument","a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree"
thesis,"an unproved statement put forward as a premise in an argument","a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree"
