yabber
yabbered
yabbering
yabbers
yacht,"an expensive vessel propelled by sail or power and used for cruising or racing","travel in a yacht"
yachted
yachter
yachters
yachting,"water travel for pleasure"
yachtings,"water travel for pleasure"
yachtman
yachtmen
yachts,"an expensive vessel propelled by sail or power and used for cruising or racing","travel in a yacht"
yack,"noisy talk","talk incessantly and tiresomely"
yacked
yacking
yacks,"noisy talk","talk incessantly and tiresomely"
yaff
yaffed
yaffing
yaffs
yager
yagers
yagi,"a sharply directional antenna"
yagis,"a sharply directional antenna"
yah
yahoo,"a person who is not very intelligent or interested in culture","one of a race of brutes resembling men but subject to the Houyhnhnms in a novel by Jonathan Swift","a widely used search engine for the web that finds information, news, images, products, finance"
yahooism
yahooisms
yahoos,"a person who is not very intelligent or interested in culture","one of a race of brutes resembling men but subject to the Houyhnhnms in a novel by Jonathan Swift","a widely used search engine for the web that finds information, news, images, products, finance"
yaird
yairds
yak,"noisy talk","large long-haired wild ox of Tibet often domesticated","talk profusely; "she was yakking away about her grandchildren""
yakked,"talk profusely; "she was yakking away about her grandchildren""
yakking,"talk profusely; "she was yakking away about her grandchildren""
yaks,"noisy talk","large long-haired wild ox of Tibet often domesticated","talk profusely; "she was yakking away about her grandchildren""
yald
yam,"edible tuber of any of several yams","any of a number of tropical vines of the genus Dioscorea many having edible tuberous roots","sweet potato with deep orange flesh that remains moist when baked","edible tuberous root of various yam plants of the genus Dioscorea grown in the tropics world-wide for food"
yamen
yamens
yammer,"cry loudly, as of animals; "The coyotes were howling in the desert"","complain whiningly"
yammered
yammerer
yammerers
yammering
yammers,"cry loudly, as of animals; "The coyotes were howling in the desert"","complain whiningly"
yams,"edible tuber of any of several yams","any of a number of tropical vines of the genus Dioscorea many having edible tuberous roots","sweet potato with deep orange flesh that remains moist when baked","edible tuberous root of various yam plants of the genus Dioscorea grown in the tropics world-wide for food"
yamun
yamuns
yang,"the bright positive masculine principle in Chinese dualistic cosmology; "yin and yang together produce everything that comes into existence""
yangs,"the bright positive masculine principle in Chinese dualistic cosmology; "yin and yang together produce everything that comes into existence""
yank,"an American who lives in the North (especially during the American Civil War)","an American (especially to non-Americans)","pull, or move with a sudden movement; "He turned the handle and jerked the door open""
yanked
yanking
yanks,"an American who lives in the North (especially during the American Civil War)","an American (especially to non-Americans)","pull, or move with a sudden movement; "He turned the handle and jerked the door open""
yanqui
yanquis
yap,"informal terms for the mouth","bark in a high-pitched tone; "the puppies yelped""
yapock
yapocks
yapok
yapoks
yapon
yapons
yapped,"bark in a high-pitched tone; "the puppies yelped""
yapper
yappers
yapping,"bark in a high-pitched tone; "the puppies yelped""
yappy
yaps,"informal terms for the mouth","bark in a high-pitched tone; "the puppies yelped""
yar
yard,"a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride","the enclosed land around a house or other building; "it was a small house with almost no yard"","a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings); "they opened a repair yard on the edge of town"","the cardinal number that is the product of 10 and 100","a unit of volume (as for sand or gravel)","a tract of land where logs are accumulated","an area having a network of railway tracks and sidings for storage and maintenance of cars and engines","a long horizontal spar tapered at the end and used to support and spread a square sail or lateen","an enclosure for animals (as chicken or livestock)"
yardage,"distance measured in the aggregate number of yards; "what is the yardage of this golf course?""
yardages,"distance measured in the aggregate number of yards; "what is the yardage of this golf course?""
yardarm,"either end of the yard of a square-rigged ship"
yardarms,"either end of the yard of a square-rigged ship"
yardbird,"a military recruit who is assigned menial tasks","a person serving a sentence in a jail or prison"
yardbirds,"a military recruit who is assigned menial tasks","a person serving a sentence in a jail or prison"
yarded
yarding
yardman,"worker in a railway yard","a laborer hired to do outdoor work (such as mowing lawns)"
yardmen
yards,"a unit of length equal to 3 feet; defined as 91.44 centimeters; originally taken to be the average length of a stride","the enclosed land around a house or other building; "it was a small house with almost no yard"","a tract of land enclosed for particular activities (sometimes paved and usually associated with buildings); "they opened a repair yard on the edge of town"","the cardinal number that is the product of 10 and 100","a unit of volume (as for sand or gravel)","a tract of land where logs are accumulated","an area having a network of railway tracks and sidings for storage and maintenance of cars and engines","a long horizontal spar tapered at the end and used to support and spread a square sail or lateen","an enclosure for animals (as chicken or livestock)"
yardstick,"a measure or standard used for comparison; "on what kind of yardstick is he basing his judgment?"","a ruler or tape that is three feet long"
yardsticks,"a measure or standard used for comparison; "on what kind of yardstick is he basing his judgment?"","a ruler or tape that is three feet long"
yardwand
yardwands
yare
yarely
yarer
yarest
yarmelke,"a skullcap worn by religious Jews (especially at prayer)"
yarmelkes,"a skullcap worn by religious Jews (especially at prayer)"
yarmulke,"a skullcap worn by religious Jews (especially at prayer)"
yarmulkes,"a skullcap worn by religious Jews (especially at prayer)"
yarn,"the act of giving an account describing incidents or a course of events; "his narration was hesitant"","a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving","tell or spin a yarn"
yarned
yarning
yarns,"the act of giving an account describing incidents or a course of events; "his narration was hesitant"","a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving","tell or spin a yarn"
yarrow,"ubiquitous strong-scented mat-forming Eurasian herb of wasteland, hedgerow or pasture having narrow serrate leaves and small usually white florets; widely naturalized in North America"
yarrows,"ubiquitous strong-scented mat-forming Eurasian herb of wasteland, hedgerow or pasture having narrow serrate leaves and small usually white florets; widely naturalized in North America"
yashmac,"the face veil worn by Muslim women"
yashmacs,"the face veil worn by Muslim women"
yashmak,"the face veil worn by Muslim women"
yashmaks,"the face veil worn by Muslim women"
yasmak
yasmaks
yatagan
yatagans
yataghan,"a long Turkish knife with a curved blade having a single edge"
yataghans,"a long Turkish knife with a curved blade having a single edge"
yaud
yauds
yauld
yaup,"emit long loud cries; "wail in self-pity"; "howl with sorrow""
yauped
yauper
yaupers
yauping
yaupon
yaupons
yaups,"emit long loud cries; "wail in self-pity"; "howl with sorrow""
yaw,"an erratic deflection from an intended course","be wide open; "the deep gaping canyon"","deviate erratically from a set course; "the yawing motion of the ship"","swerve off course momentarily; "the ship yawed when the huge waves hit it""
yawed
yawing
yawl,"a ship's small boat (usually rowed by 4 or 6 oars)","a sailing vessel with two masts; a small mizzen is aft of the rudderpost","emit long loud cries; "wail in self-pity"; "howl with sorrow""
yawled
yawling
yawls,"a ship's small boat (usually rowed by 4 or 6 oars)","a sailing vessel with two masts; a small mizzen is aft of the rudderpost","emit long loud cries; "wail in self-pity"; "howl with sorrow""
yawmeter
yawmeters
yawn,"an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom; "he could not suppress a yawn"; "the yawning in the audience told him it was time to stop"; "he apologized for his oscitancy"","utter a yawn, as from lack of oxygen or when one is tired; "The child yawned during the long performance"","be wide open; "the deep gaping canyon""
yawned
yawner,"a person who yawns"
yawners,"a person who yawns"
yawning,"an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom; "he could not suppress a yawn"; "the yawning in the audience told him it was time to stop"; "he apologized for his oscitancy"","gaping open as if threatening to engulf someone or something; "the yawning mine shaft"; "a yawning abyss"","with the mouth wide open indicating boredom or sleepiness; "a yawning congregation"","showing lack of attention or boredom; "the yawning congregation""
yawns,"an involuntary intake of breath through a wide open mouth; usually triggered by fatigue or boredom; "he could not suppress a yawn"; "the yawning in the audience told him it was time to stop"; "he apologized for his oscitancy"","utter a yawn, as from lack of oxygen or when one is tired; "The child yawned during the long performance"","be wide open; "the deep gaping canyon""
yawp,"make a raucous noise","complain whiningly"
yawped
yawper
yawpers
yawping
yawpings
yawps,"make a raucous noise","complain whiningly"
yaws,"an infectious tropical disease resembling syphilis in its early stages; marked by red skin eruptions and ulcerating lesions","be wide open; "the deep gaping canyon"","deviate erratically from a set course; "the yawing motion of the ship"","swerve off course momentarily; "the ship yawed when the huge waves hit it""
yay,"a branch of the Tai languages"
