eobiont
eobionts
eohippus,"earliest horse; extinct primitive dog-sized four-toed Eocene animal"
eohippuses
eolian,"a member of one of four linguistic divisions of the prehistoric Greeks"
eolipile
eolipiles
eolith,"a crude stone artifact (as a chipped flint); possibly the earliest tools"
eolithic,"the earliest part of the Stone Age marked by the earliest signs of human culture","of or relating to the earliest period of the Stone Age (characterized by the use of eoliths)"
eoliths,"a crude stone artifact (as a chipped flint); possibly the earliest tools"
eolopile
eolopiles
eon,"the longest division of geological time","an immeasurably long period of time; "oh, that happened eons ago"","(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe"
eonian,"of or relating to a geological eon (longer than an era)","continuing forever or indefinitely; "the ageless themes of love and revenge"; "eternal truths"; "life everlasting"; "hell's perpetual fires"; "the unending bliss of heaven""
eonism
eonisms
eons,"the longest division of geological time","an immeasurably long period of time; "oh, that happened eons ago"","(Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe"
eosin,"a red fluorescent dye resulting from the action of bromine on fluorescein; used in cosmetics and as a biological stain for studying cell structures"
eosine
eosines
eosinic
eosins,"a red fluorescent dye resulting from the action of bromine on fluorescein; used in cosmetics and as a biological stain for studying cell structures"
