sybarite,"a person addicted to luxury and pleasures of the senses"
sybarites,"a person addicted to luxury and pleasures of the senses"
sybo
syboes
sycamine
sycamines
sycamore,"variably colored and sometimes variegated hard tough elastic wood of a sycamore tree","any of several trees of the genus Platanus having thin pale bark that scales off in small plates and lobed leaves and ball-shaped heads of fruits","Eurasian maple tree with pale grey bark that peels in flakes like that of a sycamore tree; leaves with five ovate lobes yellow in autumn","thick-branched wide-spreading tree of Africa and adjacent southwestern Asia often buttressed with branches rising from near the ground; produces cluster of edible but inferior figs on short leafless twigs; the biblical sycamore"
sycamores,"variably colored and sometimes variegated hard tough elastic wood of a sycamore tree","any of several trees of the genus Platanus having thin pale bark that scales off in small plates and lobed leaves and ball-shaped heads of fruits","Eurasian maple tree with pale grey bark that peels in flakes like that of a sycamore tree; leaves with five ovate lobes yellow in autumn","thick-branched wide-spreading tree of Africa and adjacent southwestern Asia often buttressed with branches rising from near the ground; produces cluster of edible but inferior figs on short leafless twigs; the biblical sycamore"
syce
sycee
sycees
syces
sycomore
sycomores
syconia,"the fleshy multiple fruit of the fig consisting of an enlarged hollow receptacle containing numerous fruitlets"
syconium,"the fleshy multiple fruit of the fig consisting of an enlarged hollow receptacle containing numerous fruitlets"
sycophant,"a person who tries to please someone in order to gain a personal advantage"
sycophantic,"attempting to win favor from influential people by flattery","attempting to win favor by flattery"
sycophants,"a person who tries to please someone in order to gain a personal advantage"
sycoses
sycosis
syenite
syenites
syenitic
syke
sykes
syllabi,"an integrated course of academic studies; "he was admitted to a new program at the university""
syllabic,"of or relating to syllables; "syllabic accent"; "syllabic characters each represent a syllable"","consisting of or using a syllabary; "eskimos of the eastern Arctic have a system of syllabic writing"","(of verse) having lines based on number of syllables rather than on rhythmical arrangement of stresses or quantities","consisting of a syllable or syllables","(of speech sounds) forming the nucleus of a syllable; "the syllabic 'nl' in 'riddle'""
syllabics,"of or relating to syllables; "syllabic accent"; "syllabic characters each represent a syllable"","consisting of or using a syllabary; "eskimos of the eastern Arctic have a system of syllabic writing"","(of verse) having lines based on number of syllables rather than on rhythmical arrangement of stresses or quantities","consisting of a syllable or syllables","(of speech sounds) forming the nucleus of a syllable; "the syllabic 'nl' in 'riddle'""
syllable,"a unit of spoken language larger than a phoneme; "the word `pocket' has two syllables""
syllabled,"pronounced in syllables"
syllables,"a unit of spoken language larger than a phoneme; "the word `pocket' has two syllables""
syllabling
syllabub,"spiced hot milk with rum or wine","sweetened cream beaten with wine or liquor"
syllabubs,"spiced hot milk with rum or wine","sweetened cream beaten with wine or liquor"
syllabus,"an integrated course of academic studies; "he was admitted to a new program at the university""
syllabuses
sylph,"a slender graceful young woman","an elemental being believed to inhabit the air"
sylphic
sylphid
sylphids
sylphish
sylphs,"a slender graceful young woman","an elemental being believed to inhabit the air"
sylphy
sylva,"the forest trees growing in a country or region"
sylvae
sylvan,"a spirit that lives in or frequents the woods","relating to or characteristic of wooded regions; "a shady sylvan glade""
sylvans,"a spirit that lives in or frequents the woods","relating to or characteristic of wooded regions; "a shady sylvan glade""
sylvas,"the forest trees growing in a country or region"
sylvatic
sylvin
sylvine,"a mineral consisting of native potassium chloride; an important ore of potassium that is found in sedimentary beds"
sylvines,"a mineral consisting of native potassium chloride; an important ore of potassium that is found in sedimentary beds"
sylvins
sylvite,"a mineral consisting of native potassium chloride; an important ore of potassium that is found in sedimentary beds"
sylvites,"a mineral consisting of native potassium chloride; an important ore of potassium that is found in sedimentary beds"
symbion
symbions
symbiont
symbionts
symbiot
symbiote
symbiotes
symbiots
symbol,"an arbitrary sign (written or printed) that has acquired a conventional significance","something visible that by association or convention represents something else that is invisible; "the eagle is a symbol of the United States""
symboled
symbolic,"relating to or using or proceeding by means of symbols; "symbolic logic"; "symbolic operations"; "symbolic thinking"","serving as a visible symbol for something abstract; "a crown is emblematic of royalty"; "the spinning wheel was as symbolic of colonical Massachusetts as the codfish"","using symbolism; "symbolic art""
