bub
bubal
bubale
bubales
bubaline,"relating to or resembling a buffalo"
bubalis
bubalises
bubals
bubbies
bubble,"a hollow globule of gas (e.g., air or carbon dioxide)","a speculative scheme that depends on unstable factors that the planner cannot control; "his proposal was nothing but a house of cards"; "a real estate bubble"","an impracticable and illusory idea; "he didn't want to burst the newcomer's bubble"","a dome-shaped covering made of transparent glass or plastic","form, produce, or emit bubbles; "The soup was bubbling"","flow in an irregular current with a bubbling noise; "babbling brooks"","rise in bubbles or as if in bubbles; "bubble to the surface"","cause to form bubbles; "bubble gas through a liquid"","expel gas from the stomach; "In China it is polite to burp at the table""
bubbled
bubbler,"a public fountain to provide a jet of drinking water","any of various devices in which air or some other gas is bubbled through a liquid"
bubblers,"a public fountain to provide a jet of drinking water","any of various devices in which air or some other gas is bubbled through a liquid"
bubbles,"a hollow globule of gas (e.g., air or carbon dioxide)","a speculative scheme that depends on unstable factors that the planner cannot control; "his proposal was nothing but a house of cards"; "a real estate bubble"","an impracticable and illusory idea; "he didn't want to burst the newcomer's bubble"","a dome-shaped covering made of transparent glass or plastic","form, produce, or emit bubbles; "The soup was bubbling"","flow in an irregular current with a bubbling noise; "babbling brooks"","rise in bubbles or as if in bubbles; "bubble to the surface"","cause to form bubbles; "bubble gas through a liquid"","expel gas from the stomach; "In China it is polite to burp at the table""
bubblier,"emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer"","full of or showing high spirits; "bright bubbly children"; "a bubbly personality""
bubblies
bubbliest,"emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer"","full of or showing high spirits; "bright bubbly children"; "a bubbly personality""
bubbling,"emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer"","marked by high spirits or excitement; "his fertile effervescent mind"; "scintillating personality"; "a row of sparkly cheerleaders""
bubbly,"a white sparkling wine either produced in Champagne or resembling that produced there","emitting or filled with bubbles as from carbonation or fermentation; "bubbling champagne"; "foamy (or frothy) beer"","full of or showing high spirits; "bright bubbly children"; "a bubbly personality""
bubby
bubinga
bubingas
bubo,"a lymph node that is inflamed and swollen because of plague or gonorrhea or tuberculosis","a genus of Strigidae"
buboed
buboes,"a lymph node that is inflamed and swollen because of plague or gonorrhea or tuberculosis","a genus of Strigidae"
bubonic,"of or evidencing buboes; "bubonic plague""
bubs
buccal,"of or relating to or toward the cheek","lying within the mouth; "a buccal gland"","oriented toward the inside of the cheek; "the buccal aspect of the gum""
buccally
