ugh
ughs
uglier,"displeasing to the senses; "an ugly face"; "ugly furniture"","inclined to anger or bad feelings with overtones of menace; "a surly waiter"; "an ugly frame of mind"","morally reprehensible; "would do something as despicable as murder"; "ugly crimes"; "the vile development of slavery appalled them"; "a slimy little liar"","provoking horror; "an atrocious automobile accident"; "a frightful crime of decapitation"; "an alarming, even horrifying, picture"; "war is beyond all words horrible"- Winston Churchill; "an ugly wound""
ugliest,"displeasing to the senses; "an ugly face"; "ugly furniture"","inclined to anger or bad feelings with overtones of menace; "a surly waiter"; "an ugly frame of mind"","morally reprehensible; "would do something as despicable as murder"; "ugly crimes"; "the vile development of slavery appalled them"; "a slimy little liar"","provoking horror; "an atrocious automobile accident"; "a frightful crime of decapitation"; "an alarming, even horrifying, picture"; "war is beyond all words horrible"- Winston Churchill; "an ugly wound""
uglified,"make ugly"
uglifier
uglifiers
uglifies
uglify,"make ugly"
uglifying
uglily
ugliness,"qualities of appearance that do not give pleasure to the senses","the quality of being wicked"
uglinesses
ugly,"displeasing to the senses; "an ugly face"; "ugly furniture"","inclined to anger or bad feelings with overtones of menace; "a surly waiter"; "an ugly frame of mind"","morally reprehensible; "would do something as despicable as murder"; "ugly crimes"; "the vile development of slavery appalled them"; "a slimy little liar"","provoking horror; "an atrocious automobile accident"; "a frightful crime of decapitation"; "an alarming, even horrifying, picture"; "war is beyond all words horrible"- Winston Churchill; "an ugly wound""
ugsome
