duad,"two items of the same kind"
duads,"two items of the same kind"
dual,"consisting of or involving two parts or components usually in pairs; "an egg with a double yolk"; "a double (binary) star"; "double doors"; "dual controls for pilot and copilot"; "duple (or double) time consists of two (or a multiple of two) beats to a measure"","having more than one decidedly dissimilar aspects or qualities; "a double (or dual) role for an actor"; "the office of a clergyman is twofold; public preaching and private influence"- R.W.Emerson; "every episode has its double and treble meaning"-Frederick Harrison","a grammatical number category referring to two items or units as opposed to one item (singular) or more than two items (plural); "ancient Greek had the dual form but it has merged with the plural form in modern Greek""
dualism,"the doctrine that reality consists of two basic opposing elements, often taken to be mind and matter (or mind and body), or good and evil"
dualisms,"the doctrine that reality consists of two basic opposing elements, often taken to be mind and matter (or mind and body), or good and evil"
dualist,"an adherent of dualism"
dualists,"an adherent of dualism"
dualities
duality,"being twofold; a classification into two opposed parts or subclasses; "the dichotomy between eastern and western culture"","(physics) the property of matter and electromagnetic radiation that is characterized by the fact that some properties can be explained best by wave theory and others by particle theory","(geometry) the interchangeability of the roles of points and planes in the theorems of projective geometry"
dualize
dualized
dualizes
dualizing
dually
duals,"consisting of or involving two parts or components usually in pairs; "an egg with a double yolk"; "a double (binary) star"; "double doors"; "dual controls for pilot and copilot"; "duple (or double) time consists of two (or a multiple of two) beats to a measure"","having more than one decidedly dissimilar aspects or qualities; "a double (or dual) role for an actor"; "the office of a clergyman is twofold; public preaching and private influence"- R.W.Emerson; "every episode has its double and treble meaning"-Frederick Harrison","a grammatical number category referring to two items or units as opposed to one item (singular) or more than two items (plural); "ancient Greek had the dual form but it has merged with the plural form in modern Greek""
dub,"the new sounds added by dubbing","give a nickname to","provide (movies) with a soundtrack of a foreign language","raise (someone) to knighthood; "The Beatles were knighted""
dubbed,"give a nickname to","provide (movies) with a soundtrack of a foreign language","raise (someone) to knighthood; "The Beatles were knighted""
dubber
dubbers
dubbin,"tallow mixed with oil; used to make leather soft and waterproof"
dubbing,"a new soundtrack that is added to a film","give a nickname to","provide (movies) with a soundtrack of a foreign language","raise (someone) to knighthood; "The Beatles were knighted""
dubbings,"a new soundtrack that is added to a film","give a nickname to","provide (movies) with a soundtrack of a foreign language","raise (someone) to knighthood; "The Beatles were knighted""
dubbins,"tallow mixed with oil; used to make leather soft and waterproof"
dubieties
dubiety,"the state of being unsure of something"
