mead,"United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978)","United States philosopher of pragmatism (1863-1931)","made of fermented honey and water"
meadow,"a field where grass or alfalfa are grown to be made into hay"
meadowland
meadowlands
meadowlark,"North American songbirds having a yellow breast"
meadowlarks,"North American songbirds having a yellow breast"
meadows,"a field where grass or alfalfa are grown to be made into hay"
meadowy
meads,"United States anthropologist noted for her claims about adolescence and sexual behavior in Polynesian cultures (1901-1978)","United States philosopher of pragmatism (1863-1931)","made of fermented honey and water"
meager,"deficient in amount or quality or extent; "meager resources"; "meager fare""
meagerly,"deficient in amount or quality or extent; "meager resources"; "meager fare"","to a meager degree or in a meager manner; "these voices are meagerly represented at the conference"; "the area is slenderly endowed with natural resources""
meagerness,"the quality of being meager; "an exiguity of cloth that would only allow of miniature capes"-George Eliot"
meagernesses
meagre,"deficient in amount or quality or extent; "meager resources"; "meager fare""
meagrely,"to a meager degree or in a meager manner; "these voices are meagerly represented at the conference"; "the area is slenderly endowed with natural resources""
meal,"the food served and eaten at one time","any of the occasions for eating food that occur by custom or habit at more or less fixed times","coarsely ground foodstuff; especially seeds of various cereal grasses or pulse"
mealie,"an ear of corn"
mealier,"containing meal or made of meal","composed of or covered with particles resembling meal in texture or consistency; "granular sugar"; "the photographs were grainy and indistinct"; "it left a mealy residue""
mealies,"an ear of corn"
mealiest,"containing meal or made of meal","composed of or covered with particles resembling meal in texture or consistency; "granular sugar"; "the photographs were grainy and indistinct"; "it left a mealy residue""
mealless
meals,"the food served and eaten at one time","any of the occasions for eating food that occur by custom or habit at more or less fixed times","coarsely ground foodstuff; especially seeds of various cereal grasses or pulse"
mealtime,"the hour at which a meal is habitually or customarily eaten"
mealtimes,"the hour at which a meal is habitually or customarily eaten"
mealworm,"the larva of beetles of the family Tenebrionidae"
mealworms,"the larva of beetles of the family Tenebrionidae"
mealy,"containing meal or made of meal","composed of or covered with particles resembling meal in texture or consistency; "granular sugar"; "the photographs were grainy and indistinct"; "it left a mealy residue""
mealybug,"scalelike plant-eating insect coated with a powdery waxy secretion; destructive especially of fruit trees"
mealybugs,"scalelike plant-eating insect coated with a powdery waxy secretion; destructive especially of fruit trees"
mean,"an average of n numbers computed by adding some function of the numbers and dividing by some function of n","mean or intend to express or convey; "You never understand what I mean!"; "what do his words intend?"","have as a logical consequence; "The water shortage means that we have to stop taking long showers"","denote or connote; "`maison' means `house' in French"; "An example sentence would show what this word means"","have in mind as a purpose; "I mean no harm"; "I only meant to help you"; "She didn't think to harm me"; "We thought to return early that night"","have a specified degree of importance; "My ex-husband means nothing to me"; "Happiness means everything"","intend to refer to; "I'm thinking of good food when I talk about France"; "Yes, I meant you when I complained about people who gossip!"","destine or designate for a certain purpose; "These flowers were meant for you"","approximating the statistical norm or average or expected value; "the average income in New England is below that of the nation"; "of average height for his age"; "the mean annual rainfall"","characterized by malice; "a hateful thing to do"; "in a mean mood"","having or showing an ignoble lack of honor or morality; "that liberal obedience without which your army would be a base rabble"- Edmund Burke; "taking a mean advantage"; "chok'd with ambition of the meaner sort"- Shakespeare; "something essentially vulgar and meanspirited in politics"","excellent; "famous for a mean backhand"","marked by poverty befitting a beggar; "a beggarly existence in the slums"; "a mean hut"","(used of persons or behavior) characterized by or indicative of lack of generosity; "a mean person"; "he left a miserly tip"","(used of sums of money) so small in amount as to deserve contempt","of no value or worth; "I was caught in the bastardly traffic""
meander,"a bend or curve, as in a stream or river","an aimless amble on a winding course","to move or cause to move in a sinuous, spiral, or circular course; "the river winds through the hills"; "the path meanders through the vineyards"; "sometimes, the gout wanders through the entire body""
meandered
meandering,"of a path e.g.; "meandering streams"; "rambling forest paths"; "the river followed its wandering course"; "a winding country road""
meanders,"a bend or curve, as in a stream or river","an aimless amble on a winding course","to move or cause to move in a sinuous, spiral, or circular course; "the river winds through the hills"; "the path meanders through the vineyards"; "sometimes, the gout wanders through the entire body""
meaner
meaners
meanest
meanie,"a person of mean disposition"
meanies,"a person of mean disposition"
meaning,"the message that is intended or expressed or signified; "what is the meaning of this sentence"; "the significance of a red traffic light"; "the signification of Chinese characters"; "the import of his announcement was ambiguous"","the idea that is intended; "What is the meaning of this proverb?"","rich in significance or implication; "a meaning look""
meaningful,"having a meaning or purpose; "a meaningful explanation"; "a meaningful discussion"; "a meaningful pause""
meaningfully,"in a meaningful manner; so as to be meaningful; "He glanced at her meaningfully""
meaningless,"having no meaning or direction or purpose; "a meaningless endeavor"; "a meaningless life"; "a verbose but meaningless explanation""
meanings,"the message that is intended or expressed or signified; "what is the meaning of this sentence"; "the significance of a red traffic light"; "the signification of Chinese characters"; "the import of his announcement was ambiguous"","the idea that is intended; "What is the meaning of this proverb?"","rich in significance or implication; "a meaning look""
meanly,"in a nasty ill-tempered manner; "`Don't expect me to help you,' he added nastily"","in a despicable, ignoble manner; "this new leader meanly threatens the deepest values of our society"","poorly or in an inferior manner; "troops meanly equipped"","in a miserly manner; "they lived meanly and without ostentation""
meanness,"the quality of being deliberately mean","extreme stinginess"
meannesses
