tzaddik
tzaddikim
tzar,"a male monarch or emperor (especially of Russia prior to 1917)"
tzardom
tzardoms
tzarevna
tzarevnas
tzarina,"the wife or widow of a czar"
tzarinas,"the wife or widow of a czar"
tzarism
tzarisms
tzarist,"of or relating to or characteristic of a czar"
tzarists,"of or relating to or characteristic of a czar"
tzaritza
tzaritzas
tzars,"a male monarch or emperor (especially of Russia prior to 1917)"
tzetze,"bloodsucking African fly; transmits sleeping sickness etc."
tzetzes,"bloodsucking African fly; transmits sleeping sickness etc."
tzigane
tziganes
tzimmes
tzitzis
tzitzith
tzuris
