opacified
opacifies
opacify,"make opaque; "The glass was opacified more greater privacy"","become opaque; "the tissue in the eye's cornea may opacify and the patient may go blind""
opacifying
opacities
opacity,"the phenomenon of not permitting the passage of electromagnetic radiation","incomprehensibility resulting from obscurity of meaning","the quality of being opaque to a degree; the degree to which something reduces the passage of light"
opah,"large elliptical brightly colored deep-sea fish of Atlantic and Pacific and Mediterranean"
opahs,"large elliptical brightly colored deep-sea fish of Atlantic and Pacific and Mediterranean"
opal,"a translucent mineral consisting of hydrated silica of variable color; some varieties are used as gemstones"
opalesce,"reflect light or colors like an opal; "Distant clouds opalesce like pale brocade"; "raindrops caught in a sunbeam seem to opalesce"","exhibit a play of colors like that of an opal; "This nitrate opalesces under certain conditions""
opalesced
opalesces,"reflect light or colors like an opal; "Distant clouds opalesce like pale brocade"; "raindrops caught in a sunbeam seem to opalesce"","exhibit a play of colors like that of an opal; "This nitrate opalesces under certain conditions""
opalescing
opaline,"having a play of lustrous rainbow colors; "an iridescent oil slick"; "nacreous (or pearlescent) clouds looking like mother-of-pearl"; "a milky opalescent (or opaline) luster""
opalines,"having a play of lustrous rainbow colors; "an iridescent oil slick"; "nacreous (or pearlescent) clouds looking like mother-of-pearl"; "a milky opalescent (or opaline) luster""
opals,"a translucent mineral consisting of hydrated silica of variable color; some varieties are used as gemstones"
opaque,"not transmitting or reflecting light or radiant energy; impenetrable to sight; "opaque windows of the jail"; "opaque to X-rays"","not clearly understood or expressed"
opaqued
opaquely,"in an opaque manner; "he referred opaquely to her recent past""
opaqueness,"incomprehensibility resulting from obscurity of meaning","the quality of being opaque to a degree; the degree to which something reduces the passage of light"
opaquenesses
opaquer
opaques,"not transmitting or reflecting light or radiant energy; impenetrable to sight; "opaque windows of the jail"; "opaque to X-rays"","not clearly understood or expressed"
opaquest
opaquing
ope
oped
open,"a clear or unobstructed space or expanse of land or water; "finally broke out of the forest into the open"","where the air is unconfined; "he wanted to get outdoors a little"; "the concert was held in the open air"; "camping in the open"","a tournament in which both professionals and amateurs may play","information that has become public; "all the reports were out in the open"; "the facts had been brought to the surface"","cause to open or to become open; "Mary opened the car door"","start to operate or function or cause to start operating or functioning; "open a business"","become open; "The door opened"","begin or set in action, of meetings, speeches, recitals, etc.; "He opened the meeting with a long speech"","spread out or open from a closed or folded state; "open the map"; "spread your arms"","make available; "This opens up new possibilities"","become available; "an opportunity opened up"","have an opening or passage or outlet; "The bedrooms open into the hall"","make the opening move; "Kasparov opened with a standard opening"","afford access to; "the door opens to the patio"; "The French doors give onto a terrace"","display the contents of a file or start an application as on a computer","affording unobstructed entrance and exit; not shut or closed; "an open door"; "they left the door open"","affording free passage or access; "open drains"; "the road is open to traffic"; "open ranks"","with no protection or shield; "the exposed northeast frontier"; "open to the weather"; "an open wound"","open to or in view of all; "an open protest"; "an open letter to the editor"","used of mouth or eyes; "keep your eyes open"; "his mouth slightly opened"","not having been filled; "the job is still open"","accessible to all; "open season"; "an open economy"","not defended or capable of being defended; "an open city"; "open to attack"","(of textures) full of small openings or gaps; "an open texture"; "a loose weave"","having no protecting cover or enclosure; "an open boat"; "an open fire"; "open sports cars"","(set theory) of an interval that contains neither of its endpoints","not brought to a conclusion; subject to further thought; "an open question"; "our position on this bill is still undecided"; "our lawsuit is still undetermined"","not sealed or having been unsealed; "the letter was already open"; "the opened package lay on the table"","without undue constriction as from e.g. tenseness or inhibition; "the clarity and resonance of an open tone"; "her natural and open response"","ready or willing to receive favorably; "receptive to the proposals"","open and observable; not secret or hidden; "an overt lie"; "overt hostility"; "overt intelligence gathering"; "open ballots"","not requiring union membership; "an open shop employs nonunion workers"","possibly accepting or permitting; "a passage capable of misinterpretation"; "open to interpretation"; "an issue open to question"; "the time is fixed by the director and players and therefore subject to much variation"","affording free passage or view; "a clear view"; "a clear path to victory"; "open waters"; "the open countryside"","openly straightforward and direct without reserve or secretiveness; "his candid eyes"; "an open and trusting nature"; "a heart-to-heart talk"","ready for business; "the stores are open""
openable
opened,"used of mouth or eyes; "keep your eyes open"; "his mouth slightly opened"","made open or clear; "the newly opened road"","not sealed or having been unsealed; "the letter was already open"; "the opened package lay on the table""
opener,"the first event in a series; "she played Chopin for her opener"; "the season's opener was a game against the Yankees"","a person who unfastens or unwraps or opens; "children are talented undoers of their shoelaces"","a hand tool used for opening sealed containers (bottles or cans)"
