hiatal
hiatus,"an interruption in the intensity or amount of something","a missing piece (as a gap in a manuscript)","a natural opening or perforation through a bone or a membranous structure"
hiatuses
hibachi,"a portable brazier that burns charcoal and has a grill for cooking","cook over a hibachi grill"
hibachis,"a portable brazier that burns charcoal and has a grill for cooking","cook over a hibachi grill"
hibernal,"characteristic of or relating to winter; "bears in brumal sleep""
hibernate,"sleep during winter; "Bears must eat a lot of food before they hibernate in their caves"","be in an inactive or dormant state"
hibernated
hibernates,"sleep during winter; "Bears must eat a lot of food before they hibernate in their caves"","be in an inactive or dormant state"
hibernating,"in a condition of biological rest or suspended animation; "dormant buds"; "a hibernating bear"; "torpid frogs""
hibernation,"the torpid or resting state in which some animals pass the winter","cessation from or slowing of activity during the winter; especially slowing of metabolism in some animals","the act of retiring into inactivity; "he emerged from his hibernation to make his first appearance in several years""
hibernations,"the torpid or resting state in which some animals pass the winter","cessation from or slowing of activity during the winter; especially slowing of metabolism in some animals","the act of retiring into inactivity; "he emerged from his hibernation to make his first appearance in several years""
hibernator
hibernators
hibiscus,"any plant of the genus Hibiscus"
hibiscuses
hic
hiccough,"(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion; "how do you cure the hiccups?"","breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water""
hiccoughed
hiccoughing
hiccoughs,"(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion; "how do you cure the hiccups?"","breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water""
hiccup,"(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion; "how do you cure the hiccups?"","breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water""
hiccuped
hiccuping
hiccupped,"breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water""
hiccupping,"breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water""
hiccups,"(usually plural) the state of having reflex spasms of the diaphragm accompanied by a rapid closure of the glottis producing an audible sound; sometimes a symptom of indigestion; "how do you cure the hiccups?"","breathe spasmodically, and make a sound; "When you have to hiccup, drink a glass of cold water""
hick,"a person who is not very intelligent or interested in culture","awkwardly simple and provincial; "bumpkinly country boys"; "rustic farmers"; "a hick town"; "the nightlife of Montmartre awed the unsophisticated tourists""
hickey,"a small inflamed elevation of the skin; a pustule or papule; common symptom in acne","a temporary red mark on a person's skin resulting from kissing or sucking by their lover"
hickeys,"a small inflamed elevation of the skin; a pustule or papule; common symptom in acne","a temporary red mark on a person's skin resulting from kissing or sucking by their lover"
hickories
hickory,"valuable tough heavy hardwood from various hickory trees","American hardwood tree bearing edible nuts"
hicks,"a person who is not very intelligent or interested in culture","awkwardly simple and provincial; "bumpkinly country boys"; "rustic farmers"; "a hick town"; "the nightlife of Montmartre awed the unsophisticated tourists""
hid,"prevent from being seen or discovered; "Muslim women hide their faces"; "hide the money"","be or go into hiding; keep out of sight, as for protection and safety; "Probably his horse would be close to where he was hiding"; "She is hiding out in a cabin in Montana"","cover as if with a shroud; "The origins of this civilization are shrouded in mystery"","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat""
hidable
hidalgo
hidalgos
hidden,"prevent from being seen or discovered; "Muslim women hide their faces"; "hide the money"","be or go into hiding; keep out of sight, as for protection and safety; "Probably his horse would be close to where he was hiding"; "She is hiding out in a cabin in Montana"","cover as if with a shroud; "The origins of this civilization are shrouded in mystery"","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat"","not accessible to view; "concealed (or hidden) damage"; "in stormy weather the stars are out of sight"","designed to elude detection; "a hidden room or place of concealment such as a priest hole"; "a secret passage"; "the secret compartment in the desk"","difficult to find; "hidden valleys"; "a hidden cave"; "an obscure retreat""
hiddenly
hide,"the dressed skin of an animal (especially a large animal)","body covering of a living animal","prevent from being seen or discovered; "Muslim women hide their faces"; "hide the money"","be or go into hiding; keep out of sight, as for protection and safety; "Probably his horse would be close to where he was hiding"; "She is hiding out in a cabin in Montana"","cover as if with a shroud; "The origins of this civilization are shrouded in mystery"","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat""
hideaway,"a hiding place; usually a remote place used by outlaws","an area where you can be alone"
hideaways,"a hiding place; usually a remote place used by outlaws","an area where you can be alone"
hided
hideless
hideous,"grossly offensive to decency or morality; causing horror; "subjected to outrageous cruelty"; "a hideous pattern of injustice"; "horrific conditions in the mining industry"","so extremely ugly as to be terrifying; "a hideous scar"; "a repulsive mask""
hideously,"in a hideous manner; "her face was hideously disfigured after the accident""
hideousness,"dreadful ugliness; horrible repulsiveness"
hideousnesses
hideout,"a hiding place; usually a remote place used by outlaws"
hideouts,"a hiding place; usually a remote place used by outlaws"
hider
hiders
hides,"the dressed skin of an animal (especially a large animal)","body covering of a living animal","prevent from being seen or discovered; "Muslim women hide their faces"; "hide the money"","be or go into hiding; keep out of sight, as for protection and safety; "Probably his horse would be close to where he was hiding"; "She is hiding out in a cabin in Montana"","cover as if with a shroud; "The origins of this civilization are shrouded in mystery"","make undecipherable or imperceptible by obscuring or concealing; "a hidden message"; "a veiled threat""
hiding,"the activity of keeping something secret","the state of being hidden; "he went into hiding""
hidings,"the activity of keeping something secret","the state of being hidden; "he went into hiding""
hidroses
hidrosis,"the process of the sweat glands of the skin secreting a salty fluid; "perspiration is a homeostatic process""
hidrotic,"of or relating to sweat"
hie,"move fast; "He rushed down the hall to receive his guests"; "The cars raced down the street""
hied
hieing
hiemal,"characteristic of or relating to winter; "bears in brumal sleep""
hierarch,"a person who holds a high position in a hierarchy","a senior clergyman and dignitary"
hierarchical,"classified according to various criteria into successive levels or layers; "it has been said that only a hierarchical society with a leisure class at the top can produce works of art"; "in her hierarchical set of values honesty comes first""
hierarchies
hierarchs,"a person who holds a high position in a hierarchy","a senior clergyman and dignitary"
hierarchy,"a series of ordered groupings of people or things within a system; "put honesty first in her hierarchy of values"","the organization of people at different ranks in an administrative body"
hieratic,"a cursive form of Egyptian hieroglyphics; used especially by the priests","associated with the priesthood or priests; "priestly (or sacerdotal) vestments"; "hieratic gestures"","written or belonging to a cursive form of ancient Egyptian writing; "hieratic Egyptian script"","adhering to fixed types or methods; highly restrained and formal; "the more hieratic sculptures leave the viewer curiously unmoved""
hieroglyphic,"writing that resembles hieroglyphics (usually by being illegible)","a writing system using picture symbols; used in ancient Egypt","resembling hieroglyphic writing","written in or belonging to a writing system using pictorial symbols"
hieroglyphics,"writing that resembles hieroglyphics (usually by being illegible)","a writing system using picture symbols; used in ancient Egypt","resembling hieroglyphic writing","written in or belonging to a writing system using pictorial symbols"
hies,"move fast; "He rushed down the hall to receive his guests"; "The cars raced down the street""
higgle,"wrangle (over a price, terms of an agreement, etc.); "Let's not haggle over a few dollars""
higgled
higgler
higglers
higgles,"wrangle (over a price, terms of an agreement, etc.); "Let's not haggle over a few dollars""
higgling
high,"a lofty level or position or degree; "summer temperatures reached an all-time high"","an air mass of higher than normal pressure; "the east coast benefits from a Bermuda high"","a state of sustained elation; "I'm on a permanent high these days"","a state of altered consciousness induced by alcohol or narcotics; "they took drugs to get a high on"","a high place; "they stood on high and observed the countryside"; "he doesn't like heights"","a public secondary school usually including grades 9 through 12; "he goes to the neighborhood highschool"","a forward gear with a gear ratio that gives the greatest vehicle velocity for a given engine speed","greater than normal in degree or intensity or amount; "a high temperature"; "a high price"; "the high point of his career"; "high risks"; "has high hopes"; "the river is high"; "he has a high opinion of himself"","(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high'); "a high mountain"; "high ceilings"; "high buildings"; "a high forehead"; "a high incline"; "a foot high"","standing above others in quality or position; "people in high places"; "the high priest"; "eminent members of the community"","used of sounds and voices; high in pitch or frequency","happy and excited and energetic","(used of the smell of meat) smelling spoiled or tainted","slightly and pleasantly intoxicated from alcohol or a drug (especially marijuana)","at a great altitude; "he climbed high on the ladder"","in or to a high position, amount, or degree; "prices have gone up far too high"","in a rich manner; "he lives high"","far up toward the source; "he lives high up the river""
highball,"a mixed drink made of alcoholic liquor mixed with water or a carbonated beverage and served in a tall glass"
highballed
highballing
highballs,"a mixed drink made of alcoholic liquor mixed with water or a carbonated beverage and served in a tall glass"
highborn,"belonging to the peerage; "the princess and her coroneted companions"; "the titled classes""
highboy,"a tall chest of drawers divided into two sections and supported on four legs"
highboys,"a tall chest of drawers divided into two sections and supported on four legs"
highbred
highbrow,"a person of intellectual or erudite tastes","highly cultured or educated; "highbrow events such as the ballet or opera"; "a highbrowed literary critic""
highbrows,"a person of intellectual or erudite tastes","highly cultured or educated; "highbrow events such as the ballet or opera"; "a highbrowed literary critic""
highbush
highchair,"a chair for feeding a very young child; has four long legs and a footrest and a detachable tray"
highchairs,"a chair for feeding a very young child; has four long legs and a footrest and a detachable tray"
higher,"advanced in complexity or elaboration; "higher finance"; "higher mathematics"","of education beyond the secondary level; "higher education"; "higher learning""
highest
highjack,"seizure of a vehicle in transit either to rob it or divert it to an alternate destination","take arbitrarily or by force; "The Cubans commandeered the plane and flew it to Miami""
highjacked
highjacking,"robbery of a traveller or vehicle in transit or seizing control of a vehicle by the use of force"
