woad,"a blue dyestuff obtained from the woad plant","any of several herbs of the genus Isatis"
woaded
woads,"a blue dyestuff obtained from the woad plant","any of several herbs of the genus Isatis"
woadwax
woadwaxes
woald
woalds
wobble,"an unsteady rocking motion","move unsteadily; "His knees wobbled"; "The old cart wobbled down the street"","move sideways or in an unsteady way; "The ship careened out of control"","tremble or shake; "His voice wobbled with restrained emotion""
wobbled
wobbler,"something that wobbles"
wobblers,"something that wobbles"
wobbles,"an unsteady rocking motion","move unsteadily; "His knees wobbled"; "The old cart wobbled down the street"","move sideways or in an unsteady way; "The ship careened out of control"","tremble or shake; "His voice wobbled with restrained emotion""
wobblier
wobblies
wobbliest
wobbling,"(of sound) fluctuating unsteadily; "a low-pitched wobbling sound""
wobbly,"a member of the Industrial Workers of the World","inclined to shake as from weakness or defect; "a rickety table"; "a wobbly chair with shaky legs"; "the ladder felt a little wobbly"; "the bridge still stands though one of the arches is wonky""
wobegone
woe,"misery resulting from affliction","intense mournfulness"
woebegone,"worn and broken down by hard use; "a creaky shack"; "a decrepit bus...its seats held together with friction tape"; "a flea-bitten sofa"; "a run-down neighborhood"; "a woebegone old shack"","affected by or full of grief or woe; "his sorrow...made him look...haggard and...woebegone"- George du Maurier"
woeful,"affected by or full of grief or woe; "his sorrow...made him look...haggard and...woebegone"- George du Maurier","of very poor quality or condition; "deplorable housing conditions in the inner city"; "woeful treatment of the accused"; "woeful errors of judgment""
woefuller
woefullest
woefully,"in an unfortunate or deplorable manner; "he was sadly neglected"; "it was woefully inadequate""
woeness
woenesses
woes,"misery resulting from affliction","intense mournfulness"
woesome
woful
wofully
wok,"pan with a convex bottom; used for frying in Chinese cooking"
woke,"be awake, be alert, be there","stop sleeping; "She woke up to the sound of the alarm clock"","arouse or excite feelings and passions; "The ostentatious way of living of the rich ignites the hatred of the poor"; "The refugees' fate stirred up compassion around the world"; "Wake old feelings of hatred"","make aware of; "His words woke us to terrible facts of the situation"","cause to become awake or conscious; "He was roused by the drunken men in the street"; "Please wake me at 6 AM.""
woken,"be awake, be alert, be there","stop sleeping; "She woke up to the sound of the alarm clock"","arouse or excite feelings and passions; "The ostentatious way of living of the rich ignites the hatred of the poor"; "The refugees' fate stirred up compassion around the world"; "Wake old feelings of hatred"","make aware of; "His words woke us to terrible facts of the situation"","cause to become awake or conscious; "He was roused by the drunken men in the street"; "Please wake me at 6 AM.""
woks,"pan with a convex bottom; used for frying in Chinese cooking"
wold,"a tract of open rolling country (especially upland)"
wolds,"a tract of open rolling country (especially upland)"
wolf,"any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs","Austrian composer (1860-1903)","German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824)","a man who is aggressive in making amorous advances to women","a cruelly rapacious person","eat hastily; "The teenager wolfed down the pizza""
wolfed
wolfer
wolfers
wolffish,"large ferocious northern deep-sea food fishes with strong teeth and no pelvic fins","large elongate scaleless oceanic fishes with sharp teeth and a long dorsal fin that resembles a sail"
wolffishes,"large ferocious northern deep-sea food fishes with strong teeth and no pelvic fins","large elongate scaleless oceanic fishes with sharp teeth and a long dorsal fin that resembles a sail"
wolfing
wolfish,"resembling or characteristic (or considered characteristic) of a wolf; "ran in wolflike packs"; "wolfish rapacity"","devouring or craving food in great quantities; "edacious vultures"; "a rapacious appetite"; "ravenous as wolves"; "voracious sharks""
wolflike,"resembling or characteristic (or considered characteristic) of a wolf; "ran in wolflike packs"; "wolfish rapacity""
wolfram,"a heavy grey-white metallic element; the pure form is used mainly in electrical applications; it is found in several ores including wolframite and scheelite"
wolframs,"a heavy grey-white metallic element; the pure form is used mainly in electrical applications; it is found in several ores including wolframite and scheelite"
wolfs,"any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs","Austrian composer (1860-1903)","German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824)","a man who is aggressive in making amorous advances to women","a cruelly rapacious person","eat hastily; "The teenager wolfed down the pizza""
wolver
wolverine,"a native or resident of Michigan","musteline mammal of northern Eurasia","stocky shaggy-coated North American carnivorous mammal"
wolverines,"a native or resident of Michigan","musteline mammal of northern Eurasia","stocky shaggy-coated North American carnivorous mammal"
wolvers
wolves,"any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs","Austrian composer (1860-1903)","German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824)","a man who is aggressive in making amorous advances to women","a cruelly rapacious person"
woman,"an adult female person (as opposed to a man); "the woman kept house while the man hunted"","a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man; "he was faithful to his woman"","a human female employed to do housework; "the char will clean the carpet"; "I have a woman who comes in four hours a day while I write"","women as a class; "it's an insult to American womanhood"; "woman is the glory of creation"; "the fair sex gathered on the veranda""
womaned
womanhood,"the state of being an adult woman","women as a class; "it's an insult to American womanhood"; "woman is the glory of creation"; "the fair sex gathered on the veranda"","the status of a woman"
womanhoods,"the state of being an adult woman","women as a class; "it's an insult to American womanhood"; "woman is the glory of creation"; "the fair sex gathered on the veranda"","the status of a woman"
womaning
womanise,"have amorous affairs; of men; "He has been womanizing for years""
womanised
womanises,"have amorous affairs; of men; "He has been womanizing for years""
womanish,"having characteristics associated with women and considered undesirable in men; "womanish tears""
womanising
womanize,"have amorous affairs; of men; "He has been womanizing for years"","to give a (more) feminine, effeminate, or womanly quality or appearance to; "This hairdo feminizes the man""
womanized
womanizes,"have amorous affairs; of men; "He has been womanizing for years"","to give a (more) feminine, effeminate, or womanly quality or appearance to; "This hairdo feminizes the man""
womanizing
womankind,"women as distinguished from men"
womankinds,"women as distinguished from men"
womanlier
womanliest
womanliness,"the trait of being womanly; having the characteristics of an adult female"
womanlinesses
womanly,"befitting or characteristic of a woman especially a mature woman; "womanly virtues of gentleness and compassion""
womans,"an adult female person (as opposed to a man); "the woman kept house while the man hunted"","a female person who plays a significant role (wife or mistress or girlfriend) in the life of a particular man; "he was faithful to his woman"","a human female employed to do housework; "the char will clean the carpet"; "I have a woman who comes in four hours a day while I write"","women as a class; "it's an insult to American womanhood"; "woman is the glory of creation"; "the fair sex gathered on the veranda""
womb,"a hollow muscular organ in the pelvic cavity of females; contains the developing fetus"
wombat,"burrowing herbivorous Australian marsupials about the size of a badger"
wombats,"burrowing herbivorous Australian marsupials about the size of a badger"
wombed
wombier
wombiest
wombs,"a hollow muscular organ in the pelvic cavity of females; contains the developing fetus"
womby
women
womera
womeras
wommera
wommeras
womps
won,"the basic unit of money in South Korea","the basic unit of money in North Korea","be the winner in a contest or competition; be victorious; "He won the Gold Medal in skating"; "Our home team won"; "Win the game"","win something through one's efforts; "I acquired a passing knowledge of Chinese"; "Gain an understanding of international finance"","obtain advantages, such as points, etc.; "The home team was gaining ground"; "After defeating the Knicks, the Blazers pulled ahead of the Lakers in the battle for the number-one playoff berth in the Western Conference"","attain success or reach a desired goal; "The enterprise succeeded"; "We succeeded in getting tickets to the show"; "she struggled to overcome her handicap and won"","not subject to defeat; "with that move it's a won game""
wonder,"the feeling aroused by something strange and surprising","something that causes feelings of wonder; "the wonders of modern science"","a state in which you want to learn more about something","have a wish or desire to know something; "He wondered who had built this beautiful church"","place in doubt or express doubtful speculation; "I wonder whether this was the right thing to do"; "she wondered whether it would snow tonight"","be amazed at; "We marvelled at the child's linguistic abilities""
wondered
wonderer,"someone who is curious about something","someone filled with admiration and awe; someone who wonders at something"
wonderers,"someone who is curious about something","someone filled with admiration and awe; someone who wonders at something"
wonderful,"extraordinarily good or great ; used especially as intensifiers; "a fantastic trip to the Orient"; "the film was fantastic!"; "a howling success"; "a marvelous collection of rare books"; "had a rattling conversation about politics"; "a tremendous achievement""
wonderfully,"(used as an intensifier) extremely well; "her voice is superbly disciplined"; "the colors changed wondrously slowly""
wonderfulness,"admirable excellence"
wonderfulnesses
wondering,"showing curiosity; "if someone saw a man climbing a light post they might get inquisitive"; "raised a speculative eyebrow""
wonderland,"a place or scene of great or strange beauty or wonder","an imaginary realm of marvels or wonders"
wonderlands,"a place or scene of great or strange beauty or wonder","an imaginary realm of marvels or wonders"
wonderment,"the feeling aroused by something strange and surprising"
wonderments,"the feeling aroused by something strange and surprising"
wonders,"the feeling aroused by something strange and surprising","something that causes feelings of wonder; "the wonders of modern science"","a state in which you want to learn more about something","have a wish or desire to know something; "He wondered who had built this beautiful church"","place in doubt or express doubtful speculation; "I wonder whether this was the right thing to do"; "she wondered whether it would snow tonight"","be amazed at; "We marvelled at the child's linguistic abilities""
wonderwoman
wondrous,"extraordinarily good or great ; used especially as intensifiers; "a fantastic trip to the Orient"; "the film was fantastic!"; "a howling success"; "a marvelous collection of rare books"; "had a rattling conversation about politics"; "a tremendous achievement"","(used as an intensifier) extremely well; "her voice is superbly disciplined"; "the colors changed wondrously slowly""
wondrously,"(used as an intensifier) extremely well; "her voice is superbly disciplined"; "the colors changed wondrously slowly""
wondrousness
wondrousnesses
wonkier,"turned or twisted toward one side; "a...youth with a gorgeous red necktie all awry"- G.K.Chesterton; "his wig was, as the British say, skew-whiff"","inclined to shake as from weakness or defect; "a rickety table"; "a wobbly chair with shaky legs"; "the ladder felt a little wobbly"; "the bridge still stands though one of the arches is wonky""
wonkiest,"turned or twisted toward one side; "a...youth with a gorgeous red necktie all awry"- G.K.Chesterton; "his wig was, as the British say, skew-whiff"","inclined to shake as from weakness or defect; "a rickety table"; "a wobbly chair with shaky legs"; "the ladder felt a little wobbly"; "the bridge still stands though one of the arches is wonky""
wonky,"turned or twisted toward one side; "a...youth with a gorgeous red necktie all awry"- G.K.Chesterton; "his wig was, as the British say, skew-whiff"","inclined to shake as from weakness or defect; "a rickety table"; "a wobbly chair with shaky legs"; "the ladder felt a little wobbly"; "the bridge still stands though one of the arches is wonky""
wonned
wonner
wonners
wonning
wons,"the basic unit of money in South Korea","the basic unit of money in North Korea","be the winner in a contest or competition; be victorious; "He won the Gold Medal in skating"; "Our home team won"; "Win the game"","win something through one's efforts; "I acquired a passing knowledge of Chinese"; "Gain an understanding of international finance"","obtain advantages, such as points, etc.; "The home team was gaining ground"; "After defeating the Knicks, the Blazers pulled ahead of the Lakers in the battle for the number-one playoff berth in the Western Conference"","attain success or reach a desired goal; "The enterprise succeeded"; "We succeeded in getting tickets to the show"; "she struggled to overcome her handicap and won"","not subject to defeat; "with that move it's a won game""
wont,"an established custom; "it was their habit to dine at 7 every evening""
wonted,"commonly used or practiced; usual; "his accustomed thoroughness"; "took his customary morning walk"; "his habitual comment"; "with her wonted candor""
wontedly
wonting
wonton,"a Chinese dumpling filled with spiced minced pork; usually served in soup","a soup with won ton dumplings"
wontons,"a Chinese dumpling filled with spiced minced pork; usually served in soup","a soup with won ton dumplings"
wonts,"an established custom; "it was their habit to dine at 7 every evening""
woo,"seek someone's favor; "China is wooing Russia"","make amorous advances towards; "John is courting Mary""
wood,"the hard fibrous lignified substance under the bark of trees","the trees and other plants in a large densely wooded area","United States film actress (1938-1981)","English conductor (1869-1944)","English writer of novels about murders and thefts and forgeries (1814-1887)","United States painter noted for works based on life in the Midwest (1892-1942)","any wind instrument other than the brass instruments","a golf club with a long shaft used to hit long shots; originally made with a wooden head; "metal woods are now standard""
woodbin
woodbind
woodbinds
woodbine,"common North American vine with compound leaves and bluish-black berrylike fruit","European twining honeysuckle with fragrant red and yellow-white flowers"
woodbines,"common North American vine with compound leaves and bluish-black berrylike fruit","European twining honeysuckle with fragrant red and yellow-white flowers"
woodbins
woodbox
woodboxes
woodchat
woodchats
woodchopper
woodchoppers
woodchuck,"reddish brown North American marmot"
woodchucks,"reddish brown North American marmot"
woodcock,"game bird of the sandpiper family that resembles a snipe"
woodcocks,"game bird of the sandpiper family that resembles a snipe"
woodcraft,"skill and experience in matters relating to the woods (as hunting or fishing or camping)","skill in carving or fashioning objects from wood"
woodcrafts,"skill and experience in matters relating to the woods (as hunting or fishing or camping)","skill in carving or fashioning objects from wood"
woodcut,"a print made from a woodcut","engraving consisting of a block of wood with a design cut into it; used to make prints"
woodcuts,"a print made from a woodcut","engraving consisting of a block of wood with a design cut into it; used to make prints"
wooded,"covered with growing trees and bushes etc; "wooded land"; "a heavily wooded tract""
wooden,"made or consisting of (entirely or in part) or employing wood; "a wooden box"; "an ancient cart with wooden wheels"","lacking ease or grace; "the actor's performance was wooden"; "a wooden smile""
woodener
woodenest
woodenly,"without grace; rigidly; "they moved woodenly""
woodenness,"the quality of being wooden and awkward; "he criticized the woodenness of the acting"; "there was a certain woodenness in his replies""
woodennesses
woodhen
woodhens
woodier,"made of or containing or resembling wood; "woody plants"; "perennial herbs with woody stems"; "a woody taste"","abounding in trees; "an arboreous landscape"; "violets in woodsy shady spots"; "a woody area near the highway"","made hard like wood as the result of the deposition of lignin in the cell walls"
woodiest,"made of or containing or resembling wood; "woody plants"; "perennial herbs with woody stems"; "a woody taste"","abounding in trees; "an arboreous landscape"; "violets in woodsy shady spots"; "a woody area near the highway"","made hard like wood as the result of the deposition of lignin in the cell walls"
woodiness,"the quality of abounding in trees","texture produced by the fibers in wood"
woodinesses
wooding
woodland,"land that is covered with trees and shrubs"
woodlands,"land that is covered with trees and shrubs"
woodlark
woodlarks
woodless
woodlore
woodlores
woodlot
woodlots
woodman,"someone who lives in the woods","makes things out of wood"
woodmen
woodnote
woodnotes
woodpecker,"bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects"
woodpeckers,"bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects"
woodpile,"a pile or stack of wood to be used for fuel"
woodpiles,"a pile or stack of wood to be used for fuel"
woodruff,"Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula","any plant of the genus Asperula"
woodruffs,"Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula","any plant of the genus Asperula"
woods,"the trees and other plants in a large densely wooded area"
woodshed,"a shed for storing firewood or garden tools"
woodshedded
woodshedding
woodsheds,"a shed for storing firewood or garden tools"
woodsia,"any fern of the genus Woodsia"
woodsias,"any fern of the genus Woodsia"
woodsier,"characteristic or suggestive of woods; "a fresh woodsy fragrance"","abounding in trees; "an arboreous landscape"; "violets in woodsy shady spots"; "a woody area near the highway""
woodsiest,"characteristic or suggestive of woods; "a fresh woodsy fragrance"","abounding in trees; "an arboreous landscape"; "violets in woodsy shady spots"; "a woody area near the highway""
woodsman,"someone who lives in the woods","makes things out of wood"
woodsmen
woodsy,"characteristic or suggestive of woods; "a fresh woodsy fragrance"","abounding in trees; "an arboreous landscape"; "violets in woodsy shady spots"; "a woody area near the highway""
woodwax
woodwaxes
woodwind,"any wind instrument other than the brass instruments"
woodwinds,"any wind instrument other than the brass instruments"
woodwork,"work made of wood; especially moldings or stairways or furniture","the craft of a carpenter: making things out of wood"
woodworks,"work made of wood; especially moldings or stairways or furniture","the craft of a carpenter: making things out of wood"
woodworm,"a larva of a woodborer"
woodworms,"a larva of a woodborer"
woody,"made of or containing or resembling wood; "woody plants"; "perennial herbs with woody stems"; "a woody taste"","abounding in trees; "an arboreous landscape"; "violets in woodsy shady spots"; "a woody area near the highway"","made hard like wood as the result of the deposition of lignin in the cell walls"
wooed
wooer,"a man who courts a woman; "a suer for the hand of the princess""
wooers,"a man who courts a woman; "a suer for the hand of the princess""
woof,"the yarn woven across the warp yarn in weaving"
woofed
woofer,"a loudspeaker that reproduces lower audio frequency sounds"
woofers,"a loudspeaker that reproduces lower audio frequency sounds"
woofing
woofs,"the yarn woven across the warp yarn in weaving"
wooing,"a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage); "its was a brief and intense courtship""
wooingly
wool,"a fabric made from the hair of sheep","fiber sheared from animals (such as sheep) and twisted into yarn for weaving","outer coat of especially sheep and yaks"
wooled
woolen,"a fabric made from the hair of sheep","of or related to or made of wool; "a woolen sweater""
woolens,"a fabric made from the hair of sheep","of or related to or made of wool; "a woolen sweater""
wooler
woolers
woolfell
woolfells
woolgathering,"an idle indulgence in fantasy","dreamy in mood or nature; "a woolgathering moment""
woolgatherings,"an idle indulgence in fantasy","dreamy in mood or nature; "a woolgathering moment""
woolie
woolier
woolies
wooliest
woollen,"a fabric made from the hair of sheep","of or related to or made of wool; "a woolen sweater""
woollens,"a fabric made from the hair of sheep","of or related to or made of wool; "a woolen sweater""
woollier,"having a fluffy character or appearance","confused and vague; used especially of thinking; "muddleheaded ideas"; "your addled little brain"; "woolly thinking"; "woolly-headed ideas"","covered with dense often matted or curly hairs; "woolly lambs"","covered with dense cottony hairs or hairlike filaments; "the woolly aphid has a lanate coat resembling cotton""
woollies
