ewe,"a member of a people living in southern Benin and Togo and southeastern Ghana","a Kwa language spoken by the Ewe in Ghana and Togo and Benin","female sheep"
ewer,"an open vessel with a handle and a spout for pouring"
ewers,"an open vessel with a handle and a spout for pouring"
ewes,"a member of a people living in southern Benin and Togo and southeastern Ghana","a Kwa language spoken by the Ewe in Ghana and Togo and Benin","female sheep"
