fracas,"noisy quarrel"
fracases
fracted
fraction,"a component of a mixture that has been separated by a fractional process","a small part or item forming a piece of a whole","the quotient of two rational numbers","perform a division; "Can you divide 49 by seven?""
fractional,"constituting or comprising a part or fraction of a possible whole or entirety; "a fractional share of the vote"; "a partial dose""
fractionally
fractionated
fractioned
fractioning
fractions,"a component of a mixture that has been separated by a fractional process","a small part or item forming a piece of a whole","the quotient of two rational numbers","perform a division; "Can you divide 49 by seven?""
fractur
fracture,"breaking of hard tissue such as bone; "it was a nasty fracture"; "the break seems to have been caused by a fall"","(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; "they built it right over a geological fault"; "he studied the faulting of the earth's crust"","the act of cracking something","violate or abuse; "This writer really fractures the language"","interrupt, break, or destroy; "fracture the balance of power"","break into pieces; "The pothole fractured a bolt on the axle"","become fractured; "The tibia fractured from the blow of the iron pipe"","break (a bone); "She broke her clavicle"","fracture a bone of; "I broke my foot while playing hockey""
fractured
fractures,"breaking of hard tissue such as bone; "it was a nasty fracture"; "the break seems to have been caused by a fall"","(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other; "they built it right over a geological fault"; "he studied the faulting of the earth's crust"","the act of cracking something","violate or abuse; "This writer really fractures the language"","interrupt, break, or destroy; "fracture the balance of power"","break into pieces; "The pothole fractured a bolt on the axle"","become fractured; "The tibia fractured from the blow of the iron pipe"","break (a bone); "She broke her clavicle"","fracture a bone of; "I broke my foot while playing hockey""
fracturing
fracturs
frae
fraena
fraenum
fraenums
frag
fragged
fragging
fraggings
fragile,"easily broken or damaged or destroyed; "a kite too delicate to fly safely"; "fragile porcelain plates"; "fragile old bones"; "a frail craft"","vulnerably delicate; "she has the fragile beauty of youth"","lacking substance or significance; "slight evidence"; "a tenuous argument"; "a thin plot"; a fragile claim to fame""
fragilities
fragility,"quality of being easily damaged or destroyed","lack of physical strength"
fragment,"a piece broken off or cut off of something else; "a fragment of rock"","a broken piece of a brittle artifact","an incomplete piece; "fragments of a play"","break or cause to break into pieces; "The plate fragmented""
fragmentary,"consisting of small disconnected parts; "fragmentary remains""
fragmentation,"separating something into fine particles","the disintegration of social norms governing behavior and thought and social relationships","(computer science) the condition of a file that is broken up and stored in many different locations on a magnetic disk; "fragmentation slows system performance because it takes extra time to locate and assemble the parts of the fragmented file"","the scattering of bomb fragments after the bomb explodes"
fragmentations,"separating something into fine particles","the disintegration of social norms governing behavior and thought and social relationships","(computer science) the condition of a file that is broken up and stored in many different locations on a magnetic disk; "fragmentation slows system performance because it takes extra time to locate and assemble the parts of the fragmented file"","the scattering of bomb fragments after the bomb explodes"
fragmented,"having been divided; having the unity destroyed; "Congress...gave the impression of...a confusing sum of disconnected local forces"-Samuel Lubell; "a league of disunited nations"- E.B.White; "a fragmented coalition"; "a split group""
fragmenting
