pterin
pterins
pteropod
pteropods
pteryla
pterylae
ptisan
ptisans
ptomain,"any of various amines (such as putrescine or cadaverine) formed by the action of putrefactive bacteria"
ptomaine,"any of various amines (such as putrescine or cadaverine) formed by the action of putrefactive bacteria","a term for food poisoning that is no longer in scientific use; food poisoning was once thought to be caused by ingesting ptomaines"
ptomaines,"any of various amines (such as putrescine or cadaverine) formed by the action of putrefactive bacteria","a term for food poisoning that is no longer in scientific use; food poisoning was once thought to be caused by ingesting ptomaines"
ptomains,"any of various amines (such as putrescine or cadaverine) formed by the action of putrefactive bacteria"
ptoses,"drooping of the upper eyelid caused by muscle paralysis and weakness"
ptosis,"drooping of the upper eyelid caused by muscle paralysis and weakness"
ptotic
ptyalin,"an amylase secreted in saliva"
ptyalins,"an amylase secreted in saliva"
ptyalism,"excessive flow of saliva"
ptyalisms,"excessive flow of saliva"
