wha
whack,"the sound made by a sharp swift blow","the act of hitting vigorously; "he gave the table a whack"","hit hard; "The teacher whacked the boy""
whacked,"(British informal) exhausted or worn out"
whacker,"something especially big or impressive of its kind"
whackers,"something especially big or impressive of its kind"
whackier,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
whackiest,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
whacking,"the act of inflicting corporal punishment with repeated blows","(British informal) enormous; "a whacking phone bill"; "a whacking lie"","extremely; "a whacking good story""
whacks,"the sound made by a sharp swift blow","the act of hitting vigorously; "he gave the table a whack"","hit hard; "The teacher whacked the boy""
whacky,"ludicrous, foolish; "gave me a cockamamie reason for not going"; "wore a goofy hat"; "a silly idea"; "some wacky plan for selling more books"","informal or slang terms for mentally irregular; "it used to drive my husband balmy""
whale,"a very large person; impressive in size or qualities","any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head","hunt for whales"
whalebone,"a horny material from the upper jaws of certain whales; used as the ribs of fans or as stays in corsets"
whalebones,"a horny material from the upper jaws of certain whales; used as the ribs of fans or as stays in corsets"
whaled
whaleman
whalemen
whaler,"a seaman who works on a ship that hunts whales","a ship engaged in whale fishing"
whalers,"a seaman who works on a ship that hunts whales","a ship engaged in whale fishing"
whales,"a very large person; impressive in size or qualities","any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head","hunt for whales"
whaling
whalings
wham,"hit hard; "The teacher whacked the boy""
whammed,"hit hard; "The teacher whacked the boy""
whammies
whamming,"hit hard; "The teacher whacked the boy""
whammy,"a serious or devastating setback","an evil spell; "a witch put a curse on his whole family"; "he put the whammy on me""
whams,"hit hard; "The teacher whacked the boy""
whang,"the act of hitting vigorously; "he gave the table a whack"","beat with force","propel or hit with force; "whang the ball"","attack forcefully; "whang away at the school reform plan""
whanged
whangee
whangees
whanging
whangs,"the act of hitting vigorously; "he gave the table a whack"","beat with force","propel or hit with force; "whang the ball"","attack forcefully; "whang away at the school reform plan""
whap,"hit hard"
whapped,"hit hard"
whapper
whappers
whapping,"hit hard"
whaps,"hit hard"
wharf,"a platform built out from the shore into the water and supported by piles; provides access to ships and boats","provide with a wharf; "Wharf the mouth of the river"","store on a wharf; "Wharf the merchandise"","discharge at a wharf; "wharf the passengers"","come into or dock at a wharf; "the big ship wharfed in the evening"","moor at a wharf; "The ship was wharfed""
wharfage,"a fee charged for the use of a wharf or quay","a platform built out from the shore into the water and supported by piles; provides access to ships and boats"
wharfages,"a fee charged for the use of a wharf or quay","a platform built out from the shore into the water and supported by piles; provides access to ships and boats"
wharfed
wharfing
wharfs,"a platform built out from the shore into the water and supported by piles; provides access to ships and boats","provide with a wharf; "Wharf the mouth of the river"","store on a wharf; "Wharf the merchandise"","discharge at a wharf; "wharf the passengers"","come into or dock at a wharf; "the big ship wharfed in the evening"","moor at a wharf; "The ship was wharfed""
wharve
wharves,"a platform built out from the shore into the water and supported by piles; provides access to ships and boats"
what
whatever,"one or some or every or all without specification; "give me any peaches you don't want"; "not any milk is left"; "any child would know that"; "pick any card"; "any day now"; "cars can be rented at almost any airport"; "at twilight or any other time"; "beyond any doubt"; "need any help we can get"; "give me whatever peaches you don't want"; "no milk whatsoever is left""
whatnot,"miscellaneous curios"
whatnots,"miscellaneous curios"
whats
whatsoever,"one or some or every or all without specification; "give me any peaches you don't want"; "not any milk is left"; "any child would know that"; "pick any card"; "any day now"; "cars can be rented at almost any airport"; "at twilight or any other time"; "beyond any doubt"; "need any help we can get"; "give me whatever peaches you don't want"; "no milk whatsoever is left""
whaup
whaups
wheal,"a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions"
wheals,"a raised mark on the skin (as produced by the blow of a whip); characteristic of many allergic reactions"
wheat,"annual or biennial grass having erect flower spikes and light brown grains","grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour","a variable yellow tint; dull yellow, often diluted with white"
wheatear,"small songbird of northern America and Eurasia having a distinctive white rump"
wheatears,"small songbird of northern America and Eurasia having a distinctive white rump"
wheaten,"of or relating to or derived from wheat; "wheaten bread""
wheats,"annual or biennial grass having erect flower spikes and light brown grains","grains of common wheat; sometimes cooked whole or cracked as cereal; usually ground into flour","a variable yellow tint; dull yellow, often diluted with white"
whee
wheedle,"influence or urge by gentle urging, caressing, or flattering; "He palavered her into going along""
wheedled
wheedler,"someone who tries to persuade by blandishment and coaxing"
wheedlers,"someone who tries to persuade by blandishment and coaxing"
wheedles,"influence or urge by gentle urging, caressing, or flattering; "He palavered her into going along""
wheedling,"the act of urging by means of teasing or flattery"
wheel,"a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)","a handwheel that is used for steering","forces that provide energy and direction; "the wheels of government began to turn"","a circular helm to control the rudder of a vessel","game equipment consisting of a wheel with slots that is used for gambling; the wheel rotates horizontally and players bet on which slot the roulette ball will stop in","an instrument of torture that stretches or disjoints or mutilates victims","a wheeled vehicle that has two wheels and is moved by foot pedals","change directions as if revolving on a pivot; "They wheeled their horses around and left"","wheel somebody or something","move along on or as if on wheels or a wheeled vehicle; "The President's convoy rolled past the crowds"","ride a bicycle"
wheelbarrow,"a cart for carrying small loads; has handles and one or more wheels","transport in a wheelbarrow"
wheelbarrows,"a cart for carrying small loads; has handles and one or more wheels","transport in a wheelbarrow"
wheelbase,"the distance from the center of a car's front wheel to the rear axle"
wheelbases,"the distance from the center of a car's front wheel to the rear axle"
wheelchair,"a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant"
wheelchairs,"a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant"
wheeled,"having wheels; often used in combination"
wheeler,"Scottish archaeologist (1890-1976)","someone who makes and repairs wooden wheels","the man at the outermost end of the rank in wheeling","a person who rides a bicycle","a draft horse harnessed behind others and nearest the wheels of a vehicle"
wheelers,"Scottish archaeologist (1890-1976)","someone who makes and repairs wooden wheels","the man at the outermost end of the rank in wheeling","a person who rides a bicycle","a draft horse harnessed behind others and nearest the wheels of a vehicle"
wheelie
wheelies
wheeling,"a city in the northern panhandle of West Virginia on the Ohio river","propelling something on wheels"
wheelings,"a city in the northern panhandle of West Virginia on the Ohio river","propelling something on wheels"
wheelless,"having no wheels or having no wheeled vehicles; "dragging a wheelless stoneboat filled with rocks"; "wheelless societies""
wheelman
wheelmen
wheels,"a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)","a handwheel that is used for steering","forces that provide energy and direction; "the wheels of government began to turn"","a circular helm to control the rudder of a vessel","game equipment consisting of a wheel with slots that is used for gambling; the wheel rotates horizontally and players bet on which slot the roulette ball will stop in","an instrument of torture that stretches or disjoints or mutilates victims","a wheeled vehicle that has two wheels and is moved by foot pedals","change directions as if revolving on a pivot; "They wheeled their horses around and left"","wheel somebody or something","move along on or as if on wheels or a wheeled vehicle; "The President's convoy rolled past the crowds"","ride a bicycle"
wheen
wheens
wheep
wheeped
wheeping
wheeple
wheepled
wheeples
wheepling
wheeps
whees
wheeze,"breathing with a husky or whistling sound","(Briticism) a clever or amusing scheme or trick; "a clever wheeze probably succeeded in neutralizing the German espionage threat"","breathe with difficulty"
wheezed
wheezer
wheezers
wheezes,"breathing with a husky or whistling sound","(Briticism) a clever or amusing scheme or trick; "a clever wheeze probably succeeded in neutralizing the German espionage threat"","breathe with difficulty"
wheezier
wheeziest
wheezily,"with a wheeze; "he talked wheezily""
wheezing,"relating to breathing with a whistling sound"
wheezy,"having a tone of a reed instrument","relating to breathing with a whistling sound"
whelk,"large marine snail much used as food in Europe","large carnivorous marine gastropods of coastal waters and intertidal regions having a strong snail-like shell","gather whelk"
whelkier
whelkiest
whelks,"large marine snail much used as food in Europe","large carnivorous marine gastropods of coastal waters and intertidal regions having a strong snail-like shell","gather whelk"
whelky
whelm,"overcome, as with emotions or perceptual stimuli"
whelmed
whelming
whelms,"overcome, as with emotions or perceptual stimuli"
whelp,"young of any of various canines such as a dog or wolf","birth; "the dog whelped""
whelped
whelping
whelps,"young of any of various canines such as a dog or wolf","birth; "the dog whelped""
when
whenas
whence,"from what place, source, or cause"
whenever
whens
where
whereabouts,"the general location where something is; "I questioned him about his whereabouts on the night of the crime""
whereas
whereases
whereat
whereby
wherefore,"the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'"
wherein
whereof
whereon
wheres
whereto
whereupon
wherever,"where in the world"
wherewithal,"the necessary means (especially financial means)"
wherried
wherries
wherry,"sailing barge used especially in East Anglia","light rowboat for use in racing or for transporting goods and passengers in inland waters and harbors"
wherrying
wherve
wherves
whet,"make keen or more acute; "whet my appetite"","sharpen by rubbing, as on a whetstone"
whether
whets,"make keen or more acute; "whet my appetite"","sharpen by rubbing, as on a whetstone"
whetstone,"a flat stone for sharpening edged tools or knives"
whetstones,"a flat stone for sharpening edged tools or knives"
whetted,"make keen or more acute; "whet my appetite"","sharpen by rubbing, as on a whetstone"
whetter
whetters
whetting,"make keen or more acute; "whet my appetite"","sharpen by rubbing, as on a whetstone"
whew
whews
whey,"the serum or watery part of milk that is separated from the curd in making cheese","watery part of milk produced when raw milk sours and coagulates; "Little Miss Muffet sat on a tuffet eating some curds and whey""
wheyey
wheyface
wheyfaces
wheyish
wheys,"the serum or watery part of milk that is separated from the curd in making cheese","watery part of milk produced when raw milk sours and coagulates; "Little Miss Muffet sat on a tuffet eating some curds and whey""
which
whichever
whicker,"the characteristic sounds made by a horse","make a characteristic sound, of a horse"
whickered
whickering
whickers,"the characteristic sounds made by a horse","make a characteristic sound, of a horse"
whid
whidah,"mostly black African weaverbird"
whidahs,"mostly black African weaverbird"
whidded
whidding
whids
whiff,"a short light gust of air","a lefteye flounder found in coastal waters from New England to Brazil","a strikeout resulting from the batter swinging at and missing the ball for the third strike","perceive by inhaling through the nose; "sniff the perfume"","drive or carry as if by a puff of air; "The gust of air whiffed away the clouds"","strike out by swinging and missing the pitch charged as the third","smoke and exhale strongly; "puff a cigar"; "whiff a pipe"","utter with a puff of air; "whiff out a prayer""
whiffed
whiffer,"a batter who strikes out by swinging at and missing the third strike"
whiffers,"a batter who strikes out by swinging at and missing the third strike"
whiffet
whiffets
whiffing
whiffle
whiffled
whiffler
whifflers
whiffles
whiffling
whiffs,"a short light gust of air","a lefteye flounder found in coastal waters from New England to Brazil","a strikeout resulting from the batter swinging at and missing the ball for the third strike","perceive by inhaling through the nose; "sniff the perfume"","drive or carry as if by a puff of air; "The gust of air whiffed away the clouds"","strike out by swinging and missing the pitch charged as the third","smoke and exhale strongly; "puff a cigar"; "whiff a pipe"","utter with a puff of air; "whiff out a prayer""
while,"a period of indeterminate length (usually short) marked by some action or condition; "he was here for a little while"; "I need to rest for a piece"; "a spell of good weather"; "a patch of bad weather""
whiled
whiles,"a period of indeterminate length (usually short) marked by some action or condition; "he was here for a little while"; "I need to rest for a piece"; "a spell of good weather"; "a patch of bad weather""
whiling
whilom
whilst
whim,"a sudden desire; "he bought it on an impulse"","an odd or fanciful or capricious idea; "the theatrical notion of disguise is associated with disaster in his stories"; "he had a whimsy about flying to the moon"; "whimsy can be humorous to someone with time to enjoy it""
whimbrel
whimbrels
whimper,"a complaint uttered in a plaintive whining way","cry weakly or softly; "she wailed with pain""
whimpered
whimpering
whimpers,"a complaint uttered in a plaintive whining way","cry weakly or softly; "she wailed with pain""
whims,"a sudden desire; "he bought it on an impulse"","an odd or fanciful or capricious idea; "the theatrical notion of disguise is associated with disaster in his stories"; "he had a whimsy about flying to the moon"; "whimsy can be humorous to someone with time to enjoy it""
whimsey,"an odd or fanciful or capricious idea; "the theatrical notion of disguise is associated with disaster in his stories"; "he had a whimsy about flying to the moon"; "whimsy can be humorous to someone with time to enjoy it"","the trait of acting unpredictably and more from whim or caprice than from reason or judgment; "I despair at the flightiness and whimsicality of my memory""
whimseys,"an odd or fanciful or capricious idea; "the theatrical notion of disguise is associated with disaster in his stories"; "he had a whimsy about flying to the moon"; "whimsy can be humorous to someone with time to enjoy it"","the trait of acting unpredictably and more from whim or caprice than from reason or judgment; "I despair at the flightiness and whimsicality of my memory""
whimsical,"determined by chance or impulse or whim rather than by necessity or reason; "a capricious refusal"; "authoritarian rulers are frequently capricious"; "the victim of whimsical persecutions""
whimsicalities
whimsicality,"the trait of acting unpredictably and more from whim or caprice than from reason or judgment; "I despair at the flightiness and whimsicality of my memory"","the trait of behaving like an imp"
whimsically,"in a fanciful manner; "the Christmas tree was fancifully decorated""
whimsied
whimsies
whimsy,"an odd or fanciful or capricious idea; "the theatrical notion of disguise is associated with disaster in his stories"; "he had a whimsy about flying to the moon"; "whimsy can be humorous to someone with time to enjoy it"","the trait of acting unpredictably and more from whim or caprice than from reason or judgment; "I despair at the flightiness and whimsicality of my memory""
whin,"very spiny and dense evergreen shrub with fragrant golden-yellow flowers; common throughout western Europe","small Eurasian shrub having clusters of yellow flowers that yield a dye; common as a weed in Britain and the United States; sometimes grown as an ornamental","any of various hard colored rocks (especially rocks consisting of chert or basalt)"
whinchat,"brown-and-buff European songbird of grassy meadows"
whinchats,"brown-and-buff European songbird of grassy meadows"
whine,"a complaint uttered in a plaintive whining way","move with a whining sound; "The bullets were whining past us"","talk in a tearful manner","make a high-pitched, screeching noise; "The door creaked when I opened it slowly"; "My car engine makes a whining noise"","complain whiningly"
whined
whiner,"a person given to excessive complaints and crying and whining"
whiners,"a person given to excessive complaints and crying and whining"
