ilea
ileac
ileal
ileitides
ileitis,"inflammation of the ileum"
ileum,"the part of the small intestine between the jejunum and the cecum"
ileus,"blockage of the intestine (especially the ileum) that prevents the contents of the intestine from passing to the lower bowel"
ileuses
ilex,"a large genus of dicotyledonous trees and shrubs of the family Aquifoliaceae that have small flowers and berries (including hollies)"
ilexes
ilia,"an ancient city in Asia Minor that was the site of the Trojan War","the upper and widest of the three bones making up the hipbone"
iliac,"of or relating to the ilium"
iliad,"a Greek epic poem (attributed to Homer) describing the siege of Troy"
iliads,"a Greek epic poem (attributed to Homer) describing the siege of Troy"
ilial
ilium,"an ancient city in Asia Minor that was the site of the Trojan War","the upper and widest of the three bones making up the hipbone"
ilk,"a kind of person; "We'll not see his like again"; "I can't tolerate people of his ilk""
ilka
ilks,"a kind of person; "We'll not see his like again"; "I can't tolerate people of his ilk""
ill,"an often persistent bodily disorder or disease; a cause for complaining","affected by an impairment of normal physical or mental function; "ill from the monotony of his suffering"","resulting in suffering or adversity; "ill effects"; "it's an ill wind that blows no good"","distressing; "ill manners"; "of ill repute"","indicating hostility or enmity; "you certainly did me an ill turn"; "ill feelings"; "ill will"","presaging ill fortune; "ill omens"; "ill predictions"; "my words with inauspicious thunderings shook heaven"- P.B.Shelley; "a dead and ominous silence prevailed"; "a by-election at a time highly unpropitious for the Government"","(`ill' is often used as a combining form) in a poor or improper or unsatisfactory manner; not well; "he was ill prepared"; "it ill befits a man to betray old friends"; "the car runs badly"; "he performed badly on the exam"; "the team played poorly"; "ill-fitting clothes"; "an ill-conceived plan"","unfavorably or with disapproval; "tried not to speak ill of the dead"; "thought badly of him for his lack of concern"","with difficulty or inconvenience; scarcely or hardly; "we can ill afford to buy a new car just now""
illation,"the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation"
illations,"the reasoning involved in drawing a conclusion or making a logical judgment on the basis of circumstantial evidence and prior conclusions rather than on the basis of direct observation"
illative,"relating to or having the nature of illation or inference; "the illative faculty of the mind"","resembling or dependent on or arrived at by inference; "an illative conclusion"; "inferential reasoning"","expressing or preceding an inference; "`therefore' is an illative word""
illatives,"relating to or having the nature of illation or inference; "the illative faculty of the mind"","resembling or dependent on or arrived at by inference; "an illative conclusion"; "inferential reasoning"","expressing or preceding an inference; "`therefore' is an illative word""
illegal,"prohibited by law or by official or accepted rules; "an illegal chess move""
illegalities
illegality,"unlawfulness by virtue of violating some legal statute"
illegally,"in an illegal manner; "they dumped the waste illegally""
illegibilities
illegibility,"the quality of writing (print or handwriting) that cannot be deciphered"
illegible,"(of handwriting, print, etc.) not legible; "illegible handwriting""
illegibly,"in an illegible manner; "this student writes illegibly""
illegitimacies
illegitimacy,"the status of being born to parents who were not married","unlawfulness by virtue of not being authorized by or in accordance with law"
illegitimate,"the illegitimate offspring of unmarried parents","contrary to or forbidden by law; "an illegitimate seizure of power"; "illicit trade"; "an outlaw strike"; "unlawful measures"","of marriages and offspring; not recognized as lawful"
